Project,About,Class,Link
cookiecutter,Developer tool,Developer tool,https://github.com/cookiecutter/cookiecutter
spaCy,Natural Language Processing library,Data science,https://github.com/explosion/spaCy
sanic,Web server and web framework,Web server and framework,https://github.com/sanic-org/sanic
httpie,Command-line HTTP client,Command line tool,https://github.com/httpie/httpie
keras,Deep learning API,Data science,https://github.com/keras-team/keras
thefuck,Console command tool,Command line tool,https://github.com/nvbn/thefuck
pandas,Data analysis toolkit,Data science,https://github.com/pandas-dev/pandas
black,Code Formatter,Developer tool,https://github.com/psf/black
fastapi,Web framework for building APIs,Web server and framework,https://github.com/tiangolo/fastapi
tornado,Web Server,Web server and framework,https://github.com/tornadoweb/tornado
tqdm,Progress Bar for Python and CLI,Command line tool,https://github.com/tqdm/tqdm
youtube-dl,Video downloader,Command line tool,https://github.com/ytdl-org/youtube-dl
