Entity,Score
black.py::read_pyproject_toml::237::264,1.0
black.py::dump_to_file::3853::3863,0.9646302250803859
black.py::parse_pyproject_toml::227::234,0.8385744234800839
blib2to3/pytree.py::__eq__::86::94,0.0
blib2to3/pytree.py::__new__::81::84,0.0
blib2to3/pytree.py::type_repr::42::53,0.0
blib2to3/pytree.py::convert::478::495,0.0
blib2to3/pytree.py::prefix::472::475,0.0
blib2to3/pytree.py::prefix::465::470,0.0
blib2to3/pytree.py::pre_order::461::463,0.0
blib2to3/pytree.py::leaves::454::455,0.0
blib2to3/pytree.py::_eq::440::442,0.0
blib2to3/pytree.py::__str__::432::438,0.0
blib2to3/pytree.py::__init__::396::419,0.0
blib2to3/pytree.py::update_sibling_maps::369::379,0.0
blib2to3/pytree.py::invalidate_sibling_maps::365::367,0.0
blib2to3/pytree.py::append_child::355::363,0.0
blib2to3/pytree.py::insert_child::345::353,0.0
blib2to3/pytree.py::prefix::329::332,0.0
blib2to3/pytree.py::prefix::320::327,0.0
blib2to3/pytree.py::pre_order::314::318,0.0
blib2to3/pytree.py::_eq::295::297,0.0
blib2to3/pytree.py::__str__::287::293,0.0
blib2to3/pytree.py::__init__::248::276,0.0
blib2to3/pytree.py::leaves::220::222,0.0
blib2to3/pytree.py::prev_sibling::206::218,0.0
blib2to3/pytree.py::next_sibling::192::204,0.0
blib2to3/pytree.py::remove::177::190,0.0
blib2to3/pytree.py::changed::170::175,0.0
blib2to3/pytree.py::replace::137::159,0.0
blib2to3/pgen2/tokenize.py::generate_tokens::400::670,0.0
blib2to3/pgen2/parse.py::__init__::45::54,0.0
blib2to3/pgen2/parse.py::pop::226::237,0.0
blib2to3/pgen2/parse.py::push::219::224,0.0
blib2to3/pgen2/parse.py::shift::205::217,0.0
blib2to3/pgen2/parse.py::classify::190::203,0.0
blib2to3/pgen2/parse.py::addtoken::143::188,0.0
blib2to3/pgen2/parse.py::setup::119::141,0.0
blib2to3/pgen2/parse.py::__init__::87::117,0.0
blib2to3/pgen2/driver.py::parse_tokens::60::119,0.0
blib2to3/pgen2/driver.py::__init__::48::58,0.0
blib2to3/pgen2/driver.py::_partially_consume_prefix::144::169,0.0
blib2to3/pgen2/driver.py::parse_string::137::142,0.0
blackd.py::handle::76::149,0.0
blackd.py::make_app::58::73,0.0
blackd.py::main::44::55,0.0
blackd.py::parse_python_variant_header::152::184,0.0
black.py::show::955::964,0.0
black.py::visit_default::935::953,0.0
black.py::visit_default::924::928,0.0
black.py::visit::900::922,0.0
black.py::lib2to3_parse::861::885,0.0
black.py::get_grammars::822::858,0.0
black.py::decode_bytes::805::819,0.0
black.py::format_str::743::802,0.0
black.py::format_file_contents::723::740,0.0
black.py::format_stdin_to_stdout::690::720,0.0
black.py::format_file_in_place::644::687,0.0
black.py::schedule_formatting::573::641,0.0
black.py::reformat_many::546::570,0.0
black.py::reformat_one::513::543,0.0
black.py::path_empty::501::510,0.0
black.py::main::278::498,0.0
black.py::patch_click::4165::4184,0.0
black.py::write_cache::4152::4162,0.0
black.py::filter_cached::4136::4149,0.0
black.py::get_cache_info::4130::4133,0.0
black.py::read_cache::4112::4127,0.0
black.py::get_cache_file::4108::4109,0.0
black.py::can_omit_invisible_parens::4019::4105,0.0
black.py::can_be_split::3983::4016,0.0
black.py::is_line_short_enough::3969::3980,0.0
black.py::enumerate_with_length::3947::3966,0.0
black.py::enumerate_reversed::3939::3944,0.0
black.py::re_compile_maybe_verbose::3928::3936,0.0
black.py::sub_twice::3919::3925,0.0
black.py::shutdown::3893::3916,0.0
black.py::diff::3875::3883,0.0
black.py::nullcontext::3866::3872,0.0
black.py::assert_stable::3837::3850,0.0
black.py::assert_equivalent::3759::3834,0.0
black.py::_v::3762::3805,0.0
black.py::_fixup_ast_constants::3743::3756,0.0
black.py::parse_ast::3724::3740,0.0
black.py::__str__::3694::3721,0.0
black.py::return_code::3675::3692,0.0
black.py::path_ignored::3671::3673,0.0
black.py::failed::3666::3669,0.0
black.py::done::3650::3664,0.0
black.py::find_project_root::3608::3635,0.0
black.py::gen_python_files_in_dir::3551::3605,0.0
black.py::get_gitignore::3540::3548,0.0
black.py::get_future_imports::3490::3537,0.0
black.py::get_imports_from_children::3494::3510,0.0
black.py::generate_trailers_to_omit::3440::3487,0.0
black.py::detect_target_versions::3432::3437,0.0
black.py::get_features_used::3383::3429,0.0
black.py::should_explode::3363::3380,0.0
black.py::ensure_visible::3351::3360,0.0
black.py::max_delimiter_priority_in_atom::3323::3348,0.0
black.py::is_stub_body::3307::3320,0.0
black.py::is_stub_suite::3294::3304,0.0
black.py::is_multiline_string::3288::3291,0.0
black.py::is_vararg::3265::3285,0.0
black.py::is_yield::3244::3262,0.0
black.py::is_walrus_assignment::3238::3241,0.0
black.py::is_one_tuple::3222::3235,0.0
black.py::wrap_in_parentheses::3204::3219,0.0
black.py::unwrap_singleton_parenthesis::3190::3201,0.0
black.py::is_empty_tuple::3180::3187,0.0
black.py::is_atom_with_invisible_parens::3162::3177,0.0
black.py::maybe_make_parens_invisible_in_atom::3126::3159,0.0
black.py::generate_ignored_nodes::3105::3123,0.0
black.py::convert_one_fmt_off_pair::3051::3102,0.0
black.py::normalize_fmt_off::3044::3048,0.0
black.py::normalize_invisible_parens::2993::3041,0.0
black.py::format_float_or_int_string::2984::2990,0.0
black.py::normalize_numeric_literal::2948::2981,0.0
black.py::normalize_string_quotes::2872::2945,0.0
black.py::normalize_string_prefix::2856::2869,0.0
black.py::normalize_prefix::2838::2853,0.0
black.py::is_type_comment::2830::2835,0.0
black.py::is_import::2816::2827,0.0
black.py::standalone_comment_split::2785::2813,0.0
black.py::append_to_line::2795::2804,0.0
black.py::delimiter_split::2715::2782,0.0
black.py::append_to_line::2741::2750,0.0
black.py::target_version_option_callback::267::275,0.0
black.py::split_wrapper::2706::2710,0.0
black.py::bracket_split_build_line::2658::2697,0.0
black.py::bracket_split_succeeded_or_raise::2632::2655,0.0
black.py::right_hand_split::2543::2629,0.0
black.py::left_hand_split::2507::2540,0.0
black.py::split_line::2425::2504,0.0
black.py::rhs::2463::2475,0.0
black.py::make_comment::2406::2422,0.0
black.py::list_comments::2369::2403,0.0
black.py::generate_comments::2328::2348,0.0
black.py::is_split_before_delimiter::2228::2321,0.0
black.py::find_pyproject_toml::220::224,0.0
black.py::is_split_after_delimiter::2214::2225,0.0
black.py::container_of::2189::2211,0.0
black.py::child_towards::2181::2186,0.0
black.py::preceding_leaf::2163::2178,0.0
black.py::supports_feature::216::217,0.0
black.py::whitespace::1933::2160,0.0
black.py::get_cache_key::195::209,0.0
black.py::__post_init__::1900::1922,0.0
black.py::visit_factor::1883::1898,0.0
black.py::visit_STANDALONE_COMMENT::1878::1881,0.0
black.py::visit_ENDMARKER::1873::1876,0.0
black.py::visit_SEMI::1869::1871,0.0
black.py::visit_decorators::1863::1867,0.0
black.py::visit_async_stmt::1848::1861,0.0
black.py::visit_simple_stmt::1832::1846,0.0
black.py::visit_suite::1825::1830,0.0
black.py::visit_stmt::1804::1823,0.0
black.py::visit_DEDENT::1790::1802,0.0
black.py::visit_INDENT::1784::1788,0.0
black.py::visit_default::1754::1782,0.0
black.py::line::1738::1752,0.0
black.py::_maybe_empty_lines_for_class_or_def::1680::1722,0.0
black.py::_maybe_empty_lines::1641::1678,0.0
black.py::maybe_empty_lines::1623::1639,0.0
black.py::__bool__::1603::1605,0.0
black.py::__str__::1588::1601,0.0
black.py::is_complex_subscript::1570::1586,0.0
black.py::remove_trailing_comma::1562::1568,0.0
black.py::comments_after::1558::1560,0.0
black.py::append_comment::1521::1556,0.0
black.py::maybe_remove_trailing_comma::1484::1519,0.0
black.py::contains_multiline_strings::1481::1482,0.0
black.py::contains_unsplittable_type_ignore::1450::1479,0.0
black.py::contains_uncollapsable_type_comments::1414::1448,0.0
black.py::contains_standalone_comments::1406::1412,0.0
black.py::is_triple_quoted_string::1397::1404,0.0
black.py::is_class_paren_empty::1381::1395,0.0
black.py::is_def::1362::1379,0.0
black.py::is_collection_with_optional_trailing_comma::1299::1360,0.0
black.py::is_stub_class::1292::1297,0.0
black.py::is_python2::128::129,0.0
black.py::is_class::1283::1290,0.0
black.py::is_import::1278::1281,0.0
black.py::is_decorator::1273::1276,0.0
black.py::is_comment::1268::1271,0.0
black.py::append_safe::1251::1266,0.0
black.py::append::1223::1249,0.0
black.py::get_open_lsqb::1206::1208,0.0
black.py::maybe_decrement_after_lambda_arguments::1193::1204,0.0
black.py::maybe_increment_lambda_arguments::1180::1191,0.0
black.py::maybe_decrement_after_for_loop_variable::1166::1178,0.0
black.py::maybe_increment_for_loop_variable::1153::1164,0.0
black.py::delimiter_count_with_priority::1142::1151,0.0
black.py::max_delimiter_priority::1134::1140,0.0
black.py::any_open_brackets::1130::1132,0.0
black.py::mark::1090::1128,0.0
black.py::from_configuration::105::110,0.0
