Entity,Score
fastapi/openapi/utils.py::get_openapi_operation_parameters::72::94,1.0
fastapi/routing.py::get_app::66::134,1.0
fastapi/routing.py::app::82::132,1.0
fastapi/openapi/utils.py::get_openapi_path::142::229,0.5
fastapi/openapi/utils.py::get_openapi::232::272,0.3333333333333333
fastapi/applications.py::openapi::71::81,0.25
fastapi/applications.py::setup::83::123,0.2
fastapi/applications.py::openapi::86::87,0.2
fastapi/applications.py::swagger_ui_html::93::98,0.2
fastapi/applications.py::swagger_ui_redirect::104::105,0.2
fastapi/applications.py::redoc_html::114::117,0.2
