Entity,Score
keras/backend/tensorflow_backend.py::get_value::2823::2835,0.5091649694501018
keras/backend/tensorflow_backend.py::truncated_normal::4290::4318,0.3305785123966942
keras/initializers.py::__call__::245::259,0.19607843137254904
keras/initializers.py::__call__::82::84,0.1639344262295082
keras/initializers.py::__init__::77::80,0.1639344262295082
keras/initializers.py::__call__::143::145,0.1639344262295082
keras/initializers.py::__init__::138::141,0.1639344262295082
keras/backend/tensorflow_backend.py::random_normal::4210::4234,0.14084507042253522
keras/backend/tensorflow_backend.py::variable::578::616,0.10455876202425764
keras/backend/tensorflow_backend.py::is_symbolic::79::80,0.10450685826257348
keras/initializers.py::__call__::201::218,0.09900990099009901
keras/backend/tensorflow_backend.py::int_shape::777::807,0.09691096305269534
keras/backend/tensorflow_backend.py::get_session::349::377,0.09394964299135662
keras/backend/tensorflow_backend.py::_is_tf_1::42::43,0.08707767328456983
keras/backend/tensorflow_backend.py::floatx::184::197,0.08087997411840828
keras/initializers.py::__call__::110::112,0.05847953216374269
keras/initializers.py::__init__::105::108,0.05847953216374269
keras/initializers.py::__init__::241::243,0.012804097311139566
keras/initializers.py::_compute_fans::448::485,0.007513148009015778
keras/backend/tensorflow_backend.py::random_uniform::4237::4262,0.0069881201956673656
keras/initializers.py::__init__::180::199,0.006891798759476223
keras/utils/test_utils.py::layer_test::55::131,0.0
keras/utils/test_utils.py::get_test_data::27::52,0.0
keras/utils/test_utils.py::__exit__::309::310,0.0
keras/utils/test_utils.py::__enter__::305::307,0.0
keras/utils/test_utils.py::stop::296::303,0.0
keras/utils/test_utils.py::start::281::294,0.0
keras/utils/test_utils.py::_check_started::277::279,0.0
keras/utils/test_utils.py::assert_exists::271::275,0.0
keras/utils/test_utils.py::delete_file::260::269,0.0
keras/utils/test_utils.py::file_exists::247::258,0.0
keras/utils/test_utils.py::FileIO::220::245,0.0
keras/utils/test_utils.py::get_filepath::216::218,0.0
keras/utils/test_utils.py::bucket_path::211::214,0.0
keras/utils/test_utils.py::__init__::179::209,0.0
keras/utils/np_utils.py::to_categorical::9::55,0.0
keras/utils/layer_utils.py::print_row::96::104,0.0
keras/utils/layer_utils.py::print_summary::24::185,0.0
keras/utils/layer_utils.py::get_source_inputs::252::292,0.0
keras/utils/layer_utils.py::count_params::12::21,0.0
keras/utils/layer_utils.py::print_layer_summary_with_connections::122::160,0.0
keras/utils/layer_utils.py::print_layer_summary::111::120,0.0
keras/utils/io_utils.py::get::356::359,0.0
keras/utils/io_utils.py::__contains__::350::354,0.0
keras/utils/io_utils.py::close::339::343,0.0
keras/utils/io_utils.py::__getitem__::271::315,0.0
keras/utils/io_utils.py::__setitem__::210::269,0.0
keras/utils/io_utils.py::__init__::185::208,0.0
keras/utils/io_utils.py::is_path_instance::186::190,0.0
keras/utils/generic_utils.py::transpose_shape::569::615,0.0
keras/utils/generic_utils.py::slice_arrays::528::566,0.0
keras/utils/generic_utils.py::__exit__::51::53,0.0
keras/utils/generic_utils.py::is_all_none::520::525,0.0
keras/utils/generic_utils.py::object_list_uid::515::517,0.0
keras/utils/generic_utils.py::unpack_singleton::499::512,0.0
keras/utils/generic_utils.py::to_list::476::496,0.0
keras/utils/generic_utils.py::__enter__::45::49,0.0
keras/utils/generic_utils.py::update::349::470,0.0
keras/utils/generic_utils.py::__init__::41::43,0.0
keras/utils/generic_utils.py::__init__::329::347,0.0
keras/utils/generic_utils.py::has_arg::273::312,0.0
keras/utils/generic_utils.py::func_load::193::243,0.0
keras/utils/generic_utils.py::ensure_value_to_cell::210::227,0.0
keras/utils/generic_utils.py::func_dump::174::190,0.0
keras/utils/generic_utils.py::deserialize_keras_object::120::171,0.0
keras/utils/generic_utils.py::serialize_keras_object::106::117,0.0
keras/utils/data_utils.py::get::688::733,0.0
keras/utils/data_utils.py::_run::678::686,0.0
keras/utils/data_utils.py::__init__::660::666,0.0
keras/utils/data_utils.py::next_sample::628::641,0.0
keras/utils/data_utils.py::stop::488::502,0.0
keras/utils/data_utils.py::_send_sequence::483::486,0.0
keras/utils/data_utils.py::start::463::481,0.0
keras/utils/data_utils.py::is_running::460::461,0.0
keras/utils/data_utils.py::__init__::430::458,0.0
keras/utils/conv_utils.py::conv_output_length::85::111,0.0
keras/utils/conv_utils.py::normalize_padding::51::59,0.0
keras/utils/conv_utils.py::normalize_tuple::12::48,0.0
keras/utils/conv_utils.py::deconv_length::138::181,0.0
keras/regularizers.py::get::76::88,0.0
keras/regularizers.py::deserialize::69::73,0.0
keras/regularizers.py::serialize::65::66,0.0
keras/regularizers.py::l2::57::58,0.0
keras/regularizers.py::l1::53::54,0.0
keras/regularizers.py::__call__::37::43,0.0
keras/regularizers.py::__init__::33::35,0.0
keras/optimizers.py::get_gradients::89::102,0.0
keras/optimizers.py::get::818::851,0.0
keras/optimizers.py::__init__::74::82,0.0
keras/optimizers.py::deserialize::786::815,0.0
keras/optimizers.py::get_config::540::548,0.0
keras/optimizers.py::get_updates::485::538,0.0
keras/optimizers.py::__init__::470::483,0.0
keras/optimizers.py::get_config::286::292,0.0
keras/optimizers.py::get_updates::257::284,0.0
keras/optimizers.py::__init__::244::255,0.0
keras/optimizers.py::get_config::214::220,0.0
keras/optimizers.py::get_updates::183::212,0.0
keras/optimizers.py::__init__::172::181,0.0
keras/optimizers.py::from_config::153::155,0.0
keras/optimizers.py::get_config::145::151,0.0
keras/optimizers.py::set_weights::104::135,0.0
keras/metrics.py::get::76::86,0.0
