Entity,Score
keras/utils/data_utils.py::data_generator_task::629::641,1.1
keras/utils/data_utils.py::start::620::666,1.0427083333333333
keras/utils/data_utils.py::get::697::715,0.9916256157635467
keras/utils/data_utils.py::is_running::668::669,0.9916256157635467
keras/utils/data_utils.py::__init__::608::618,0.9916256157635467
keras/utils/test_utils.py::wrapper::155::160,0.1
keras/utils/generic_utils.py::update::299::412,0.1
keras/utils/generic_utils.py::__init__::284::297,0.1
keras/utils/generic_utils.py::has_arg::234::273,0.1
keras/utils/data_utils.py::_extract_archive::74::118,0.1
keras/utils/data_utils.py::stop::671::695,0.1
keras/utils/data_utils.py::_close_pool::587::589,0.1
keras/utils/data_utils.py::stop::569::585,0.1
keras/utils/data_utils.py::_send_sequence::558::567,0.1
keras/utils/data_utils.py::get::539::556,0.1
keras/utils/data_utils.py::_run::515::537,0.1
keras/utils/data_utils.py::_wait_queue::508::513,0.1
keras/utils/data_utils.py::start::489::506,0.1
keras/utils/data_utils.py::is_running::486::487,0.1
keras/utils/data_utils.py::__init__::465::484,0.1
keras/utils/data_utils.py::get_index::375::390,0.1
keras/utils/data_utils.py::validate_file::274::297,0.1
keras/utils/data_utils.py::_hash_file::242::271,0.1
keras/utils/data_utils.py::get_file::121::239,0.1
keras/utils/data_utils.py::dl_progress::209::215,0.1
keras/legacy/interfaces.py::wrapper::23::87,0.1
keras/layers/merge.py::call::92::146,0.1
keras/layers/merge.py::build::59::90,0.1
keras/layers/merge.py::dot::630::646,0.1
keras/layers/merge.py::concatenate::616::627,0.1
keras/layers/merge.py::minimum::603::613,0.1
keras/layers/merge.py::maximum::590::600,0.1
keras/layers/merge.py::average::577::587,0.1
keras/layers/merge.py::multiply::564::574,0.1
keras/layers/merge.py::_compute_elemwise_op_output_shape::21::57,0.1
keras/layers/merge.py::subtract::536::561,0.1
keras/layers/merge.py::add::508::533,0.1
keras/layers/merge.py::compute_mask::496::497,0.1
keras/layers/merge.py::compute_output_shape::475::494,0.1
keras/layers/merge.py::call::454::473,0.1
keras/layers/merge.py::build::432::452,0.1
keras/layers/merge.py::__init__::416::430,0.1
keras/layers/merge.py::compute_mask::362::388,0.1
keras/layers/merge.py::compute_output_shape::349::360,0.1
keras/layers/merge.py::call::343::347,0.1
keras/layers/merge.py::build::325::341,0.1
keras/layers/merge.py::__init__::320::323,0.1
keras/layers/merge.py::_merge_function::301::305,0.1
keras/layers/merge.py::_merge_function::286::290,0.1
keras/layers/merge.py::_merge_function::271::275,0.1
keras/layers/merge.py::_merge_function::256::260,0.1
keras/layers/merge.py::_merge_function::238::245,0.1
keras/layers/merge.py::_merge_function::207::211,0.1
keras/layers/merge.py::compute_mask::168::181,0.1
keras/layers/merge.py::compute_output_shape::148::166,0.1
keras/layers/merge.py::__init__::14::16,0.1
keras/engine/training.py::_standardize_input_data::29::154,0.1
keras/engine/training.py::_slice_arrays::388::426,0.1
keras/engine/training.py::_make_batches::373::385,0.1
keras/engine/training.py::predict::1736::1790,0.1
keras/engine/training.py::_predict_loop::1239::1313,0.1
keras/engine/training.py::_check_num_samples::1031::1068,0.1
keras/engine/training.py::_make_predict_function::1014::1029,0.1
keras/engine/topology.py::input::910::934,0.1
keras/engine/topology.py::_get_node_attribute_at_index::774::808,0.1
keras/engine/topology.py::_add_inbound_node::649::709,0.1
keras/engine/topology.py::__call__::527::647,0.1
keras/engine/topology.py::assert_input_compatibility::409::513,0.1
keras/engine/topology.py::built::341::343,0.1
keras/engine/topology.py::built::337::339,0.1
