Entity,Score
keras/activations.py::get::185::213,0.0
keras/backend/common.py::normalize_data_format::150::178,0.0
keras/backend/tensorflow_backend.py::dot::1032::1099,0.0
keras/backend/tensorflow_backend.py::mean::1513::1531,0.0
keras/backend/tensorflow_backend.py::get_session::156::211,0.0
keras/backend/tensorflow_backend.py::__init__::2706::2756,0.0
keras/backend/tensorflow_backend.py::_make_callable::2758::2806,0.0
keras/backend/tensorflow_backend.py::_call::2808::2852,0.0
keras/backend/tensorflow_backend.py::__call__::2872::2899,0.0
keras/backend/tensorflow_backend.py::function::2902::2924,0.0
keras/backend/tensorflow_backend.py::gradients::2927::2937,0.0
keras/backend/tensorflow_backend.py::relu::3337::3388,0.0
keras/backend/tensorflow_backend.py::variable::366::416,0.0
keras/backend/tensorflow_backend.py::bias_add::4241::4297,0.0
keras/backend/tensorflow_backend.py::constant::419::433,0.0
keras/backend/tensorflow_backend.py::random_uniform::4324::4344,0.0
keras/backend/tensorflow_backend.py::is_keras_tensor::436::483,0.0
keras/backend/tensorflow_backend.py::is_tensor::486::487,0.0
keras/backend/tensorflow_backend.py::placeholder::490::527,0.0
keras/backend/tensorflow_backend.py::int_shape::576::604,0.0
keras/backend/tensorflow_backend.py::ndim::607::633,0.0
keras/backend/tensorflow_backend.py::zeros::687::716,0.0
keras/backend/tensorflow_backend.py::get_uid::64::78,0.0
keras/callbacks.py::on_batch_end::101::122,0.0
keras/callbacks.py::on_train_begin::124::132,0.0
keras/callbacks.py::on_train_end::134::142,0.0
keras/callbacks.py::__init__::216::220,0.0
keras/callbacks.py::on_epoch_begin::222::224,0.0
keras/callbacks.py::on_batch_end::226::238,0.0
keras/callbacks.py::on_epoch_end::240::248,0.0
keras/callbacks.py::__init__::280::292,0.0
keras/callbacks.py::on_epoch_begin::298::309,0.0
keras/callbacks.py::on_batch_begin::311::313,0.0
keras/callbacks.py::on_batch_end::315::330,0.0
keras/callbacks.py::on_epoch_end::332::338,0.0
keras/callbacks.py::on_epoch_end::353::357,0.0
keras/callbacks.py::__init__::39::42,0.0
keras/callbacks.py::set_params::47::49,0.0
keras/callbacks.py::set_model::51::53,0.0
keras/callbacks.py::on_epoch_begin::55::67,0.0
keras/callbacks.py::on_epoch_end::69::78,0.0
keras/callbacks.py::on_batch_begin::80::99,0.0
keras/constraints.py::get::174::186,0.0
keras/engine/base_layer.py::get_updates_for::1000::1009,0.0
keras/engine/base_layer.py::get_losses_for::1011::1018,0.0
keras/engine/base_layer.py::__init__::94::161,0.0
keras/engine/base_layer.py::__init__::1152::1166,0.0
keras/engine/base_layer.py::__init__::1224::1277,0.0
keras/engine/base_layer.py::_collect_previous_mask::1296::1315,0.0
keras/engine/base_layer.py::_to_snake_case::1318::1325,0.0
keras/engine/base_layer.py::_collect_input_shape::1328::1344,0.0
keras/engine/base_layer.py::_node_key::163::177,0.0
keras/engine/base_layer.py::updates::183::187,0.0
keras/engine/base_layer.py::trainable_weights::197::203,0.0
keras/engine/base_layer.py::add_weight::221::260,0.0
keras/engine/base_layer.py::assert_input_compatibility::262::368,0.0
keras/engine/base_layer.py::__call__::382::508,0.0
keras/engine/base_layer.py::_add_inbound_node::510::574,0.0
keras/engine/base_layer.py::compute_mask::593::621,0.0
keras/engine/base_layer.py::build::623::633,0.0
keras/engine/base_layer.py::_get_node_attribute_at_index::635::666,0.0
keras/engine/base_layer.py::input::768::792,0.0
keras/engine/input_layer.py::Input::114::182,0.0
keras/engine/input_layer.py::__init__::33::104,0.0
keras/engine/network.py::_base_init::98::137,0.0
keras/engine/network.py::_make_node_key::1270::1271,0.0
keras/engine/network.py::build_map::1300::1357,0.0
keras/engine/network.py::_map_graph_network::1274::1457,0.0
keras/engine/network.py::_init_graph_network::139::291,0.0
keras/engine/network.py::_init_subclassed_network::293::300,0.0
keras/engine/network.py::__setattr__::302::316,0.0
keras/engine/network.py::updates::360::390,0.0
keras/engine/network.py::losses::392::427,0.0
keras/engine/network.py::uses_learning_phase::429::433,0.0
keras/engine/network.py::stateful::435::438,0.0
keras/engine/network.py::state_updates::445::460,0.0
keras/engine/network.py::trainable_weights::462::469,0.0
keras/engine/network.py::compute_mask::567::582,0.0
keras/engine/network.py::__init__::86::96,0.0
keras/engine/sequential.py::layers::95::102,0.0
keras/engine/sequential.py::add::115::191,0.0
keras/engine/sequential.py::build::212::229,0.0
keras/engine/sequential.py::__init__::86::93,0.0
keras/engine/training.py::fit::826::1040,0.0
keras/engine/training.py::compile::37::473,0.0
keras/engine/training.py::predict::1116::1170,0.0
keras/engine/training.py::handle_metrics::371::440,0.0
keras/engine/training.py::_check_trainable_weights_consistency::475::492,0.0
keras/engine/training.py::_make_train_function::494::519,0.0
keras/engine/training.py::_make_predict_function::539::554,0.0
keras/engine/training.py::_uses_dynamic_learning_phase::556::558,0.0
keras/engine/training.py::_standardize_user_data::643::824,0.0
keras/engine/training_arrays.py::fit_loop::21::222,0.0
keras/engine/training_arrays.py::predict_loop::225::306,0.0
keras/engine/training_utils.py::standardize_input_data::33::140,0.0
keras/engine/training_utils.py::standardize_sample_or_class_weights::143::189,0.0
keras/engine/training_utils.py::standardize_single_array::17::30,0.0
keras/engine/training_utils.py::set_of_lengths::215::221,0.0
keras/engine/training_utils.py::check_array_length_consistency::204::247,0.0
keras/engine/training_utils.py::check_loss_and_target_compatibility::250::297,0.0
keras/engine/training_utils.py::collect_metrics::300::333,0.0
keras/engine/training_utils.py::make_batches::360::372,0.0
keras/engine/training_utils.py::weighted_masked_objective::375::425,0.0
keras/engine/training_utils.py::weighted::392::424,0.0
keras/engine/training_utils.py::standardize_weights::428::527,0.0
keras/engine/training_utils.py::check_num_samples::530::578,0.0
keras/initializers.py::__init__::180::199,0.0
keras/initializers.py::__call__::201::218,0.0
keras/initializers.py::from_config::24::30,0.0
keras/initializers.py::glorot_uniform::350::371,0.0
keras/initializers.py::__call__::37::38,0.0
keras/initializers.py::_compute_fans::457::494,0.0
keras/initializers.py::get::508::518,0.0
keras/layers/core.py::__init__::293::296,0.0
keras/layers/core.py::__init__::850::876,0.0
keras/layers/core.py::build::878::896,0.0
keras/layers/core.py::call::898::904,0.0
keras/layers/core.py::compute_output_shape::906::911,0.0
keras/legacy/interfaces.py::wrapper::27::91,0.0
keras/legacy/interfaces.py::add_weight_args_preprocessing::627::636,0.0
keras/legacy/interfaces.py::get_updates_arg_preprocessing::644::663,0.0
keras/losses.py::get::117::140,0.0
keras/losses.py::mean_absolute_error::17::18,0.0
keras/metrics.py::binary_accuracy::26::27,0.0
keras/optimizers.py::__init__::171::180,0.0
keras/optimizers.py::get_updates::182::209,0.0
keras/optimizers.py::__init__::74::82,0.0
keras/optimizers.py::deserialize::739::768,0.0
keras/optimizers.py::get::771::801,0.0
keras/optimizers.py::get_gradients::88::101,0.0
keras/regularizers.py::get::76::88,0.0
keras/utils/generic_utils.py::deserialize_keras_object::120::171,0.0
keras/utils/generic_utils.py::has_arg::273::312,0.0
keras/utils/generic_utils.py::__init__::329::347,0.0
keras/utils/generic_utils.py::update::349::470,0.0
keras/utils/generic_utils.py::__enter__::45::49,0.0
keras/utils/generic_utils.py::to_list::476::496,0.0
keras/utils/generic_utils.py::unpack_singleton::499::512,0.0
keras/utils/generic_utils.py::is_all_none::520::525,0.0
keras/utils/generic_utils.py::slice_arrays::528::566,0.0
keras/utils/layer_utils.py::get_source_inputs::251::291,0.0
keras/wrappers/scikit_learn.py::fit::118::154,0.0
keras/wrappers/scikit_learn.py::filter_sk_params::156::173,0.0
keras/wrappers/scikit_learn.py::check_params::64::90,0.0
