Entity,Score
luigi/configuration.py::instance::63::71,1.0
luigi/configuration.py::reload::73::82,1.0
luigi/configuration.py::_get_with_default::84::100,1.0
luigi/contrib/hdfs/clients.py::get_autoconfig_client::34::48,1.0
luigi/contrib/hdfs/config.py::get_configured_hdfs_client::79::98,1.0
luigi/contrib/hdfs/hadoopcli_clients.py::create_hadoopcli_client::39::53,1.0
luigi/parameter.py::_get_value_from_config::162::172,1.0
luigi/parameter.py::_get_value::174::180,1.0
luigi/parameter.py::_value_iterator::182::201,1.0
luigi/parameter.py::has_task_value::203::204,1.0
luigi/parameter.py::task_value::206::211,1.0
luigi/parameter.py::serialize::225::235,1.0
luigi/parameter.py::normalize::549::551,1.0
luigi/task.py::get_params::203::219,1.0
luigi/task.py::get_param_values::225::275,1.0
luigi/task.py::list_to_tuple::268::273,1.0
luigi/task.py::__init__::277::293,1.0
luigi/task.py::to_str_params::315::325,1.0
luigi/task.py::task_id_str::70::87,1.0
luigi/task_register.py::__call__::75::104,1.0
luigi/task_register.py::task_family::120::131,1.0
