Entity,Score
luigi/task.py::get_param_values::194::244,10.0
luigi/scheduler.py::__init__::501::522,0.004714757190004715
luigi/task_register.py::__call__::70::99,0.0045024763619991
luigi/task_register.py::instantiate::77::78,0.0045024763619991
luigi/task.py::get_params::176::192,0.004462293618920125
luigi/task_register.py::task_family::115::126,0.00444247001332741
luigi/six.py::iteritems::562::563,0.004422821760283061
luigi/worker.py::_run_get_new_deps::87::108,0.0
luigi/worker.py::__init__::77::85,0.0
luigi/worker.py::run::673::711,0.0
luigi/worker.py::_keep_alive::655::671,0.0
luigi/worker.py::_sleeper::647::653,0.0
luigi/worker.py::_handle_next_task::583::645,0.0
luigi/worker.py::_purge_children::565::581,0.0
luigi/worker.py::_run_task::549::563,0.0
luigi/worker.py::_get_work::519::547,0.0
luigi/worker.py::_log_remote_tasks::508::517,0.0
luigi/worker.py::_add_worker::504::506,0.0
luigi/worker.py::_check_complete_value::498::502,0.0
luigi/worker.py::_validate_dependency::492::496,0.0
luigi/worker.py::_add::426::490,0.0
luigi/worker.py::add::384::424,0.0
luigi/worker.py::_email_unexpected_error::378::382,0.0
luigi/worker.py::_email_complete_error::371::376,0.0
luigi/worker.py::_log_unexpected_error::368::369,0.0
luigi/worker.py::_log_complete_error::364::366,0.0
luigi/worker.py::_validate_task::356::362,0.0
luigi/worker.py::_generate_worker_info::331::354,0.0
luigi/worker.py::stop::314::329,0.0
luigi/worker.py::__init__::280::312,0.0
luigi/worker.py::run::257::267,0.0
luigi/worker.py::stop::254::255,0.0
luigi/worker.py::__init__::247::252,0.0
luigi/worker.py::check_complete::205::214,0.0
luigi/worker.py::__init__::201::202,0.0
luigi/worker.py::__init__::192::193,0.0
luigi/worker.py::apply_async::174::175,0.0
luigi/worker.py::run::110::164,0.0
luigi/tools/parse_task.py::id_to_name_and_params::21::68,0.0
luigi/task_register.py::__new__::54::68,0.0
luigi/task_register.py::load_task::199::206,0.0
luigi/task_register.py::get_all_params::185::196,0.0
luigi/task_register.py::get_task_cls::172::183,0.0
luigi/task_register.py::tasks_str::165::170,0.0
luigi/task_register.py::task_names::158::163,0.0
luigi/task_register.py::_get_reg::128::150,0.0
luigi/task_history.py::task_started::73::74,0.0
luigi/task_history.py::task_finished::70::71,0.0
luigi/task_history.py::task_scheduled::67::68,0.0
luigi/task.py::id_to_name_and_params::61::64,0.0
luigi/task.py::flatten::552::585,0.0
luigi/task.py::getpaths::531::549,0.0
luigi/task.py::on_success::466::475,0.0
luigi/task.py::on_failure::453::464,0.0
luigi/task.py::run::445::451,0.0
luigi/task.py::deps::436::443,0.0
luigi/task.py::input::425::434,0.0
luigi/task.py::process_resources::417::423,0.0
luigi/task.py::_requires::405::415,0.0
luigi/task.py::requires::391::403,0.0
luigi/task.py::output::373::389,0.0
luigi/task.py::complete::346::361,0.0
luigi/task.py::__eq__::343::344,0.0
luigi/task.py::__repr__::340::341,0.0
luigi/task.py::to_str_params::302::309,0.0
luigi/task.py::from_str_params::286::300,0.0
luigi/task.py::initialized::280::284,0.0
luigi/task.py::__init__::246::278,0.0
luigi/task.py::list_to_tuple::237::242,0.0
luigi/task.py::task_family::169::174,0.0
luigi/task.py::task_module::163::167,0.0
luigi/task.py::trigger_event::147::161,0.0
luigi/task.py::event_handler::137::145,0.0
luigi/task.py::wrapped::142::144,0.0
luigi/target.py::__exit__::255::259,0.0
luigi/target.py::tmp_path::251::253,0.0
luigi/target.py::__del__::247::249,0.0
luigi/target.py::close::237::239,0.0
luigi/target.py::__init__::232::235,0.0
luigi/target.py::exists::202::212,0.0
luigi/target.py::__init__::173::179,0.0
luigi/six.py::__get__::94::103,0.0
luigi/six.py::_import_module::83::86,0.0
luigi/six.py::itervalues::559::560,0.0
luigi/six.py::find_module::185::188,0.0
luigi/six.py::_resolve::162::164,0.0
luigi/server.py::initialize::90::91,0.0
luigi/server.py::get::71::83,0.0
luigi/server.py::initialize::68::69,0.0
luigi/server.py::app::226::240,0.0
luigi/server.py::get::216::223,0.0
luigi/scheduler.py::_update_task_history::984::994,0.0
luigi/scheduler.py::fetch_error::978::982,0.0
luigi/scheduler.py::re_enable_task::970::976,0.0
luigi/scheduler.py::task_search::955::968,0.0
luigi/scheduler.py::_traverse_inverse_deps::942::953,0.0
luigi/scheduler.py::inverse_dep_graph::935::940,0.0
luigi/scheduler.py::worker_list::905::933,0.0
luigi/scheduler.py::task_list::884::903,0.0
luigi/scheduler.py::dep_graph::877::882,0.0
luigi/scheduler.py::_recurse_deps::851::875,0.0
luigi/scheduler.py::graph::844::849,0.0
luigi/scheduler.py::_serialize_task::825::842,0.0
luigi/scheduler.py::_upstream_status::799::823,0.0
luigi/scheduler.py::ping::795::797,0.0
luigi/scheduler.py::get_work::699::793,0.0
luigi/scheduler.py::_schedulable::690::697,0.0
luigi/scheduler.py::_rank::670::688,0.0
luigi/scheduler.py::not_done::678::680,0.0
luigi/scheduler.py::_used_resources::661::668,0.0
luigi/scheduler.py::_has_resources::651::659,0.0
luigi/scheduler.py::update_resources::646::649,0.0
luigi/scheduler.py::add_worker::643::644,0.0
luigi/scheduler.py::add_task::576::641,0.0
luigi/scheduler.py::_update_priority::563::574,0.0
luigi/scheduler.py::update::556::561,0.0
luigi/scheduler.py::prune::530::554,0.0
luigi/scheduler.py::get_necessary_tasks::484::491,0.0
luigi/scheduler.py::inactivate_workers::474::482,0.0
luigi/scheduler.py::get_worker::471::472,0.0
luigi/scheduler.py::get_assistants::465::466,0.0
luigi/scheduler.py::get_active_workers::459::463,0.0
luigi/scheduler.py::inactivate_tasks::451::457,0.0
luigi/scheduler.py::prune::416::449,0.0
luigi/scheduler.py::set_status::376::414,0.0
luigi/scheduler.py::re_enable::369::374,0.0
luigi/scheduler.py::has_task::366::367,0.0
luigi/scheduler.py::get_task::358::364,0.0
luigi/scheduler.py::num_pending_tasks::352::356,0.0
luigi/scheduler.py::get_pending_tasks::348::350,0.0
luigi/scheduler.py::get_active_tasks::337::343,0.0
luigi/scheduler.py::__init__::288::292,0.0
luigi/scheduler.py::__str__::275::276,0.0
luigi/scheduler.py::assistant::271::273,0.0
luigi/scheduler.py::is_trivial_worker::260::269,0.0
luigi/scheduler.py::get_pending_tasks::248::258,0.0
luigi/scheduler.py::prune::243::246,0.0
luigi/scheduler.py::update::238::241,0.0
luigi/scheduler.py::add_info::235::236,0.0
luigi/scheduler.py::__init__::227::233,0.0
luigi/scheduler.py::can_disable::217::219,0.0
luigi/scheduler.py::has_excessive_failures::202::215,0.0
luigi/scheduler.py::add_failure::199::200,0.0
luigi/scheduler.py::__init__::170::194,0.0
luigi/scheduler.py::_get_default::161::165,0.0
luigi/scheduler.py::clear::154::158,0.0
luigi/scheduler.py::num_failures::143::152,0.0
luigi/scheduler.py::add_failure::132::141,0.0
luigi/scheduler.py::__init__::122::130,0.0
luigi/scheduler.py::fix_time::105::111,0.0
luigi/rpc.py::_request::94::100,0.0
luigi/rpc.py::_fetch::64::92,0.0
luigi/rpc.py::__init__::50::59,0.0
luigi/rpc.py::__init__::40::42,0.0
luigi/rpc.py::re_enable_task::166::167,0.0
luigi/rpc.py::prune::163::164,0.0
luigi/rpc.py::update_resources::160::161,0.0
luigi/rpc.py::add_worker::157::158,0.0
luigi/rpc.py::task_list::141::146,0.0
luigi/rpc.py::get_work::125::130,0.0
luigi/rpc.py::add_task::106::123,0.0
luigi/rpc.py::ping::102::104,0.0
luigi/parameter.py::parse::548::560,0.0
luigi/parameter.py::_parseSimple::541::546,0.0
luigi/parameter.py::_parseIso8601::531::539,0.0
luigi/parameter.py::optional_field::535::536,0.0
luigi/parameter.py::field::532::533,0.0
luigi/parameter.py::_apply_regex::517::529,0.0
luigi/parameter.py::parse::486::502,0.0
luigi/parameter.py::parse::458::462,0.0
luigi/parameter.py::parse::439::443,0.0
luigi/parameter.py::parse::427::431,0.0
luigi/parameter.py::parse::417::419,0.0
luigi/parameter.py::serialize::388::394,0.0
luigi/parameter.py::parse::380::386,0.0
luigi/parameter.py::set_global_from_args::358::366,0.0
luigi/parameter.py::parse_from_args::351::356,0.0
luigi/parameter.py::add_to_cmdline_parser::320::349,0.0
luigi/parameter.py::parser_dest::308::318,0.0
luigi/parameter.py::parse_from_input::278::300,0.0
luigi/parameter.py::serialize::266::276,0.0
luigi/parameter.py::parse::252::264,0.0
luigi/parameter.py::reset_global::249::250,0.0
luigi/parameter.py::set_global::241::247,0.0
luigi/parameter.py::task_value::234::239,0.0
luigi/parameter.py::has_task_value::231::232,0.0
luigi/parameter.py::_get_value::172::197,0.0
luigi/parameter.py::_get_value_from_config::157::170,0.0
luigi/parameter.py::__init__::104::155,0.0
luigi/notifications.py::send_email_smtp::79::99,0.0
luigi/notifications.py::wrap_traceback::73::76,0.0
luigi/notifications.py::generate_email::47::70,0.0
luigi/notifications.py::email_type::43::44,0.0
luigi/notifications.py::_prefix::183::192,0.0
luigi/notifications.py::send_error_email::160::180,0.0
luigi/notifications.py::send_email::132::157,0.0
luigi/mock.py::__init__::90::100,0.0
luigi/mock.py::clear::83::84,0.0
luigi/mock.py::remove::53::65,0.0
luigi/mock.py::get_all_data::41::45,0.0
luigi/mock.py::open::115::173,0.0
luigi/mock.py::seekable::165::166,0.0
luigi/mock.py::writeable::162::163,0.0
luigi/mock.py::readable::159::160,0.0
luigi/mock.py::__enter__::156::157,0.0
luigi/mock.py::__exit__::152::154,0.0
luigi/mock.py::close::143::150,0.0
luigi/mock.py::write::127::141,0.0
luigi/mock.py::set_wrapper::124::125,0.0
luigi/mock.py::exists::102::103,0.0
luigi/interface.py::setup_interface_logging::39::58,0.0
luigi/interface.py::build::428::452,0.0
luigi/interface.py::run::399::425,0.0
luigi/interface.py::parse::363::396,0.0
luigi/interface.py::add_task_option::366::370,0.0
luigi/interface.py::__init__::360::361,0.0
luigi/interface.py::_process_args::344::349,0.0
luigi/interface.py::parse::318::331,0.0
luigi/interface.py::parse::301::302,0.0
luigi/interface.py::parse_task::247::299,0.0
luigi/interface.py::set_global_parameters::236::239,0.0
luigi/interface.py::get_task_parameters::228::233,0.0
luigi/interface.py::add_global_parameters::223::225,0.0
luigi/interface.py::get_global_parameters::214::220,0.0
luigi/interface.py::add_task_parameters::209::211,0.0
luigi/interface.py::error_task_names::196::206,0.0
luigi/interface.py::_editdistance::180::193,0.0
luigi/interface.py::run::127::176,0.0
luigi/interface.py::create_worker::117::119,0.0
luigi/interface.py::create_local_scheduler::111::112,0.0
luigi/format.py::get_default_format::511::517,0.0
luigi/format.py::pipe_writer::449::450,0.0
luigi/format.py::pipe_reader::446::447,0.0
luigi/format.py::__enter__::427::429,0.0
luigi/format.py::__getattr__::422::425,0.0
luigi/format.py::__init__::415::420,0.0
luigi/format.py::__del__::405::413,0.0
luigi/format.py::__exit__::398::403,0.0
luigi/format.py::__getattr__::38::40,0.0
luigi/format.py::__init__::35::36,0.0
luigi/file.py::__init__::92::106,0.0
luigi/file.py::remove::82::86,0.0
luigi/file.py::isdir::73::74,0.0
luigi/file.py::exists::54::55,0.0
luigi/file.py::generate_tmp_path::43::44,0.0
luigi/file.py::move_to_final_destination::40::41,0.0
luigi/file.py::__del__::155::157,0.0
luigi/file.py::remove::140::141,0.0
luigi/file.py::open::117::127,0.0
luigi/file.py::makedirs::108::115,0.0
luigi/deprecate_kwarg.py::new_function::42::52,0.0
luigi/date_interval.py::next::90::92,0.0
luigi/date_interval.py::prev::86::88,0.0
luigi/date_interval.py::__repr__::83::84,0.0
luigi/date_interval.py::__str__::80::81,0.0
luigi/date_interval.py::hours::74::78,0.0
luigi/date_interval.py::dates::64::72,0.0
luigi/date_interval.py::__init__::60::62,0.0
luigi/date_interval.py::parse::265::271,0.0
luigi/date_interval.py::to_string::262::263,0.0
luigi/date_interval.py::parse::248::251,0.0
