Entity,Score
luigi/contrib/hive.py::table_exists::137::149,0.9523809523809523
luigi/worker.py::_run_get_new_deps::87::108,0.0
luigi/worker.py::__init__::77::85,0.0
luigi/worker.py::run::669::707,0.0
luigi/worker.py::_keep_alive::651::667,0.0
luigi/worker.py::_handle_next_task::579::641,0.0
luigi/worker.py::_purge_children::561::577,0.0
luigi/worker.py::_run_task::545::559,0.0
luigi/worker.py::_get_work::515::543,0.0
luigi/worker.py::_log_remote_tasks::504::513,0.0
luigi/worker.py::_add_worker::500::502,0.0
luigi/worker.py::_check_complete_value::494::498,0.0
luigi/worker.py::_add::422::486,0.0
luigi/worker.py::add::380::420,0.0
luigi/worker.py::_validate_task::352::358,0.0
luigi/worker.py::_generate_worker_info::327::350,0.0
luigi/worker.py::stop::310::325,0.0
luigi/worker.py::__init__::276::308,0.0
luigi/worker.py::run::253::263,0.0
luigi/worker.py::stop::250::251,0.0
luigi/worker.py::__init__::243::248,0.0
luigi/worker.py::check_complete::205::214,0.0
luigi/worker.py::apply_async::174::175,0.0
luigi/worker.py::run::110::164,0.0
luigi/task_register.py::__call__::70::99,0.0
luigi/task_register.py::instantiate::77::78,0.0
luigi/task_register.py::get_all_params::181::192,0.0
luigi/task_register.py::get_task_cls::168::179,0.0
luigi/task_register.py::task_names::154::159,0.0
luigi/task_register.py::__get_reg::128::152,0.0
luigi/task_register.py::task_family::115::126,0.0
luigi/task_history.py::task_started::73::74,0.0
luigi/task_history.py::task_finished::70::71,0.0
luigi/task_history.py::task_scheduled::67::68,0.0
luigi/task.py::flatten::542::575,0.0
luigi/task.py::on_success::456::465,0.0
luigi/task.py::process_resources::407::413,0.0
luigi/task.py::requires::381::393,0.0
luigi/task.py::output::363::379,0.0
luigi/task.py::complete::336::351,0.0
luigi/task.py::__repr__::330::331,0.0
luigi/task.py::to_str_params::292::299,0.0
luigi/task.py::initialized::270::274,0.0
luigi/task.py::__init__::236::268,0.0
luigi/task.py::get_param_values::184::234,0.0
luigi/task.py::list_to_tuple::227::232,0.0
luigi/task.py::get_params::166::182,0.0
luigi/task.py::task_family::159::164,0.0
luigi/task.py::task_module::153::157,0.0
luigi/task.py::trigger_event::137::151,0.0
luigi/target.py::__init__::153::159,0.0
luigi/six.py::iteritems::562::563,0.0
luigi/six.py::itervalues::559::560,0.0
luigi/six.py::find_module::185::188,0.0
luigi/scheduler.py::_update_task_history::905::915,0.0
luigi/scheduler.py::_upstream_status::725::749,0.0
luigi/scheduler.py::get_work::634::720,0.0
luigi/scheduler.py::_schedulable::625::632,0.0
luigi/scheduler.py::_rank::605::623,0.0
luigi/scheduler.py::not_done::613::615,0.0
luigi/scheduler.py::_used_resources::596::603,0.0
luigi/scheduler.py::_has_resources::586::594,0.0
luigi/scheduler.py::add_worker::578::579,0.0
luigi/scheduler.py::add_task::513::576,0.0
luigi/scheduler.py::_update_priority::500::511,0.0
