Entity,Score
luigi/util.py::__call__::300::310,0.979592357337823
luigi/util.py::__call__::276::288,0.959184714675646
luigi/task_register.py::task_family::117::125,0.0
luigi/task_register.py::_module_parents::233::243,0.0
luigi/task_register.py::_get_reg::127::150,-0.015305731996632741
luigi/task_register.py::_get_namespace::225::231,-0.020407642662176987
luigi/task.py::get_task_namespace::306::317,-0.02915377523168141
luigi/task_register.py::_set_reg::152::156,-0.02915377523168141
luigi/task.py::get_task_family::330::343,-0.051019106655442466
luigi/task.py::get_params::345::361,-0.26019744394275657
