Entity,Score
pandas/core/arrays/datetimelike.py::validate_periods::1551::1574,0.0
pandas/core/arrays/datetimelike.py::validate_endpoints::1577::1607,0.0
pandas/core/arrays/datetimelike.py::validate_inferred_freq::1610::1642,0.0
pandas/core/arrays/datetimelike.py::maybe_infer_freq::1645::1669,0.0
pandas/core/arrays/timedeltas.py::_validate_td64_dtype::1050::1063,0.0
pandas/core/arrays/timedeltas.py::_generate_regular_range::1066::1084,0.0
pandas/core/arrays/timedeltas.py::__init__::143::192,0.0
pandas/core/arrays/timedeltas.py::_simple_new::194::203,0.0
pandas/core/arrays/timedeltas.py::_from_sequence::205::225,0.0
pandas/core/arrays/timedeltas.py::_generate_range::227::264,0.0
pandas/core/arrays/timedeltas.py::sequence_to_td64ns::889::972,0.0
pandas/core/common.py::count_not_none::209::213,0.0
pandas/core/dtypes/common.py::_is_dtype::1646::1668,0.0
pandas/core/dtypes/common.py::_get_dtype::1671::1704,0.0
pandas/core/dtypes/common.py::_is_dtype_type::1707::1749,0.0
pandas/core/dtypes/common.py::pandas_dtype::1843::1890,0.0
pandas/core/dtypes/common.py::classes_and_not_datetimelike::210::218,0.0
pandas/core/dtypes/common.py::condition::604::605,0.0
pandas/core/dtypes/common.py::is_dtype_equal::684::720,0.0
pandas/core/indexes/base.py::maybe_extract_name::5639::5652,0.0
pandas/core/indexes/timedeltas.py::__new__::142::182,0.0
pandas/core/indexes/timedeltas.py::_simple_new::184::206,0.0
pandas/core/indexes/timedeltas.py::timedelta_range::326::399,0.0
pandas/tseries/frequencies.py::to_offset::74::182,0.0
pandas/tseries/frequencies.py::_get_offset::204::232,0.0
pandas/tseries/offsets.py::__init__::2551::2556,0.0
pandas/tseries/offsets.py::__ne__::2602::2617,0.0
pandas/tseries/offsets.py::delta::2619::2621,0.0
pandas/tseries/offsets.py::_repr_attrs::392::405,0.0
pandas/tseries/offsets.py::freqstr::462::481,0.0
