Entity,Score
spacy/errors.py::__getattribute__::9::11,0.4280697349698977
spacy/util.py::set_lang_class::84::90,0.0
spacy/util.py::get_lang_class::66::81,0.0
spacy/util.py::get_words_and_spaces::762::789,0.0
spacy/util.py::escape_html::673::684,0.0
spacy/util.py::from_bytes::633::639,0.0
spacy/util.py::to_bytes::624::630,0.0
spacy/util.py::lang_class_is_loaded::55::63,0.0
spacy/util.py::normalize_slice::458::471,0.0
spacy/util.py::_get_attr_unless_lookup::407::411,0.0
spacy/util.py::compile_infix_regex::384::391,0.0
spacy/util.py::compile_suffix_regex::374::381,0.0
spacy/util.py::compile_prefix_regex::357::371,0.0
spacy/util.py::is_in_jupyter::283::295,0.0
spacy/util.py::get_module_path::147::150,0.0
spacy/util.py::ensure_path::119::128,0.0
spacy/lookups.py::get_table::66::80,0.0
spacy/lookups.py::__contains__::33::40,0.0
spacy/lookups.py::__init__::24::31,0.0
spacy/lookups.py::has_table::94::102,0.0
spacy/lemmatizer.py::__call__::34::70,0.0
spacy/lemmatizer.py::__init__::23::32,0.0
spacy/language.py::create_tokenizer::85::106,0.0
spacy/language.py::create_vocab::67::83,0.0
spacy/language.py::create_lookups::53::65,0.0
spacy/language.py::create_lemmatizer::47::51,0.0
spacy/language.py::make_doc::457::458,0.0
spacy/language.py::__call__::415::443,0.0
spacy/language.py::__init__::141::182,0.0
spacy/lang/lex_attrs.py::is_left_punct::85::104,0.0
spacy/lang/lex_attrs.py::is_quote::60::82,0.0
spacy/lang/lex_attrs.py::is_bracket::55::57,0.0
spacy/lang/lex_attrs.py::is_ascii::34::38,0.0
spacy/lang/lex_attrs.py::is_punct::27::31,0.0
spacy/lang/lex_attrs.py::get_prob::225::226,0.0
spacy/lang/lex_attrs.py::is_oov::221::222,0.0
spacy/lang/lex_attrs.py::is_stop::217::218,0.0
spacy/lang/lex_attrs.py::is_upper::213::214,0.0
spacy/lang/lex_attrs.py::is_title::209::210,0.0
spacy/lang/lex_attrs.py::is_space::205::206,0.0
spacy/lang/lex_attrs.py::is_lower::201::202,0.0
spacy/lang/lex_attrs.py::is_digit::197::198,0.0
spacy/lang/lex_attrs.py::is_alpha::193::194,0.0
spacy/lang/lex_attrs.py::cluster::189::190,0.0
spacy/lang/lex_attrs.py::suffix::185::186,0.0
spacy/lang/lex_attrs.py::prefix::181::182,0.0
spacy/lang/lex_attrs.py::lower::177::178,0.0
spacy/lang/lex_attrs.py::word_shape::150::174,0.0
spacy/lang/lex_attrs.py::like_url::124::147,0.0
spacy/lang/lex_attrs.py::like_email::120::121,0.0
spacy/lang/lex_attrs.py::is_currency::112::117,0.0
spacy/lang/lex_attrs.py::is_right_punct::107::109,0.0
spacy/lang/fa/lex_attrs.py::like_num::84::101,0.0
spacy/lang/en/lex_attrs.py::like_num::47::59,0.0
spacy/lang/en/__init__.py::_return_en::19::20,0.0
spacy/displacy/render.py::render_svg::78::111,0.0
spacy/displacy/render.py::render::47::76,0.0
spacy/displacy/render.py::__init__::27::45,0.0
spacy/displacy/render.py::render_ents::303::335,0.0
spacy/displacy/render.py::render::279::301,0.0
spacy/displacy/render.py::__init__::235::277,0.0
spacy/displacy/render.py::get_levels::219::227,0.0
spacy/displacy/render.py::get_arrowhead::192::217,0.0
spacy/displacy/render.py::get_arc::178::190,0.0
spacy/displacy/render.py::render_arrow::134::176,0.0
spacy/displacy/render.py::render_word::113::132,0.0
spacy/displacy/__init__.py::render::23::64,0.0
spacy/displacy/__init__.py::get_doc_settings::212::216,0.0
spacy/displacy/__init__.py::set_render_wrapper::195::209,0.0
spacy/displacy/__init__.py::parse_ents::178::192,0.0
spacy/displacy/__init__.py::parse_deps::116::175,0.0
