Entity,Score
tqdm/_tqdm.py::__exit__::877::879,1.0
tqdm/_monitor.py::__init__::31::46,0.0
tqdm/_tqdm.py::status_printer::174::195,0.0
tqdm/_tqdm.py::__new__::401::422,0.0
tqdm/_tqdm.py::__init__::641::866,0.0
tqdm/_tqdm.py::__len__::868::872,0.0
tqdm/_tqdm.py::_comparable::893::895,0.0
tqdm/_utils.py::_is_utf::142::153,0.0
tqdm/_utils.py::__eq__::129::130,-0.00012366266556112243
tqdm/_monitor.py::report::95::96,-0.00018549399834168364
tqdm/_tqdm.py::format_interval::153::172,-0.00018549399834168364
tqdm/_tqdm.py::_decr_instances::431::457,-0.00018549399834168364
tqdm/_tqdm.py::format_meter::197::399,-0.00018549399834168366
tqdm/_tqdm.py::close::1075::1124,-0.00027824099751252545
tqdm/_tqdm.py::_get_free_pos::424::429,-0.0004405482460614987
tqdm/_tqdm.py::__repr__::884::891,-0.001283000155196645
tqdm/_tqdm.py::print_status::190::193,-0.0018549399834168366
