Entity,Score
youtube_dl/utils.py::parse_dfxp_time_expr::1977::1987,1.0
youtube_dl/utils.py::date_from_str::966::992,0.0
youtube_dl/utils.py::determine_ext::937::959,0.0
youtube_dl/utils.py::unified_strdate::871::934,0.0
youtube_dl/utils.py::parse_iso8601::840::868,0.0
youtube_dl/utils.py::__init__::817::818,0.0
youtube_dl/utils.py::__init__::800::803,0.0
youtube_dl/utils.py::__init__::694::696,0.0
youtube_dl/utils.py::__init__::539::557,0.0
youtube_dl/utils.py::bug_reports_message::525::533,0.0
youtube_dl/utils.py::make_HTTPS_handler::500::522,0.0
youtube_dl/utils.py::encodeArgument::468::474,0.0
youtube_dl/utils.py::encodeFilename::437::454,0.0
youtube_dl/utils.py::unescapeHTML::416::422,0.0
youtube_dl/utils.py::_htmlentity_transform::392::413,0.0
youtube_dl/utils.py::orderedSet::383::389,0.0
youtube_dl/utils.py::sanitized_Request::378::380,0.0
youtube_dl/utils.py::sanitize_path::358::373,0.0
youtube_dl/utils.py::sanitize_filename::320::355,0.0
youtube_dl/utils.py::replace_insane::325::338,0.0
youtube_dl/utils.py::timeconvert::311::317,0.0
youtube_dl/utils.py::clean_html::262::276,0.0
youtube_dl/utils.py::__init__::2525::2531,0.0
youtube_dl/utils.py::xpath_attr::221::231,0.0
youtube_dl/utils.py::xpath_text::206::218,0.0
youtube_dl/utils.py::cli_valueless_option::2049::2051,0.0
youtube_dl/utils.py::cli_bool_option::2041::2046,0.0
youtube_dl/utils.py::cli_option::2036::2038,0.0
youtube_dl/utils.py::xpath_element::181::203,0.0
youtube_dl/utils.py::match_filter_func::1967::1974,0.0
youtube_dl/utils.py::_match_func::1968::1973,0.0
youtube_dl/utils.py::match_str::1960::1964,0.0
youtube_dl/utils.py::_match_one::1901::1957,0.0
youtube_dl/utils.py::render_table::1893::1898,0.0
youtube_dl/utils.py::is_html::1851::1868,0.0
youtube_dl/utils.py::_find_xpath::182::185,0.0
youtube_dl/utils.py::age_restricted::1841::1848,0.0
youtube_dl/utils.py::args_to_str::1804::1806,0.0
youtube_dl/utils.py::ytdl_is_updateable::1797::1801,0.0
youtube_dl/utils.py::version_tuple::1784::1785,0.0
youtube_dl/utils.py::limit_length::1774::1781,0.0
youtube_dl/utils.py::xpath_with_ns::169::178,0.0
youtube_dl/utils.py::js_to_json::1736::1758,0.0
youtube_dl/utils.py::fix_kv::1737::1750,0.0
youtube_dl/utils.py::strip_jsonp::1731::1733,0.0
youtube_dl/utils.py::urlencode_postdata::1705::1706,0.0
youtube_dl/utils.py::read_batch_urls::1689::1702,0.0
youtube_dl/utils.py::fixup::1690::1699,0.0
youtube_dl/utils.py::escape_url::1661::1669,0.0
youtube_dl/utils.py::escape_rfc3986::1654::1658,0.0
youtube_dl/utils.py::lowercase_escape::1646::1651,0.0
youtube_dl/utils.py::uppercase_escape::1638::1643,0.0
youtube_dl/utils.py::getslice::1615::1635,0.0
youtube_dl/utils.py::__init__::1610::1613,0.0
youtube_dl/utils.py::getslice::1571::1606,0.0
youtube_dl/utils.py::__init__::1567::1569,0.0
youtube_dl/utils.py::detect_exe_version::1549::1557,0.0
youtube_dl/utils.py::replace_extension::1517::1521,0.0
youtube_dl/utils.py::prepend_extension::1509::1514,0.0
youtube_dl/utils.py::parse_duration::1463::1506,0.0
youtube_dl/utils.py::find_xpath_attr::144::150,0.0
youtube_dl/utils.py::float_or_none::1454::1460,0.0
youtube_dl/utils.py::str_to_int::1446::1451,0.0
youtube_dl/utils.py::url_basename::1418::1420,0.0
youtube_dl/utils.py::remove_quotes::1409::1415,0.0
youtube_dl/utils.py::fix_xml_ampersands::1374::1379,0.0
youtube_dl/utils.py::parse_filesize::1301::1352,0.0
youtube_dl/utils.py::unsmuggle_url::1278::1284,0.0
youtube_dl/utils.py::smuggle_url::1270::1275,0.0
youtube_dl/utils.py::shell_quote::1259::1267,0.0
youtube_dl/utils.py::get_filesystem_encoding::1254::1256,0.0
youtube_dl/utils.py::intlist_to_bytes::1152::1155,0.0
youtube_dl/utils.py::bytes_to_intlist::1143::1149,0.0
youtube_dl/utils.py::write_string::1121::1140,0.0
youtube_dl/utils.py::__contains__::1026::1030,0.0
youtube_dl/utils.py::__init__::1008::1019,0.0
youtube_dl/postprocessor/common.py::set_downloader::37::39,0.0
youtube_dl/postprocessor/common.py::__init__::34::35,0.0
youtube_dl/extractor/youtube.py::__init__::751::753,0.0
youtube_dl/extractor/common.py::_sort_formats::764::825,0.0
youtube_dl/extractor/common.py::_formats_key::768::824,0.0
youtube_dl/extractor/common.py::ie_key::310::313,0.0
youtube_dl/extractor/common.py::set_downloader::298::300,0.0
youtube_dl/extractor/common.py::__init__::251::254,0.0
youtube_dl/extractor/__init__.py::gen_extractors::871::875,0.0
youtube_dl/cache.py::__init__::16::17,0.0
youtube_dl/aes.py::key_expansion::63::95,0.0
youtube_dl/aes.py::aes_cbc_decrypt::37::60,0.0
youtube_dl/aes.py::aes_ctr_decrypt::11::34,0.0
youtube_dl/aes.py::inc::321::329,0.0
youtube_dl/aes.py::shift_rows_inv::313::318,0.0
youtube_dl/aes.py::shift_rows::305::310,0.0
youtube_dl/aes.py::mix_columns_inv::301::302,0.0
youtube_dl/aes.py::mix_columns::293::298,0.0
youtube_dl/aes.py::mix_column::282::290,0.0
youtube_dl/aes.py::rijndael_mul::276::279,0.0
youtube_dl/aes.py::xor::272::273,0.0
youtube_dl/aes.py::key_schedule_core::264::269,0.0
youtube_dl/aes.py::rotate::260::261,0.0
youtube_dl/aes.py::sub_bytes_inv::256::257,0.0
youtube_dl/aes.py::sub_bytes::252::253,0.0
youtube_dl/aes.py::aes_decrypt_text::140::175,0.0
youtube_dl/aes.py::next_value::167::170,0.0
youtube_dl/aes.py::aes_decrypt::119::137,0.0
youtube_dl/aes.py::aes_encrypt::98::116,0.0
youtube_dl/YoutubeDL.py::_parse_format_selection::973::1027,0.0
youtube_dl/YoutubeDL.py::_remove_unused_ops::942::971,0.0
youtube_dl/YoutubeDL.py::_parse_filter::934::940,0.0
youtube_dl/YoutubeDL.py::build_format_selector::921::1182,0.0
youtube_dl/YoutubeDL.py::syntax_error::922::926,0.0
youtube_dl/YoutubeDL.py::_build_format_filter::864::919,0.0
youtube_dl/YoutubeDL.py::_filter::914::918,0.0
youtube_dl/YoutubeDL.py::process_ie_result::699::862,0.0
youtube_dl/YoutubeDL.py::iter_playlistitems::762::769,0.0
youtube_dl/YoutubeDL.py::add_extra_info::632::636,0.0
youtube_dl/YoutubeDL.py::_match_entry::590::630,0.0
youtube_dl/YoutubeDL.py::prepare_filename::547::588,0.0
youtube_dl/YoutubeDL.py::to_stdout::426::435,0.0
youtube_dl/YoutubeDL.py::_write_string::423::424,0.0
youtube_dl/YoutubeDL.py::to_screen::419::421,0.0
youtube_dl/YoutubeDL.py::_bidi_workaround::406::417,0.0
youtube_dl/YoutubeDL.py::add_post_processor::397::400,0.0
youtube_dl/YoutubeDL.py::add_default_info_extractors::390::395,0.0
youtube_dl/YoutubeDL.py::add_info_extractor::372::376,0.0
youtube_dl/YoutubeDL.py::__init__::279::354,0.0
youtube_dl/YoutubeDL.py::_setup_opener::1951::1990,0.0
youtube_dl/YoutubeDL.py::print_debug_header::1886::1949,0.0
youtube_dl/YoutubeDL.py::_format_note::1788::1836,0.0
youtube_dl/YoutubeDL.py::format_resolution::1771::1786,0.0
youtube_dl/YoutubeDL.py::in_download_archive::1743::1760,0.0
youtube_dl/YoutubeDL.py::post_process::1710::1730,0.0
youtube_dl/YoutubeDL.py::process_info::1399::1661,0.0
youtube_dl/YoutubeDL.py::process_subtitles::1350::1397,0.0
youtube_dl/YoutubeDL.py::process_video_result::1202::1348,0.0
youtube_dl/YoutubeDL.py::_calc_cookies::1197::1200,0.0
youtube_dl/YoutubeDL.py::_calc_headers::1184::1195,0.0
youtube_dl/YoutubeDL.py::restore_last_token::1178::1179,0.0
youtube_dl/YoutubeDL.py::__next__::1169::1174,0.0
youtube_dl/YoutubeDL.py::__iter__::1166::1167,0.0
youtube_dl/YoutubeDL.py::__init__::1162::1164,0.0
youtube_dl/YoutubeDL.py::_build_selector_function::1029::1153,0.0
youtube_dl/YoutubeDL.py::final_selector::1149::1152,0.0
youtube_dl/YoutubeDL.py::selector_function::1142::1145,0.0
youtube_dl/YoutubeDL.py::_merge::1104::1139,0.0
youtube_dl/YoutubeDL.py::selector_function::1052::1102,0.0
youtube_dl/YoutubeDL.py::selector_function::1043::1048,0.0
youtube_dl/YoutubeDL.py::selector_function::1033::1036,0.0
