Entity,Score
black.py::2914,0.0
black.py::2915,0.0
black.py::2916,0.0
black.py::2917,0.0
black.py::2918,0.0
black.py::2920,0.0
black.py::2921,0.0
black.py::2922,0.0
black.py::2923,0.0
black.py::2925,0.0
black.py::2928,0.0
black.py::2929,0.0
black.py::2930,0.0
black.py::2931,0.0
black.py::2932,0.0
black.py::2933,0.0
black.py::2934,0.0
black.py::2937,0.0
black.py::2938,0.0
black.py::2939,0.0
black.py::2942,0.0
black.py::649,0.0
black.py::651,0.0
black.py::654,0.0
black.py::655,0.0
black.py::668,0.0
blib2to3/pgen2/driver.py::34,0.0
blib2to3/pgen2/driver.py::44,0.0
blib2to3/pgen2/driver.py::45,0.0
blib2to3/pgen2/driver.py::49,0.0
blib2to3/pgen2/driver.py::51,0.0
blib2to3/pgen2/driver.py::52,0.0
blib2to3/pgen2/driver.py::54,0.0
blib2to3/pgen2/driver.py::58,0.0
blib2to3/pgen2/driver.py::61,0.0
blib2to3/pgen2/driver.py::64,0.0
blib2to3/pgen2/driver.py::65,0.0
blib2to3/pgen2/driver.py::66,0.0
blib2to3/pgen2/driver.py::67,0.0
blib2to3/pgen2/driver.py::68,0.0
blib2to3/pgen2/driver.py::70,0.0
blib2to3/pgen2/driver.py::73,0.0
blib2to3/pgen2/driver.py::78,0.0
blib2to3/pgen2/driver.py::81,0.0
blib2to3/pgen2/driver.py::82,0.0
blib2to3/pgen2/driver.py::84,0.0
blib2to3/pgen2/driver.py::86,0.0
blib2to3/pgen2/driver.py::89,0.0
blib2to3/pgen2/driver.py::90,0.0
blib2to3/pgen2/driver.py::91,0.0
blib2to3/pgen2/parse.py::102,0.0
blib2to3/pgen2/parse.py::108,0.0
blib2to3/pgen2/parse.py::119,0.0
blib2to3/pgen2/parse.py::123,0.0
blib2to3/pgen2/parse.py::125,0.0
blib2to3/pgen2/parse.py::127,0.0
blib2to3/pgen2/parse.py::132,0.0
blib2to3/pgen2/parse.py::134,0.0
blib2to3/pgen2/parse.py::136,0.0
blib2to3/pgen2/parse.py::137,0.0
blib2to3/pgen2/parse.py::140,0.0
blib2to3/pgen2/parse.py::141,0.0
blib2to3/pgen2/parse.py::145,0.0
blib2to3/pgen2/parse.py::148,0.0
blib2to3/pgen2/parse.py::150,0.0
blib2to3/pgen2/parse.py::153,0.0
blib2to3/pgen2/parse.py::163,0.0
blib2to3/pgen2/parse.py::168,0.0
blib2to3/pgen2/parse.py::171,0.0
blib2to3/pgen2/parse.py::177,0.0
blib2to3/pgen2/parse.py::180,0.0
blib2to3/pgen2/parse.py::181,0.0
blib2to3/pgen2/parse.py::182,0.0
blib2to3/pgen2/parse.py::186,0.0
blib2to3/pgen2/parse.py::188,0.0
blib2to3/pgen2/parse.py::195,0.0
blib2to3/pgen2/parse.py::196,0.0
blib2to3/pgen2/parse.py::197,0.0
blib2to3/pgen2/parse.py::198,0.0
blib2to3/pgen2/parse.py::87,0.0
blib2to3/pgen2/tokenize.py::355,0.0
blib2to3/pgen2/tokenize.py::361,0.0
blib2to3/pgen2/tokenize.py::362,0.0
blib2to3/pgen2/tokenize.py::363,0.0
blib2to3/pgen2/tokenize.py::370,0.0
blib2to3/pgen2/tokenize.py::394,0.0
blib2to3/pgen2/tokenize.py::397,0.0
blib2to3/pgen2/tokenize.py::398,0.0
blib2to3/pgen2/tokenize.py::399,0.0
blib2to3/pgen2/tokenize.py::400,0.0
blib2to3/pgen2/tokenize.py::403,0.0
blib2to3/pgen2/tokenize.py::413,0.0
blib2to3/pgen2/tokenize.py::415,0.0
blib2to3/pgen2/tokenize.py::417,0.0
blib2to3/pgen2/tokenize.py::422,0.0
blib2to3/pgen2/tokenize.py::426,0.0
blib2to3/pgen2/tokenize.py::440,0.0
blib2to3/pgen2/tokenize.py::450,0.0
blib2to3/pgen2/tokenize.py::457,0.0
blib2to3/pgen2/tokenize.py::458,0.0
blib2to3/pgen2/tokenize.py::462,0.0
blib2to3/pgen2/tokenize.py::471,0.0
blib2to3/pgen2/tokenize.py::480,0.0
blib2to3/pgen2/tokenize.py::481,0.0
blib2to3/pgen2/tokenize.py::483,0.0
blib2to3/pgen2/tokenize.py::493,0.0
blib2to3/pgen2/tokenize.py::494,0.0
blib2to3/pgen2/tokenize.py::508,0.0
blib2to3/pgen2/tokenize.py::515,0.0
blib2to3/pgen2/tokenize.py::519,0.0
blib2to3/pgen2/tokenize.py::537,0.0
blib2to3/pgen2/tokenize.py::560,0.0
blib2to3/pgen2/tokenize.py::562,0.0
blib2to3/pytree.py::220,0.0
blib2to3/pytree.py::223,0.0
blib2to3/pytree.py::224,0.0
blib2to3/pytree.py::227,0.0
blib2to3/pytree.py::229,0.0
blib2to3/pytree.py::350,0.0
blib2to3/pytree.py::351,0.0
blib2to3/pytree.py::355,0.0
blib2to3/pytree.py::419,0.0
blib2to3/pytree.py::422,0.0
blib2to3/pytree.py::423,0.0
blib2to3/pytree.py::51,0.0
