Entity,Score
cookiecutter/generate.py::70,1.0
cookiecutter/generate.py::71,1.0
cookiecutter/generate.py::72,1.0
cookiecutter/generate.py::73,1.0
cookiecutter/generate.py::74,1.0
cookiecutter/generate.py::75,1.0
cookiecutter/generate.py::76,1.0
cookiecutter/generate.py::77,1.0
cookiecutter/generate.py::78,1.0
cookiecutter/generate.py::79,1.0
cookiecutter/generate.py::80,1.0
cookiecutter/generate.py::81,1.0
cookiecutter/generate.py::82,1.0
cookiecutter/generate.py::83,1.0
cookiecutter/generate.py::84,1.0
cookiecutter/generate.py::85,1.0
cookiecutter/generate.py::86,1.0
cookiecutter/generate.py::87,1.0
cookiecutter/generate.py::88,1.0
cookiecutter/generate.py::89,1.0
cookiecutter/generate.py::90,1.0
cookiecutter/generate.py::91,1.0
cookiecutter/generate.py::92,1.0
cookiecutter/generate.py::93,1.0
cookiecutter/generate.py::94,1.0
cookiecutter/generate.py::95,1.0
cookiecutter/generate.py::96,1.0
cookiecutter/generate.py::97,1.0
cookiecutter/generate.py::98,1.0
cookiecutter/generate.py::99,1.0
cookiecutter/generate.py::100,1.0
cookiecutter/generate.py::101,1.0
cookiecutter/generate.py::102,1.0
cookiecutter/generate.py::103,1.0
cookiecutter/generate.py::104,1.0
cookiecutter/generate.py::105,1.0
cookiecutter/generate.py::106,1.0
cookiecutter/generate.py::107,1.0
cookiecutter/generate.py::108,1.0
cookiecutter/generate.py::109,1.0
cookiecutter/generate.py::110,1.0
cookiecutter/generate.py::111,1.0
