Entity,Score
fastapi/dependencies/utils.py::332,0.0
fastapi/dependencies/utils.py::335,0.0
fastapi/dependencies/utils.py::337,0.0
fastapi/dependencies/utils.py::406,0.0
fastapi/dependencies/utils.py::407,0.0
fastapi/dependencies/utils.py::413,0.0
fastapi/dependencies/utils.py::415,0.0
fastapi/dependencies/utils.py::417,0.0
fastapi/dependencies/utils.py::421,0.0
fastapi/dependencies/utils.py::423,0.0
fastapi/dependencies/utils.py::436,0.0
fastapi/encoders.py::19,0.0
fastapi/encoders.py::21,0.0
fastapi/encoders.py::23,0.0
fastapi/encoders.py::36,0.0
fastapi/encoders.py::38,0.0
fastapi/encoders.py::40,0.0
fastapi/encoders.py::42,0.0
fastapi/encoders.py::43,0.0
fastapi/encoders.py::45,0.0
fastapi/encoders.py::46,0.0
fastapi/encoders.py::47,0.0
fastapi/encoders.py::49,0.0
fastapi/encoders.py::50,0.0
fastapi/routing.py::104,0.0
fastapi/routing.py::107,0.0
fastapi/routing.py::108,0.0
fastapi/routing.py::112,0.0
fastapi/routing.py::130,0.0
fastapi/routing.py::46,0.0
fastapi/routing.py::49,0.0
fastapi/routing.py::53,0.0
fastapi/routing.py::85,0.0
