Entity,Score
fastapi/openapi/utils.py::72,1.0
fastapi/openapi/utils.py::73,1.0
fastapi/openapi/utils.py::74,1.0
fastapi/openapi/utils.py::75,1.0
fastapi/openapi/utils.py::76,1.0
fastapi/openapi/utils.py::77,1.0
fastapi/openapi/utils.py::78,1.0
fastapi/openapi/utils.py::79,1.0
fastapi/openapi/utils.py::80,1.0
fastapi/openapi/utils.py::81,1.0
fastapi/openapi/utils.py::82,1.0
fastapi/openapi/utils.py::83,1.0
fastapi/openapi/utils.py::84,1.0
fastapi/openapi/utils.py::85,1.0
fastapi/openapi/utils.py::86,1.0
fastapi/openapi/utils.py::87,1.0
fastapi/openapi/utils.py::88,1.0
fastapi/openapi/utils.py::89,1.0
fastapi/openapi/utils.py::90,1.0
fastapi/openapi/utils.py::91,1.0
fastapi/openapi/utils.py::92,1.0
fastapi/openapi/utils.py::93,1.0
fastapi/openapi/utils.py::94,1.0
fastapi/routing.py::66,1.0
fastapi/routing.py::67,1.0
fastapi/routing.py::68,1.0
fastapi/routing.py::69,1.0
fastapi/routing.py::70,1.0
fastapi/routing.py::71,1.0
fastapi/routing.py::72,1.0
fastapi/routing.py::73,1.0
fastapi/routing.py::74,1.0
fastapi/routing.py::75,1.0
fastapi/routing.py::76,1.0
fastapi/routing.py::77,1.0
fastapi/routing.py::78,1.0
fastapi/routing.py::79,1.0
fastapi/routing.py::80,1.0
fastapi/routing.py::81,1.0
fastapi/routing.py::82,1.0
fastapi/routing.py::83,1.0
fastapi/routing.py::84,1.0
fastapi/routing.py::85,1.0
fastapi/routing.py::86,1.0
fastapi/routing.py::87,1.0
fastapi/routing.py::88,1.0
fastapi/routing.py::89,1.0
fastapi/routing.py::90,1.0
fastapi/routing.py::91,1.0
fastapi/routing.py::92,1.0
fastapi/routing.py::93,1.0
fastapi/routing.py::94,1.0
fastapi/routing.py::95,1.0
fastapi/routing.py::96,1.0
fastapi/routing.py::97,1.0
fastapi/routing.py::98,1.0
fastapi/routing.py::99,1.0
fastapi/routing.py::100,1.0
fastapi/routing.py::101,1.0
fastapi/routing.py::102,1.0
fastapi/routing.py::103,1.0
fastapi/routing.py::104,1.0
fastapi/routing.py::105,1.0
fastapi/routing.py::106,1.0
fastapi/routing.py::107,1.0
fastapi/routing.py::108,1.0
fastapi/routing.py::109,1.0
fastapi/routing.py::110,1.0
fastapi/routing.py::111,1.0
fastapi/routing.py::112,1.0
fastapi/routing.py::113,1.0
fastapi/routing.py::114,1.0
fastapi/routing.py::115,1.0
fastapi/routing.py::116,1.0
fastapi/routing.py::117,1.0
fastapi/routing.py::118,1.0
fastapi/routing.py::119,1.0
fastapi/routing.py::120,1.0
fastapi/routing.py::121,1.0
fastapi/routing.py::122,1.0
fastapi/routing.py::123,1.0
fastapi/routing.py::124,1.0
fastapi/routing.py::125,1.0
fastapi/routing.py::126,1.0
fastapi/routing.py::127,1.0
fastapi/routing.py::128,1.0
fastapi/routing.py::129,1.0
fastapi/routing.py::130,1.0
fastapi/routing.py::131,1.0
fastapi/routing.py::132,1.0
fastapi/routing.py::133,1.0
fastapi/routing.py::134,1.0
fastapi/openapi/utils.py::142,0.5
fastapi/openapi/utils.py::143,0.5
fastapi/openapi/utils.py::144,0.5
fastapi/openapi/utils.py::145,0.5
fastapi/openapi/utils.py::146,0.5
fastapi/openapi/utils.py::147,0.5
fastapi/openapi/utils.py::148,0.5
fastapi/openapi/utils.py::149,0.5
fastapi/openapi/utils.py::150,0.5
fastapi/openapi/utils.py::151,0.5
fastapi/openapi/utils.py::152,0.5
fastapi/openapi/utils.py::153,0.5
fastapi/openapi/utils.py::154,0.5
fastapi/openapi/utils.py::155,0.5
fastapi/openapi/utils.py::156,0.5
fastapi/openapi/utils.py::157,0.5
fastapi/openapi/utils.py::158,0.5
fastapi/openapi/utils.py::159,0.5
fastapi/openapi/utils.py::160,0.5
fastapi/openapi/utils.py::161,0.5
fastapi/openapi/utils.py::162,0.5
fastapi/openapi/utils.py::163,0.5
fastapi/openapi/utils.py::164,0.5
fastapi/openapi/utils.py::165,0.5
fastapi/openapi/utils.py::166,0.5
fastapi/openapi/utils.py::167,0.5
fastapi/openapi/utils.py::168,0.5
fastapi/openapi/utils.py::169,0.5
fastapi/openapi/utils.py::170,0.5
fastapi/openapi/utils.py::171,0.5
fastapi/openapi/utils.py::172,0.5
fastapi/openapi/utils.py::173,0.5
fastapi/openapi/utils.py::174,0.5
fastapi/openapi/utils.py::175,0.5
fastapi/openapi/utils.py::176,0.5
fastapi/openapi/utils.py::177,0.5
fastapi/openapi/utils.py::178,0.5
fastapi/openapi/utils.py::179,0.5
fastapi/openapi/utils.py::180,0.5
fastapi/openapi/utils.py::181,0.5
fastapi/openapi/utils.py::182,0.5
fastapi/openapi/utils.py::183,0.5
fastapi/openapi/utils.py::184,0.5
fastapi/openapi/utils.py::185,0.5
fastapi/openapi/utils.py::186,0.5
fastapi/openapi/utils.py::187,0.5
fastapi/openapi/utils.py::188,0.5
fastapi/openapi/utils.py::189,0.5
fastapi/openapi/utils.py::190,0.5
fastapi/openapi/utils.py::191,0.5
fastapi/openapi/utils.py::192,0.5
fastapi/openapi/utils.py::193,0.5
fastapi/openapi/utils.py::194,0.5
fastapi/openapi/utils.py::195,0.5
fastapi/openapi/utils.py::196,0.5
fastapi/openapi/utils.py::197,0.5
fastapi/openapi/utils.py::198,0.5
fastapi/openapi/utils.py::199,0.5
fastapi/openapi/utils.py::200,0.5
fastapi/openapi/utils.py::201,0.5
fastapi/openapi/utils.py::202,0.5
fastapi/openapi/utils.py::203,0.5
fastapi/openapi/utils.py::204,0.5
fastapi/openapi/utils.py::205,0.5
fastapi/openapi/utils.py::206,0.5
fastapi/openapi/utils.py::207,0.5
fastapi/openapi/utils.py::208,0.5
fastapi/openapi/utils.py::209,0.5
fastapi/openapi/utils.py::210,0.5
fastapi/openapi/utils.py::211,0.5
fastapi/openapi/utils.py::212,0.5
fastapi/openapi/utils.py::213,0.5
fastapi/openapi/utils.py::214,0.5
fastapi/openapi/utils.py::215,0.5
fastapi/openapi/utils.py::216,0.5
fastapi/openapi/utils.py::217,0.5
fastapi/openapi/utils.py::218,0.5
fastapi/openapi/utils.py::219,0.5
fastapi/openapi/utils.py::220,0.5
fastapi/openapi/utils.py::221,0.5
fastapi/openapi/utils.py::222,0.5
fastapi/openapi/utils.py::223,0.5
fastapi/openapi/utils.py::224,0.5
fastapi/openapi/utils.py::225,0.5
fastapi/openapi/utils.py::226,0.5
fastapi/openapi/utils.py::227,0.5
fastapi/openapi/utils.py::228,0.5
fastapi/openapi/utils.py::229,0.5
fastapi/openapi/utils.py::232,0.3333333333333333
fastapi/openapi/utils.py::233,0.3333333333333333
fastapi/openapi/utils.py::234,0.3333333333333333
fastapi/openapi/utils.py::235,0.3333333333333333
fastapi/openapi/utils.py::236,0.3333333333333333
fastapi/openapi/utils.py::237,0.3333333333333333
fastapi/openapi/utils.py::238,0.3333333333333333
fastapi/openapi/utils.py::239,0.3333333333333333
fastapi/openapi/utils.py::240,0.3333333333333333
fastapi/openapi/utils.py::241,0.3333333333333333
fastapi/openapi/utils.py::242,0.3333333333333333
fastapi/openapi/utils.py::243,0.3333333333333333
fastapi/openapi/utils.py::244,0.3333333333333333
fastapi/openapi/utils.py::245,0.3333333333333333
fastapi/openapi/utils.py::246,0.3333333333333333
fastapi/openapi/utils.py::247,0.3333333333333333
fastapi/openapi/utils.py::248,0.3333333333333333
fastapi/openapi/utils.py::249,0.3333333333333333
fastapi/openapi/utils.py::250,0.3333333333333333
fastapi/openapi/utils.py::251,0.3333333333333333
fastapi/openapi/utils.py::252,0.3333333333333333
fastapi/openapi/utils.py::253,0.3333333333333333
fastapi/openapi/utils.py::254,0.3333333333333333
fastapi/openapi/utils.py::255,0.3333333333333333
fastapi/openapi/utils.py::256,0.3333333333333333
fastapi/openapi/utils.py::257,0.3333333333333333
fastapi/openapi/utils.py::258,0.3333333333333333
fastapi/openapi/utils.py::259,0.3333333333333333
fastapi/openapi/utils.py::260,0.3333333333333333
fastapi/openapi/utils.py::261,0.3333333333333333
fastapi/openapi/utils.py::262,0.3333333333333333
fastapi/openapi/utils.py::263,0.3333333333333333
fastapi/openapi/utils.py::264,0.3333333333333333
fastapi/openapi/utils.py::265,0.3333333333333333
fastapi/openapi/utils.py::266,0.3333333333333333
fastapi/openapi/utils.py::267,0.3333333333333333
fastapi/openapi/utils.py::268,0.3333333333333333
fastapi/openapi/utils.py::269,0.3333333333333333
fastapi/openapi/utils.py::270,0.3333333333333333
fastapi/openapi/utils.py::271,0.3333333333333333
fastapi/openapi/utils.py::272,0.3333333333333333
fastapi/applications.py::71,0.25
fastapi/applications.py::72,0.25
fastapi/applications.py::73,0.25
fastapi/applications.py::74,0.25
fastapi/applications.py::75,0.25
fastapi/applications.py::76,0.25
fastapi/applications.py::77,0.25
fastapi/applications.py::78,0.25
fastapi/applications.py::79,0.25
fastapi/applications.py::80,0.25
fastapi/applications.py::81,0.25
fastapi/applications.py::83,0.2
fastapi/applications.py::84,0.2
fastapi/applications.py::85,0.2
fastapi/applications.py::86,0.2
fastapi/applications.py::87,0.2
fastapi/applications.py::88,0.2
fastapi/applications.py::89,0.2
fastapi/applications.py::90,0.2
fastapi/applications.py::91,0.2
fastapi/applications.py::92,0.2
fastapi/applications.py::93,0.2
fastapi/applications.py::94,0.2
fastapi/applications.py::95,0.2
fastapi/applications.py::96,0.2
fastapi/applications.py::97,0.2
fastapi/applications.py::98,0.2
fastapi/applications.py::99,0.2
fastapi/applications.py::100,0.2
fastapi/applications.py::101,0.2
fastapi/applications.py::102,0.2
fastapi/applications.py::103,0.2
fastapi/applications.py::104,0.2
fastapi/applications.py::105,0.2
fastapi/applications.py::106,0.2
fastapi/applications.py::107,0.2
fastapi/applications.py::108,0.2
fastapi/applications.py::109,0.2
fastapi/applications.py::110,0.2
fastapi/applications.py::111,0.2
fastapi/applications.py::112,0.2
fastapi/applications.py::113,0.2
fastapi/applications.py::114,0.2
fastapi/applications.py::115,0.2
fastapi/applications.py::116,0.2
fastapi/applications.py::117,0.2
fastapi/applications.py::118,0.2
fastapi/applications.py::119,0.2
fastapi/applications.py::120,0.2
fastapi/applications.py::121,0.2
fastapi/applications.py::122,0.2
