Entity,Score
fastapi/utils.py::32,90.0
fastapi/utils.py::31,90.0
fastapi/routing.py::123,90.0
fastapi/routing.py::122,90.0
fastapi/routing.py::121,90.0
fastapi/routing.py::119,90.0
fastapi/routing.py::118,90.0
fastapi/routing.py::117,90.0
fastapi/routing.py::116,90.0
fastapi/routing.py::115,90.0
fastapi/routing.py::105,90.0
fastapi/routing.py::104,90.0
fastapi/routing.py::103,90.0
fastapi/routing.py::102,90.0
fastapi/routing.py::101,90.0
fastapi/exceptions.py::27,90.0
fastapi/exceptions.py::26,90.0
fastapi/exceptions.py::25,90.0
fastapi/exception_handlers.py::24,90.0
fastapi/exception_handlers.py::23,90.0
fastapi/exception_handlers.py::22,90.0
fastapi/encoders.py::99,90.0
fastapi/encoders.py::98,90.0
fastapi/encoders.py::96,90.0
fastapi/encoders.py::95,90.0
fastapi/encoders.py::94,90.0
fastapi/encoders.py::93,90.0
fastapi/encoders.py::92,90.0
fastapi/encoders.py::91,90.0
fastapi/encoders.py::90,90.0
fastapi/encoders.py::88,90.0
fastapi/encoders.py::87,90.0
fastapi/encoders.py::85,90.0
fastapi/encoders.py::84,90.0
fastapi/encoders.py::83,90.0
fastapi/encoders.py::81,90.0
fastapi/encoders.py::80,90.0
fastapi/encoders.py::79,90.0
fastapi/encoders.py::78,90.0
fastapi/encoders.py::77,90.0
fastapi/encoders.py::76,90.0
fastapi/encoders.py::74,90.0
fastapi/encoders.py::50,90.0
fastapi/encoders.py::48,90.0
fastapi/encoders.py::46,90.0
fastapi/encoders.py::40,90.0
fastapi/encoders.py::123,90.0
fastapi/encoders.py::120,90.0
fastapi/encoders.py::119,90.0
fastapi/encoders.py::118,90.0
fastapi/encoders.py::117,90.0
fastapi/encoders.py::116,90.0
fastapi/encoders.py::115,90.0
fastapi/encoders.py::114,90.0
fastapi/encoders.py::113,90.0
fastapi/encoders.py::112,90.0
fastapi/encoders.py::111,90.0
fastapi/encoders.py::110,90.0
fastapi/encoders.py::109,90.0
fastapi/encoders.py::108,90.0
fastapi/encoders.py::107,90.0
fastapi/encoders.py::106,90.0
fastapi/encoders.py::104,90.0
fastapi/encoders.py::103,90.0
fastapi/encoders.py::102,90.0
fastapi/encoders.py::101,90.0
fastapi/encoders.py::100,90.0
fastapi/dependencies/utils.py::685,90.0
fastapi/dependencies/utils.py::680,90.0
fastapi/dependencies/utils.py::679,90.0
fastapi/dependencies/utils.py::678,90.0
fastapi/dependencies/utils.py::670,90.0
fastapi/dependencies/utils.py::669,90.0
fastapi/dependencies/utils.py::664,90.0
fastapi/dependencies/utils.py::663,90.0
fastapi/dependencies/utils.py::643,90.0
fastapi/dependencies/utils.py::642,90.0
fastapi/dependencies/utils.py::640,90.0
fastapi/dependencies/utils.py::639,90.0
fastapi/dependencies/utils.py::638,90.0
fastapi/dependencies/utils.py::637,90.0
fastapi/dependencies/utils.py::632,90.0
fastapi/dependencies/utils.py::631,90.0
fastapi/dependencies/utils.py::630,90.0
fastapi/dependencies/utils.py::629,90.0
fastapi/dependencies/utils.py::627,90.0
fastapi/dependencies/utils.py::626,90.0
fastapi/dependencies/utils.py::625,90.0
fastapi/dependencies/utils.py::624,90.0
fastapi/dependencies/utils.py::623,90.0
fastapi/dependencies/utils.py::622,90.0
fastapi/dependencies/utils.py::621,90.0
fastapi/dependencies/utils.py::614,90.0
fastapi/dependencies/utils.py::575,90.0
fastapi/dependencies/utils.py::574,90.0
fastapi/dependencies/utils.py::573,90.0
fastapi/dependencies/utils.py::566,90.0
fastapi/dependencies/utils.py::562,90.0
fastapi/dependencies/utils.py::560,90.0
fastapi/dependencies/utils.py::556,90.0
fastapi/dependencies/utils.py::554,90.0
fastapi/dependencies/utils.py::552,90.0
fastapi/dependencies/utils.py::551,90.0
fastapi/dependencies/utils.py::550,90.0
fastapi/dependencies/utils.py::548,90.0
fastapi/dependencies/utils.py::547,90.0
fastapi/dependencies/utils.py::546,90.0
fastapi/dependencies/utils.py::545,90.0
fastapi/dependencies/utils.py::544,90.0
fastapi/dependencies/utils.py::543,90.0
fastapi/dependencies/utils.py::542,90.0
fastapi/dependencies/utils.py::541,90.0
fastapi/dependencies/utils.py::540,90.0
fastapi/dependencies/utils.py::539,90.0
fastapi/dependencies/utils.py::538,90.0
fastapi/dependencies/utils.py::536,90.0
fastapi/dependencies/utils.py::535,90.0
fastapi/dependencies/utils.py::533,90.0
fastapi/dependencies/utils.py::532,90.0
fastapi/dependencies/utils.py::530,90.0
fastapi/dependencies/utils.py::529,90.0
fastapi/dependencies/utils.py::527,90.0
fastapi/dependencies/utils.py::526,90.0
fastapi/dependencies/utils.py::460,90.0
fastapi/dependencies/utils.py::458,90.0
fastapi/dependencies/utils.py::456,90.0
fastapi/dependencies/utils.py::455,90.0
fastapi/dependencies/utils.py::454,90.0
fastapi/dependencies/utils.py::453,90.0
fastapi/dependencies/utils.py::452,90.0
fastapi/dependencies/utils.py::451,90.0
fastapi/dependencies/utils.py::450,90.0
fastapi/dependencies/utils.py::449,90.0
fastapi/applications.py::140,90.0
fastapi/applications.py::139,90.0
fastapi/applications.py::138,90.0
fastapi/applications.py::137,90.0
