Entity,Score
httpie/client.py::101,1.0
httpie/client.py::102,1.0
httpie/client.py::123,1.0
httpie/client.py::129,1.0
httpie/client.py::135,1.0
httpie/client.py::136,1.0
httpie/client.py::32,1.0
httpie/client.py::44,1.0
httpie/client.py::46,1.0
httpie/client.py::70,1.0
httpie/client.py::80,1.0
httpie/client.py::82,1.0
httpie/client.py::87,1.0
httpie/config.py::34,1.0
httpie/config.py::36,1.0
httpie/config.py::41,1.0
httpie/config.py::62,1.0
httpie/config.py::65,1.0
httpie/config.py::69,1.0
httpie/context.py::63,1.0
httpie/context.py::65,1.0
httpie/context.py::66,1.0
httpie/context.py::68,1.0
httpie/context.py::74,1.0
httpie/context.py::80,1.0
httpie/core.py::123,1.0
httpie/core.py::126,1.0
httpie/core.py::145,1.0
httpie/core.py::160,1.0
httpie/core.py::208,1.0
httpie/core.py::81,1.0
httpie/core.py::96,1.0
httpie/input.py::125,1.0
httpie/input.py::174,1.0
httpie/input.py::205,1.0
httpie/input.py::206,1.0
httpie/input.py::244,1.0
httpie/input.py::281,1.0
httpie/input.py::319,1.0
httpie/input.py::331,1.0
httpie/input.py::368,1.0
httpie/input.py::375,1.0
httpie/input.py::377,1.0
httpie/input.py::386,1.0
httpie/input.py::389,1.0
httpie/input.py::638,1.0
httpie/models.py::57,1.0
httpie/models.py::58,1.0
httpie/models.py::60,1.0
httpie/output/formatters/headers.py::13,1.0
httpie/output/formatters/headers.py::14,1.0
httpie/output/formatters/json.py::13,1.0
httpie/output/formatters/json.py::23,1.0
httpie/output/formatters/json.py::24,1.0
httpie/output/formatters/xml.py::43,1.0
httpie/output/processing.py::11,1.0
httpie/output/processing.py::35,1.0
httpie/output/processing.py::36,1.0
httpie/output/processing.py::42,1.0
httpie/output/processing.py::47,1.0
httpie/output/processing.py::48,1.0
httpie/output/streams.py::103,1.0
httpie/output/streams.py::112,1.0
httpie/output/streams.py::135,1.0
httpie/output/streams.py::155,1.0
httpie/output/streams.py::157,1.0
httpie/output/streams.py::195,1.0
httpie/output/streams.py::203,1.0
httpie/output/streams.py::283,1.0
httpie/output/streams.py::284,1.0
httpie/output/streams.py::37,1.0
httpie/output/streams.py::67,1.0
httpie/output/streams.py::68,1.0
httpie/output/streams.py::79,1.0
httpie/output/streams.py::89,1.0
httpie/plugins/base.py::74,1.0
httpie/plugins/manager.py::28,1.0
httpie/plugins/manager.py::29,1.0
httpie/core.py::93,0.7071067811865475
httpie/output/streams.py::259,0.7071067811865475
httpie/client.py::112,0.5773502691896258
httpie/client.py::118,0.5773502691896258
httpie/core.py::105,0.5773502691896258
httpie/core.py::116,0.5773502691896258
httpie/core.py::121,0.5773502691896258
httpie/core.py::149,0.5773502691896258
httpie/core.py::89,0.5773502691896258
httpie/input.py::137,0.5773502691896258
httpie/input.py::139,0.5773502691896258
httpie/input.py::177,0.5773502691896258
httpie/input.py::358,0.5773502691896258
httpie/models.py::37,0.5773502691896258
httpie/models.py::59,0.5773502691896258
httpie/models.py::73,0.5773502691896258
httpie/models.py::83,0.5773502691896258
httpie/output/formatters/colors.py::32,0.5773502691896258
httpie/output/formatters/colors.py::33,0.5773502691896258
httpie/output/processing.py::38,0.5773502691896258
httpie/output/streams.py::151,0.5773502691896258
httpie/output/streams.py::159,0.5773502691896258
httpie/output/streams.py::231,0.5773502691896258
httpie/output/streams.py::290,0.5773502691896258
httpie/output/streams.py::32,0.5773502691896258
httpie/output/streams.py::35,0.5773502691896258
httpie/output/streams.py::73,0.5773502691896258
httpie/output/streams.py::83,0.5773502691896258
httpie/plugins/manager.py::52,0.5773502691896258
httpie/config.py::35,0.5
httpie/config.py::97,0.5
httpie/context.py::78,0.4082482904638631
httpie/input.py::217,0.4082482904638631
httpie/input.py::225,0.4082482904638631
httpie/input.py::258,0.4082482904638631
httpie/input.py::278,0.4082482904638631
httpie/input.py::280,0.4082482904638631
httpie/input.py::355,0.4082482904638631
httpie/input.py::362,0.4082482904638631
httpie/input.py::363,0.4082482904638631
httpie/input.py::387,0.4082482904638631
