Entity,Score
httpie/plugins/manager.py::54,10.0
httpie/plugins/manager.py::53,10.0
httpie/plugins/manager.py::52,10.0
httpie/plugins/manager.py::51,10.0
httpie/plugins/manager.py::50,10.0
httpie/plugins/manager.py::49,10.0
httpie/plugins/manager.py::46,10.0
httpie/plugins/manager.py::45,10.0
httpie/plugins/manager.py::34,10.0
httpie/plugins/manager.py::27,10.0
httpie/plugins/manager.py::26,10.0
httpie/plugins/manager.py::19,10.0
httpie/plugins/base.py::64,10.0
httpie/plugins/base.py::56,10.0
httpie/plugins/base.py::55,10.0
httpie/output/streams.py::94,10.0
httpie/output/streams.py::89,10.0
httpie/output/streams.py::87,10.0
httpie/output/streams.py::86,10.0
httpie/output/streams.py::85,10.0
httpie/output/streams.py::84,10.0
httpie/output/streams.py::83,10.0
httpie/output/streams.py::79,10.0
httpie/output/streams.py::77,10.0
httpie/output/streams.py::76,10.0
httpie/output/streams.py::75,10.0
httpie/output/streams.py::74,10.0
httpie/output/streams.py::73,10.0
httpie/output/streams.py::71,10.0
httpie/output/streams.py::70,10.0
httpie/output/streams.py::68,10.0
httpie/output/streams.py::67,10.0
httpie/output/streams.py::66,10.0
httpie/output/streams.py::65,10.0
httpie/output/streams.py::64,10.0
httpie/output/streams.py::63,10.0
httpie/output/streams.py::38,10.0
httpie/output/streams.py::37,10.0
httpie/output/streams.py::36,10.0
httpie/output/streams.py::35,10.0
httpie/output/streams.py::33,10.0
httpie/output/streams.py::32,10.0
httpie/output/streams.py::31,10.0
httpie/output/streams.py::29,10.0
httpie/output/streams.py::235,10.0
httpie/output/streams.py::234,10.0
httpie/output/streams.py::231,10.0
httpie/output/streams.py::230,10.0
httpie/output/streams.py::229,10.0
httpie/output/streams.py::228,10.0
httpie/output/streams.py::203,10.0
httpie/output/streams.py::197,10.0
httpie/output/streams.py::195,10.0
httpie/output/streams.py::193,10.0
httpie/output/streams.py::155,10.0
httpie/output/streams.py::153,10.0
httpie/output/streams.py::152,10.0
httpie/output/streams.py::151,10.0
httpie/output/streams.py::139,10.0
httpie/output/streams.py::138,10.0
httpie/output/streams.py::137,10.0
httpie/output/streams.py::136,10.0
httpie/output/streams.py::135,10.0
httpie/output/streams.py::121,10.0
httpie/output/streams.py::116,10.0
httpie/output/streams.py::115,10.0
httpie/output/streams.py::114,10.0
httpie/output/streams.py::113,10.0
httpie/output/streams.py::112,10.0
httpie/output/streams.py::111,10.0
httpie/output/streams.py::110,10.0
httpie/output/streams.py::103,10.0
httpie/output/processing.py::44,10.0
httpie/output/processing.py::43,10.0
httpie/output/processing.py::42,10.0
httpie/output/processing.py::39,10.0
httpie/output/processing.py::38,10.0
httpie/output/processing.py::37,10.0
httpie/output/processing.py::36,10.0
httpie/output/processing.py::35,10.0
httpie/output/processing.py::34,10.0
httpie/output/processing.py::33,10.0
httpie/output/formatters/headers.py::14,10.0
httpie/output/formatters/headers.py::13,10.0
httpie/output/formatters/headers.py::12,10.0
httpie/output/formatters/colors.py::35,10.0
httpie/output/formatters/colors.py::34,10.0
httpie/output/formatters/colors.py::33,10.0
httpie/output/formatters/colors.py::32,10.0
httpie/models.py::99,10.0
httpie/models.py::98,10.0
httpie/models.py::96,10.0
httpie/models.py::8,10.0
httpie/models.py::72,10.0
httpie/models.py::66,10.0
httpie/models.py::65,10.0
httpie/models.py::62,10.0
httpie/models.py::61,10.0
httpie/models.py::59,10.0
httpie/models.py::58,10.0
httpie/models.py::57,10.0
httpie/models.py::56,10.0
httpie/models.py::55,10.0
httpie/models.py::54,10.0
httpie/models.py::39,10.0
httpie/models.py::37,10.0
httpie/models.py::36,10.0
httpie/models.py::118,10.0
httpie/models.py::115,10.0
httpie/models.py::113,10.0
httpie/models.py::112,10.0
httpie/models.py::110,10.0
httpie/models.py::109,10.0
httpie/models.py::107,10.0
httpie/models.py::106,10.0
httpie/models.py::104,10.0
httpie/models.py::101,10.0
httpie/models.py::100,10.0
httpie/input.py::619,10.0
httpie/input.py::617,10.0
httpie/input.py::580,10.0
httpie/input.py::579,10.0
httpie/input.py::577,10.0
httpie/input.py::576,10.0
httpie/input.py::573,10.0
httpie/input.py::571,10.0
httpie/input.py::569,10.0
httpie/input.py::567,10.0
httpie/input.py::497,10.0
httpie/input.py::496,10.0
httpie/input.py::490,10.0
httpie/input.py::488,10.0
httpie/input.py::485,10.0
httpie/input.py::482,10.0
httpie/input.py::480,10.0
httpie/input.py::478,10.0
httpie/input.py::476,10.0
httpie/input.py::475,10.0
httpie/input.py::474,10.0
httpie/input.py::473,10.0
httpie/input.py::472,10.0
httpie/input.py::469,10.0
httpie/input.py::467,10.0
httpie/input.py::465,10.0
httpie/input.py::460,10.0
httpie/input.py::458,10.0
httpie/input.py::457,10.0
httpie/input.py::454,10.0
httpie/input.py::450,10.0
httpie/input.py::449,10.0
httpie/input.py::448,10.0
httpie/input.py::447,10.0
httpie/input.py::439,10.0
httpie/input.py::437,10.0
httpie/input.py::436,10.0
httpie/input.py::424,10.0
httpie/input.py::403,10.0
httpie/input.py::394,10.0
httpie/input.py::393,10.0
httpie/input.py::392,10.0
httpie/input.py::391,10.0
httpie/input.py::378,10.0
httpie/input.py::376,10.0
httpie/input.py::375,10.0
httpie/input.py::367,10.0
httpie/input.py::366,10.0
httpie/input.py::365,10.0
httpie/input.py::358,10.0
httpie/input.py::353,10.0
httpie/input.py::352,10.0
httpie/input.py::345,10.0
httpie/input.py::318,10.0
httpie/input.py::312,10.0
httpie/input.py::311,10.0
httpie/input.py::310,10.0
httpie/input.py::309,10.0
httpie/input.py::308,10.0
httpie/input.py::307,10.0
httpie/input.py::305,10.0
httpie/input.py::304,10.0
httpie/input.py::303,10.0
httpie/input.py::302,10.0
httpie/input.py::295,10.0
httpie/input.py::293,10.0
httpie/input.py::292,10.0
httpie/input.py::291,10.0
httpie/input.py::288,10.0
httpie/input.py::279,10.0
httpie/input.py::278,10.0
httpie/input.py::276,10.0
httpie/input.py::273,10.0
httpie/input.py::264,10.0
httpie/input.py::244,10.0
httpie/input.py::230,10.0
httpie/input.py::228,10.0
httpie/input.py::212,10.0
httpie/input.py::204,10.0
httpie/input.py::202,10.0
httpie/input.py::193,10.0
httpie/input.py::192,10.0
httpie/input.py::182,10.0
httpie/input.py::171,10.0
httpie/input.py::168,10.0
httpie/input.py::149,10.0
httpie/input.py::147,10.0
httpie/input.py::133,10.0
httpie/input.py::131,10.0
httpie/input.py::130,10.0
httpie/input.py::129,10.0
httpie/input.py::128,10.0
httpie/input.py::127,10.0
httpie/input.py::126,10.0
httpie/input.py::125,10.0
httpie/input.py::124,10.0
httpie/input.py::123,10.0
httpie/input.py::119,10.0
httpie/input.py::117,10.0
httpie/input.py::116,10.0
httpie/input.py::115,10.0
httpie/input.py::110,10.0
httpie/input.py::109,10.0
httpie/core.py::98,10.0
httpie/core.py::93,10.0
httpie/core.py::91,10.0
httpie/core.py::90,10.0
httpie/core.py::89,10.0
httpie/core.py::84,10.0
httpie/core.py::81,10.0
httpie/core.py::79,10.0
httpie/core.py::77,10.0
httpie/core.py::76,10.0
httpie/core.py::66,10.0
httpie/core.py::64,10.0
httpie/core.py::188,10.0
httpie/core.py::185,10.0
httpie/core.py::144,10.0
httpie/core.py::142,10.0
httpie/core.py::139,10.0
httpie/core.py::137,10.0
httpie/core.py::134,10.0
httpie/core.py::132,10.0
httpie/core.py::129,10.0
httpie/core.py::128,10.0
httpie/core.py::114,10.0
httpie/core.py::112,10.0
httpie/core.py::103,10.0
httpie/core.py::101,10.0
httpie/core.py::100,10.0
httpie/context.py::68,10.0
httpie/context.py::65,10.0
httpie/context.py::64,10.0
httpie/context.py::63,10.0
httpie/context.py::62,10.0
httpie/context.py::58,10.0
httpie/context.py::57,10.0
httpie/context.py::53,10.0
httpie/context.py::52,10.0
httpie/context.py::51,10.0
httpie/context.py::50,10.0
httpie/context.py::49,10.0
httpie/context.py::48,10.0
httpie/context.py::45,10.0
httpie/context.py::44,10.0
httpie/config.py::97,10.0
httpie/config.py::94,10.0
httpie/config.py::93,10.0
httpie/config.py::92,10.0
httpie/config.py::70,10.0
httpie/config.py::69,10.0
httpie/config.py::68,10.0
httpie/config.py::66,10.0
httpie/config.py::65,10.0
httpie/config.py::63,10.0
httpie/config.py::62,10.0
httpie/config.py::60,10.0
httpie/config.py::41,10.0
httpie/config.py::38,10.0
httpie/config.py::36,10.0
httpie/config.py::35,10.0
httpie/config.py::34,10.0
httpie/config.py::33,10.0
httpie/config.py::32,10.0
httpie/config.py::23,10.0
httpie/client.py::99,10.0
httpie/client.py::98,10.0
httpie/client.py::94,10.0
httpie/client.py::93,10.0
httpie/client.py::91,10.0
httpie/client.py::90,10.0
httpie/client.py::88,10.0
httpie/client.py::87,10.0
httpie/client.py::78,10.0
httpie/client.py::77,10.0
httpie/client.py::76,10.0
httpie/client.py::67,10.0
httpie/client.py::63,10.0
httpie/client.py::58,10.0
httpie/client.py::56,10.0
httpie/client.py::53,10.0
httpie/client.py::47,10.0
httpie/client.py::46,10.0
httpie/client.py::45,10.0
httpie/client.py::34,10.0
httpie/client.py::25,10.0
httpie/client.py::23,10.0
httpie/client.py::22,10.0
httpie/client.py::21,10.0
httpie/client.py::123,10.0
httpie/client.py::120,10.0
httpie/client.py::119,10.0
httpie/client.py::118,10.0
httpie/client.py::117,10.0
httpie/client.py::116,10.0
httpie/client.py::115,10.0
httpie/client.py::114,10.0
httpie/client.py::113,10.0
httpie/client.py::112,10.0
httpie/client.py::111,10.0
httpie/client.py::109,10.0
httpie/client.py::108,10.0
httpie/client.py::107,10.0
httpie/client.py::106,10.0
httpie/client.py::105,10.0
httpie/cli.py::99,10.0
httpie/cli.py::97,10.0
httpie/cli.py::88,10.0
httpie/cli.py::87,10.0
httpie/cli.py::86,10.0
httpie/cli.py::84,10.0
httpie/cli.py::8,10.0
httpie/cli.py::74,10.0
httpie/cli.py::73,10.0
httpie/cli.py::72,10.0
httpie/cli.py::71,10.0
httpie/cli.py::70,10.0
httpie/cli.py::68,10.0
httpie/cli.py::64,10.0
httpie/cli.py::63,10.0
httpie/cli.py::62,10.0
httpie/cli.py::6,10.0
httpie/cli.py::569,10.0
httpie/cli.py::564,10.0
httpie/cli.py::563,10.0
httpie/cli.py::562,10.0
httpie/cli.py::561,10.0
httpie/cli.py::559,10.0
httpie/cli.py::555,10.0
httpie/cli.py::554,10.0
httpie/cli.py::553,10.0
httpie/cli.py::552,10.0
httpie/cli.py::550,10.0
httpie/cli.py::546,10.0
httpie/cli.py::545,10.0
httpie/cli.py::544,10.0
httpie/cli.py::543,10.0
httpie/cli.py::541,10.0
httpie/cli.py::54,10.0
httpie/cli.py::537,10.0
httpie/cli.py::536,10.0
httpie/cli.py::535,10.0
httpie/cli.py::534,10.0
httpie/cli.py::532,10.0
httpie/cli.py::528,10.0
httpie/cli.py::527,10.0
httpie/cli.py::526,10.0
httpie/cli.py::525,10.0
httpie/cli.py::523,10.0
httpie/cli.py::515,10.0
httpie/cli.py::504,10.0
httpie/cli.py::503,10.0
httpie/cli.py::502,10.0
httpie/cli.py::501,10.0
httpie/cli.py::5,10.0
httpie/cli.py::499,10.0
httpie/cli.py::494,10.0
httpie/cli.py::493,10.0
httpie/cli.py::492,10.0
httpie/cli.py::491,10.0
httpie/cli.py::490,10.0
httpie/cli.py::487,10.0
httpie/cli.py::482,10.0
httpie/cli.py::481,10.0
httpie/cli.py::480,10.0
httpie/cli.py::479,10.0
