Entity,Score
keras/engine/training_utils.py::503,1.0
keras/engine/training_utils.py::500,1.0
keras/engine/training_utils.py::498,0.9578544061302682
keras/engine/training_utils.py::492,0.9578544061302682
keras/engine/training_utils.py::486,0.9578544061302682
keras/engine/training_utils.py::499,0.6361323155216284
keras/engine/training_utils.py::485,0.6361323155216284
keras/engine/training_utils.py::481,0.6361323155216284
keras/engine/training_utils.py::471,0.6361323155216284
keras/engine/training_utils.py::452,0.6361323155216284
keras/utils/test_utils.py::39,0.0
keras/utils/test_utils.py::30,0.0
keras/utils/test_utils.py::29,0.0
keras/utils/test_utils.py::28,0.0
keras/utils/test_utils.py::27,0.0
keras/utils/test_utils.py::26,0.0
keras/utils/test_utils.py::25,0.0
keras/utils/np_utils.py::55,0.0
keras/utils/np_utils.py::54,0.0
keras/utils/np_utils.py::53,0.0
keras/utils/np_utils.py::52,0.0
keras/utils/np_utils.py::51,0.0
keras/utils/np_utils.py::50,0.0
keras/utils/np_utils.py::49,0.0
keras/utils/np_utils.py::48,0.0
keras/utils/np_utils.py::47,0.0
keras/utils/np_utils.py::45,0.0
keras/utils/np_utils.py::44,0.0
keras/utils/np_utils.py::43,0.0
keras/utils/layer_utils.py::99,0.0
keras/utils/layer_utils.py::98,0.0
keras/utils/layer_utils.py::97,0.0
keras/utils/layer_utils.py::96,0.0
keras/utils/layer_utils.py::94,0.0
keras/utils/layer_utils.py::93,0.0
keras/utils/layer_utils.py::92,0.0
keras/utils/layer_utils.py::91,0.0
keras/utils/layer_utils.py::90,0.0
keras/utils/layer_utils.py::89,0.0
keras/utils/layer_utils.py::88,0.0
keras/utils/layer_utils.py::86,0.0
keras/utils/layer_utils.py::85,0.0
keras/utils/layer_utils.py::84,0.0
keras/utils/layer_utils.py::83,0.0
keras/utils/layer_utils.py::81,0.0
keras/utils/layer_utils.py::79,0.0
keras/utils/layer_utils.py::78,0.0
keras/utils/layer_utils.py::77,0.0
keras/utils/layer_utils.py::76,0.0
keras/utils/layer_utils.py::75,0.0
keras/utils/layer_utils.py::72,0.0
keras/utils/layer_utils.py::71,0.0
keras/utils/layer_utils.py::67,0.0
keras/utils/layer_utils.py::66,0.0
keras/utils/layer_utils.py::65,0.0
keras/utils/layer_utils.py::64,0.0
keras/utils/layer_utils.py::63,0.0
keras/utils/layer_utils.py::61,0.0
keras/utils/layer_utils.py::60,0.0
keras/utils/layer_utils.py::59,0.0
keras/utils/layer_utils.py::58,0.0
keras/utils/layer_utils.py::54,0.0
keras/utils/layer_utils.py::53,0.0
keras/utils/layer_utils.py::52,0.0
keras/utils/layer_utils.py::51,0.0
keras/utils/layer_utils.py::50,0.0
keras/utils/layer_utils.py::45,0.0
keras/utils/layer_utils.py::44,0.0
keras/utils/layer_utils.py::43,0.0
keras/utils/layer_utils.py::41,0.0
keras/utils/layer_utils.py::40,0.0
keras/utils/layer_utils.py::291,0.0
keras/utils/layer_utils.py::290,0.0
keras/utils/layer_utils.py::289,0.0
keras/utils/layer_utils.py::288,0.0
keras/utils/layer_utils.py::286,0.0
keras/utils/layer_utils.py::285,0.0
keras/utils/layer_utils.py::284,0.0
keras/utils/layer_utils.py::283,0.0
keras/utils/layer_utils.py::282,0.0
keras/utils/layer_utils.py::281,0.0
keras/utils/layer_utils.py::280,0.0
keras/utils/layer_utils.py::279,0.0
keras/utils/layer_utils.py::277,0.0
keras/utils/layer_utils.py::275,0.0
keras/utils/layer_utils.py::274,0.0
keras/utils/layer_utils.py::271,0.0
keras/utils/layer_utils.py::270,0.0
keras/utils/layer_utils.py::269,0.0
keras/utils/layer_utils.py::266,0.0
keras/utils/layer_utils.py::21,0.0
keras/utils/layer_utils.py::184,0.0
keras/utils/layer_utils.py::183,0.0
keras/utils/layer_utils.py::182,0.0
keras/utils/layer_utils.py::181,0.0
keras/utils/layer_utils.py::180,0.0
keras/utils/layer_utils.py::178,0.0
keras/utils/layer_utils.py::176,0.0
keras/utils/layer_utils.py::174,0.0
keras/utils/layer_utils.py::173,0.0
keras/utils/layer_utils.py::172,0.0
keras/utils/layer_utils.py::170,0.0
keras/utils/layer_utils.py::168,0.0
keras/utils/layer_utils.py::167,0.0
keras/utils/layer_utils.py::166,0.0
keras/utils/layer_utils.py::164,0.0
keras/utils/layer_utils.py::163,0.0
keras/utils/layer_utils.py::162,0.0
keras/utils/layer_utils.py::161,0.0
keras/utils/layer_utils.py::156,0.0
keras/utils/layer_utils.py::155,0.0
keras/utils/layer_utils.py::154,0.0
keras/utils/layer_utils.py::153,0.0
keras/utils/layer_utils.py::152,0.0
keras/utils/layer_utils.py::151,0.0
keras/utils/layer_utils.py::149,0.0
keras/utils/layer_utils.py::147,0.0
keras/utils/layer_utils.py::146,0.0
keras/utils/layer_utils.py::145,0.0
keras/utils/layer_utils.py::144,0.0
keras/utils/layer_utils.py::142,0.0
keras/utils/layer_utils.py::140,0.0
keras/utils/layer_utils.py::139,0.0
keras/utils/layer_utils.py::138,0.0
keras/utils/layer_utils.py::137,0.0
keras/utils/layer_utils.py::136,0.0
keras/utils/layer_utils.py::133,0.0
keras/utils/layer_utils.py::132,0.0
keras/utils/layer_utils.py::131,0.0
keras/utils/layer_utils.py::128,0.0
keras/utils/layer_utils.py::127,0.0
keras/utils/layer_utils.py::121,0.0
keras/utils/layer_utils.py::119,0.0
keras/utils/layer_utils.py::118,0.0
keras/utils/layer_utils.py::117,0.0
keras/utils/layer_utils.py::116,0.0
keras/utils/layer_utils.py::115,0.0
keras/utils/layer_utils.py::112,0.0
keras/utils/layer_utils.py::111,0.0
keras/utils/layer_utils.py::110,0.0
keras/utils/layer_utils.py::108,0.0
keras/utils/layer_utils.py::107,0.0
keras/utils/layer_utils.py::106,0.0
keras/utils/layer_utils.py::104,0.0
keras/utils/layer_utils.py::103,0.0
keras/utils/layer_utils.py::102,0.0
keras/utils/layer_utils.py::101,0.0
keras/utils/layer_utils.py::100,0.0
keras/utils/generic_utils.py::566,0.0
keras/utils/generic_utils.py::563,0.0
keras/utils/generic_utils.py::559,0.0
keras/utils/generic_utils.py::557,0.0
keras/utils/generic_utils.py::555,0.0
keras/utils/generic_utils.py::554,0.0
keras/utils/generic_utils.py::553,0.0
keras/utils/generic_utils.py::551,0.0
keras/utils/generic_utils.py::550,0.0
keras/utils/generic_utils.py::549,0.0
keras/utils/generic_utils.py::548,0.0
keras/utils/generic_utils.py::53,0.0
keras/utils/generic_utils.py::525,0.0
keras/utils/generic_utils.py::524,0.0
keras/utils/generic_utils.py::523,0.0
keras/utils/generic_utils.py::522,0.0
keras/utils/generic_utils.py::521,0.0
keras/utils/generic_utils.py::52,0.0
keras/utils/generic_utils.py::517,0.0
keras/utils/generic_utils.py::516,0.0
keras/utils/generic_utils.py::512,0.0
keras/utils/generic_utils.py::511,0.0
keras/utils/generic_utils.py::510,0.0
keras/utils/generic_utils.py::496,0.0
keras/utils/generic_utils.py::494,0.0
keras/utils/generic_utils.py::493,0.0
keras/utils/generic_utils.py::492,0.0
keras/utils/generic_utils.py::49,0.0
keras/utils/generic_utils.py::48,0.0
keras/utils/generic_utils.py::470,0.0
keras/utils/generic_utils.py::47,0.0
keras/utils/generic_utils.py::468,0.0
keras/utils/generic_utils.py::467,0.0
keras/utils/generic_utils.py::465,0.0
keras/utils/generic_utils.py::462,0.0
keras/utils/generic_utils.py::461,0.0
keras/utils/generic_utils.py::460,0.0
keras/utils/generic_utils.py::46,0.0
keras/utils/generic_utils.py::459,0.0
keras/utils/generic_utils.py::458,0.0
keras/utils/generic_utils.py::457,0.0
keras/utils/generic_utils.py::456,0.0
keras/utils/generic_utils.py::455,0.0
keras/utils/generic_utils.py::453,0.0
keras/utils/generic_utils.py::452,0.0
keras/utils/generic_utils.py::450,0.0
keras/utils/generic_utils.py::449,0.0
keras/utils/generic_utils.py::446,0.0
keras/utils/generic_utils.py::445,0.0
keras/utils/generic_utils.py::441,0.0
keras/utils/generic_utils.py::439,0.0
keras/utils/generic_utils.py::438,0.0
keras/utils/generic_utils.py::437,0.0
keras/utils/generic_utils.py::436,0.0
keras/utils/generic_utils.py::435,0.0
keras/utils/generic_utils.py::434,0.0
keras/utils/generic_utils.py::433,0.0
keras/utils/generic_utils.py::431,0.0
keras/utils/generic_utils.py::43,0.0
keras/utils/generic_utils.py::429,0.0
keras/utils/generic_utils.py::428,0.0
keras/utils/generic_utils.py::426,0.0
keras/utils/generic_utils.py::424,0.0
keras/utils/generic_utils.py::422,0.0
keras/utils/generic_utils.py::42,0.0
keras/utils/generic_utils.py::419,0.0
keras/utils/generic_utils.py::416,0.0
keras/utils/generic_utils.py::415,0.0
keras/utils/generic_utils.py::414,0.0
keras/utils/generic_utils.py::411,0.0
keras/utils/generic_utils.py::410,0.0
keras/utils/generic_utils.py::408,0.0
keras/utils/generic_utils.py::407,0.0
keras/utils/generic_utils.py::403,0.0
keras/utils/generic_utils.py::402,0.0
keras/utils/generic_utils.py::401,0.0
keras/utils/generic_utils.py::399,0.0
keras/utils/generic_utils.py::398,0.0
keras/utils/generic_utils.py::397,0.0
keras/utils/generic_utils.py::396,0.0
keras/utils/generic_utils.py::395,0.0
keras/utils/generic_utils.py::394,0.0
keras/utils/generic_utils.py::393,0.0
keras/utils/generic_utils.py::392,0.0
keras/utils/generic_utils.py::391,0.0
keras/utils/generic_utils.py::390,0.0
keras/utils/generic_utils.py::388,0.0
keras/utils/generic_utils.py::384,0.0
keras/utils/generic_utils.py::383,0.0
keras/utils/generic_utils.py::381,0.0
keras/utils/generic_utils.py::380,0.0
keras/utils/generic_utils.py::379,0.0
keras/utils/generic_utils.py::378,0.0
keras/utils/generic_utils.py::377,0.0
keras/utils/generic_utils.py::376,0.0
keras/utils/generic_utils.py::374,0.0
keras/utils/generic_utils.py::368,0.0
keras/utils/generic_utils.py::367,0.0
keras/utils/generic_utils.py::365,0.0
keras/utils/generic_utils.py::364,0.0
keras/utils/generic_utils.py::363,0.0
keras/utils/generic_utils.py::362,0.0
keras/utils/generic_utils.py::361,0.0
keras/utils/generic_utils.py::360,0.0
keras/utils/generic_utils.py::347,0.0
keras/utils/generic_utils.py::346,0.0
keras/utils/generic_utils.py::345,0.0
keras/utils/generic_utils.py::344,0.0
keras/utils/generic_utils.py::343,0.0
keras/utils/generic_utils.py::342,0.0
keras/utils/generic_utils.py::341,0.0
keras/utils/generic_utils.py::340,0.0
keras/utils/generic_utils.py::338,0.0
keras/utils/generic_utils.py::335,0.0
keras/utils/generic_utils.py::334,0.0
keras/utils/generic_utils.py::333,0.0
keras/utils/generic_utils.py::332,0.0
keras/utils/generic_utils.py::331,0.0
keras/utils/generic_utils.py::312,0.0
keras/utils/generic_utils.py::311,0.0
keras/utils/generic_utils.py::310,0.0
keras/utils/generic_utils.py::308,0.0
keras/utils/generic_utils.py::307,0.0
keras/utils/generic_utils.py::306,0.0
keras/utils/generic_utils.py::305,0.0
keras/utils/generic_utils.py::304,0.0
keras/utils/generic_utils.py::303,0.0
keras/utils/generic_utils.py::296,0.0
keras/utils/generic_utils.py::291,0.0
keras/utils/generic_utils.py::168,0.0
keras/utils/generic_utils.py::165,0.0
keras/utils/generic_utils.py::164,0.0
keras/utils/generic_utils.py::161,0.0
keras/utils/generic_utils.py::159,0.0
keras/utils/generic_utils.py::158,0.0
keras/utils/generic_utils.py::157,0.0
keras/utils/generic_utils.py::156,0.0
keras/utils/generic_utils.py::155,0.0
keras/utils/generic_utils.py::154,0.0
keras/utils/generic_utils.py::149,0.0
keras/utils/generic_utils.py::148,0.0
keras/utils/generic_utils.py::147,0.0
keras/utils/generic_utils.py::146,0.0
keras/utils/generic_utils.py::145,0.0
keras/utils/generic_utils.py::144,0.0
keras/utils/generic_utils.py::143,0.0
keras/utils/generic_utils.py::142,0.0
keras/utils/generic_utils.py::141,0.0
keras/utils/generic_utils.py::138,0.0
keras/utils/generic_utils.py::137,0.0
keras/utils/generic_utils.py::136,0.0
keras/utils/generic_utils.py::133,0.0
keras/utils/generic_utils.py::131,0.0
keras/utils/generic_utils.py::130,0.0
keras/utils/generic_utils.py::128,0.0
keras/utils/generic_utils.py::127,0.0
keras/utils/generic_utils.py::125,0.0
keras/utils/generic_utils.py::123,0.0
keras/utils/generic_utils.py::112,0.0
keras/utils/generic_utils.py::111,0.0
keras/utils/generic_utils.py::109,0.0
keras/utils/generic_utils.py::108,0.0
keras/utils/generic_utils.py::107,0.0
keras/utils/data_utils.py::722,0.0
keras/utils/data_utils.py::710,0.0
keras/utils/data_utils.py::709,0.0
keras/utils/data_utils.py::708,0.0
keras/utils/data_utils.py::700,0.0
keras/utils/data_utils.py::699,0.0
keras/utils/data_utils.py::698,0.0
keras/utils/data_utils.py::697,0.0
keras/utils/data_utils.py::696,0.0
keras/utils/data_utils.py::695,0.0
keras/utils/data_utils.py::683,0.0
keras/utils/data_utils.py::682,0.0
keras/utils/data_utils.py::681,0.0
keras/utils/data_utils.py::680,0.0
keras/utils/data_utils.py::679,0.0
keras/utils/data_utils.py::678,0.0
keras/utils/data_utils.py::677,0.0
keras/utils/data_utils.py::673,0.0
keras/utils/data_utils.py::672,0.0
keras/utils/data_utils.py::671,0.0
keras/utils/data_utils.py::661,0.0
keras/utils/data_utils.py::660,0.0
keras/utils/data_utils.py::659,0.0
keras/utils/data_utils.py::638,0.0
keras/utils/data_utils.py::611,0.0
keras/utils/data_utils.py::610,0.0
keras/utils/data_utils.py::609,0.0
keras/utils/data_utils.py::601,0.0
keras/utils/data_utils.py::600,0.0
keras/utils/data_utils.py::599,0.0
keras/utils/data_utils.py::598,0.0
keras/utils/data_utils.py::597,0.0
keras/utils/data_utils.py::596,0.0
keras/utils/data_utils.py::584,0.0
keras/utils/data_utils.py::583,0.0
keras/utils/data_utils.py::580,0.0
keras/utils/data_utils.py::578,0.0
keras/utils/data_utils.py::576,0.0
keras/utils/data_utils.py::573,0.0
keras/utils/data_utils.py::572,0.0
keras/utils/data_utils.py::571,0.0
keras/utils/data_utils.py::570,0.0
keras/utils/data_utils.py::569,0.0
keras/utils/data_utils.py::568,0.0
keras/utils/data_utils.py::567,0.0
keras/utils/data_utils.py::565,0.0
keras/utils/data_utils.py::564,0.0
keras/utils/data_utils.py::563,0.0
keras/utils/data_utils.py::562,0.0
keras/utils/data_utils.py::561,0.0
keras/utils/data_utils.py::557,0.0
keras/utils/data_utils.py::556,0.0
keras/utils/data_utils.py::555,0.0
keras/utils/data_utils.py::554,0.0
keras/utils/data_utils.py::550,0.0
keras/utils/data_utils.py::549,0.0
keras/utils/data_utils.py::548,0.0
keras/utils/data_utils.py::540,0.0
keras/utils/data_utils.py::539,0.0
keras/utils/data_utils.py::499,0.0
keras/utils/data_utils.py::498,0.0
keras/utils/data_utils.py::497,0.0
keras/utils/data_utils.py::496,0.0
keras/utils/data_utils.py::495,0.0
keras/utils/data_utils.py::494,0.0
keras/utils/data_utils.py::493,0.0
keras/utils/data_utils.py::483,0.0
keras/utils/data_utils.py::478,0.0
keras/utils/data_utils.py::477,0.0
keras/utils/data_utils.py::476,0.0
keras/utils/data_utils.py::475,0.0
keras/utils/data_utils.py::474,0.0
keras/utils/data_utils.py::473,0.0
keras/utils/data_utils.py::472,0.0
keras/utils/data_utils.py::469,0.0
keras/utils/data_utils.py::468,0.0
keras/utils/data_utils.py::458,0.0
keras/utils/data_utils.py::455,0.0
keras/utils/data_utils.py::454,0.0
keras/utils/data_utils.py::453,0.0
keras/utils/data_utils.py::452,0.0
keras/utils/data_utils.py::451,0.0
keras/utils/data_utils.py::449,0.0
keras/utils/data_utils.py::448,0.0
keras/utils/data_utils.py::447,0.0
keras/utils/data_utils.py::442,0.0
keras/utils/data_utils.py::435,0.0
keras/utils/data_utils.py::434,0.0
keras/utils/data_utils.py::433,0.0
keras/utils/data_utils.py::430,0.0
keras/utils/data_utils.py::429,0.0
keras/utils/data_utils.py::403,0.0
keras/utils/data_utils.py::375,0.0
keras/utils/data_utils.py::374,0.0
keras/utils/conv_utils.py::99,0.0
keras/utils/conv_utils.py::59,0.0
keras/utils/conv_utils.py::56,0.0
keras/utils/conv_utils.py::54,0.0
keras/utils/conv_utils.py::53,0.0
keras/utils/conv_utils.py::52,0.0
keras/utils/conv_utils.py::48,0.0
keras/utils/conv_utils.py::42,0.0
