Entity,Score
keras/preprocessing/image.py::574,1.0
keras/preprocessing/image.py::575,1.0
keras/preprocessing/image.py::576,1.0
keras/preprocessing/image.py::577,1.0
keras/preprocessing/image.py::578,1.0
keras/preprocessing/image.py::579,1.0
keras/preprocessing/image.py::580,1.0
keras/preprocessing/image.py::581,1.0
keras/preprocessing/image.py::582,1.0
keras/preprocessing/image.py::583,1.0
keras/preprocessing/image.py::584,1.0
keras/preprocessing/image.py::585,1.0
keras/preprocessing/image.py::586,1.0
keras/preprocessing/image.py::587,1.0
keras/preprocessing/image.py::588,1.0
keras/preprocessing/image.py::589,1.0
keras/preprocessing/image.py::590,1.0
keras/preprocessing/image.py::591,1.0
keras/preprocessing/image.py::592,1.0
keras/preprocessing/image.py::593,1.0
keras/preprocessing/image.py::594,1.0
keras/preprocessing/image.py::595,1.0
keras/preprocessing/image.py::596,1.0
keras/preprocessing/image.py::597,1.0
keras/preprocessing/image.py::598,1.0
keras/preprocessing/image.py::599,1.0
keras/preprocessing/image.py::600,1.0
keras/preprocessing/image.py::601,1.0
keras/preprocessing/image.py::602,1.0
keras/preprocessing/image.py::603,1.0
keras/preprocessing/image.py::604,1.0
keras/preprocessing/image.py::605,1.0
keras/preprocessing/image.py::606,1.0
keras/preprocessing/image.py::607,1.0
keras/preprocessing/image.py::608,1.0
keras/preprocessing/image.py::609,1.0
keras/preprocessing/image.py::610,1.0
keras/preprocessing/image.py::611,1.0
keras/preprocessing/image.py::612,1.0
keras/preprocessing/image.py::613,1.0
keras/preprocessing/image.py::614,1.0
keras/preprocessing/image.py::615,1.0
keras/preprocessing/image.py::616,1.0
keras/preprocessing/image.py::617,1.0
keras/preprocessing/image.py::618,1.0
keras/preprocessing/image.py::1222,0.5
keras/preprocessing/image.py::1223,0.5
keras/preprocessing/image.py::1224,0.5
keras/preprocessing/image.py::1225,0.5
keras/preprocessing/image.py::1226,0.5
keras/preprocessing/image.py::1227,0.5
keras/preprocessing/image.py::1228,0.5
keras/preprocessing/image.py::1229,0.5
keras/preprocessing/image.py::1230,0.5
keras/preprocessing/image.py::1231,0.5
keras/preprocessing/image.py::1232,0.5
keras/preprocessing/image.py::1233,0.5
keras/preprocessing/image.py::1234,0.5
keras/preprocessing/image.py::1235,0.5
keras/preprocessing/image.py::1236,0.5
keras/preprocessing/image.py::1237,0.5
keras/preprocessing/image.py::1238,0.5
keras/preprocessing/image.py::1239,0.5
keras/preprocessing/image.py::1240,0.5
keras/preprocessing/image.py::1241,0.5
keras/preprocessing/image.py::1242,0.5
keras/preprocessing/image.py::1243,0.5
keras/preprocessing/image.py::1244,0.5
keras/preprocessing/image.py::1245,0.5
keras/preprocessing/image.py::1246,0.5
keras/preprocessing/image.py::1247,0.5
keras/preprocessing/image.py::1248,0.5
keras/preprocessing/image.py::1249,0.5
keras/preprocessing/image.py::1250,0.5
keras/preprocessing/image.py::1251,0.5
keras/preprocessing/image.py::1252,0.5
keras/preprocessing/image.py::1253,0.5
keras/preprocessing/image.py::1254,0.5
keras/preprocessing/image.py::1255,0.5
keras/preprocessing/image.py::1256,0.5
keras/preprocessing/image.py::1257,0.5
keras/preprocessing/image.py::1258,0.5
keras/preprocessing/image.py::814,0.3333333333333333
keras/preprocessing/image.py::815,0.3333333333333333
keras/preprocessing/image.py::816,0.3333333333333333
keras/preprocessing/image.py::817,0.3333333333333333
keras/preprocessing/image.py::818,0.3333333333333333
keras/preprocessing/image.py::819,0.3333333333333333
keras/preprocessing/image.py::820,0.3333333333333333
keras/preprocessing/image.py::821,0.3333333333333333
keras/preprocessing/image.py::822,0.3333333333333333
keras/preprocessing/image.py::823,0.3333333333333333
keras/preprocessing/image.py::824,0.3333333333333333
keras/preprocessing/image.py::825,0.3333333333333333
keras/preprocessing/image.py::826,0.3333333333333333
keras/preprocessing/image.py::827,0.3333333333333333
