Entity,Score
keras/engine/base_layer.py::1308,0.9995765853834099
keras/engine/network.py::568,0.9995765853834099
keras/engine/training.py::157,0.9995765853834099
keras/engine/network.py::196,0.9970360976838691
keras/engine/training_utils.py::406,0.9885678053520666
keras/backend/tensorflow_backend.py::181,0.0
keras/backend/tensorflow_backend.py::209,0.0
keras/backend/tensorflow_backend.py::2739,0.0
keras/backend/tensorflow_backend.py::2779,0.0
keras/backend/tensorflow_backend.py::2834,0.0
keras/backend/tensorflow_backend.py::2850,0.0
keras/backend/tensorflow_backend.py::2885,0.0
keras/backend/tensorflow_backend.py::2919,0.0
keras/backend/tensorflow_backend.py::2920,0.0
keras/backend/tensorflow_backend.py::2921,0.0
keras/backend/tensorflow_backend.py::2922,0.0
keras/backend/tensorflow_backend.py::2939,0.0
keras/backend/tensorflow_backend.py::410,0.0
keras/backend/tensorflow_backend.py::526,0.0
keras/backend/tensorflow_backend.py::77,0.0
keras/engine/base_layer.py::1166,0.0
keras/engine/base_layer.py::126,0.0
keras/engine/base_layer.py::1274,0.0
keras/engine/base_layer.py::1275,0.0
keras/engine/base_layer.py::1323,0.0
keras/engine/base_layer.py::152,0.0
keras/engine/base_layer.py::154,0.0
keras/engine/base_layer.py::185,0.0
keras/engine/base_layer.py::199,0.0
keras/engine/base_layer.py::247,0.0
keras/engine/base_layer.py::277,0.0
keras/engine/base_layer.py::300,0.0
keras/engine/base_layer.py::301,0.0
keras/engine/base_layer.py::337,0.0
keras/engine/base_layer.py::359,0.0
keras/engine/base_layer.py::360,0.0
keras/engine/base_layer.py::361,0.0
keras/engine/base_layer.py::419,0.0
keras/engine/base_layer.py::445,0.0
keras/engine/base_layer.py::448,0.0
keras/engine/base_layer.py::481,0.0
keras/engine/base_layer.py::482,0.0
keras/engine/base_layer.py::567,0.0
keras/engine/base_layer.py::569,0.0
keras/engine/base_layer.py::633,0.0
keras/engine/base_layer.py::96,0.0
keras/engine/input_layer.py::173,0.0
keras/engine/input_layer.py::42,0.0
keras/engine/input_layer.py::45,0.0
keras/engine/input_layer.py::73,0.0
keras/engine/input_layer.py::93,0.0
keras/engine/network.py::120,0.0
keras/engine/network.py::1367,0.0
keras/engine/network.py::1370,0.0
keras/engine/network.py::1386,0.0
keras/engine/network.py::140,0.0
keras/engine/network.py::142,0.0
keras/engine/network.py::1428,0.0
keras/engine/network.py::1429,0.0
keras/engine/network.py::143,0.0
keras/engine/network.py::1431,0.0
keras/engine/network.py::1432,0.0
keras/engine/network.py::1448,0.0
keras/engine/network.py::152,0.0
keras/engine/network.py::181,0.0
keras/engine/network.py::191,0.0
keras/engine/network.py::295,0.0
keras/engine/network.py::300,0.0
keras/engine/network.py::377,0.0
keras/engine/network.py::407,0.0
keras/engine/network.py::410,0.0
keras/engine/network.py::412,0.0
keras/engine/network.py::91,0.0
keras/engine/training.py::1213,0.0
keras/engine/training.py::372,0.0
keras/engine/training.py::502,0.0
keras/engine/training.py::557,0.0
keras/engine/training.py::734,0.0
keras/engine/training.py::750,0.0
keras/engine/training.py::764,0.0
keras/engine/training.py::788,0.0
keras/engine/training.py::806,0.0
keras/engine/training.py::98,0.0
keras/engine/training_utils.py::119,0.0
keras/engine/training_utils.py::120,0.0
keras/engine/training_utils.py::130,0.0
keras/engine/training_utils.py::133,0.0
keras/engine/training_utils.py::481,0.0
keras/initializers.py::26,0.0
keras/initializers.py::38,0.0
keras/initializers.py::46,0.0
keras/initializers.py::509,0.0
keras/layers/core.py::59,0.0
keras/layers/core.py::63,0.0
keras/layers/core.py::68,0.0
keras/layers/core.py::69,0.0
keras/layers/core.py::862,0.0
keras/layers/core.py::875,0.0
keras/layers/core.py::876,0.0
keras/layers/core.py::879,0.0
keras/layers/core.py::880,0.0
keras/layers/core.py::887,0.0
keras/layers/core.py::895,0.0
keras/layers/core.py::896,0.0
keras/layers/core.py::900,0.0
keras/layers/core.py::902,0.0
keras/layers/core.py::907,0.0
keras/layers/core.py::908,0.0
keras/layers/core.py::910,0.0
keras/layers/wrappers.py::161,0.0
keras/layers/wrappers.py::183,0.0
keras/layers/wrappers.py::185,0.0
keras/layers/wrappers.py::186,0.0
keras/layers/wrappers.py::195,0.0
keras/layers/wrappers.py::197,0.0
keras/layers/wrappers.py::198,0.0
keras/layers/wrappers.py::200,0.0
keras/layers/wrappers.py::204,0.0
keras/layers/wrappers.py::206,0.0
keras/layers/wrappers.py::207,0.0
keras/layers/wrappers.py::211,0.0
keras/layers/wrappers.py::213,0.0
keras/layers/wrappers.py::216,0.0
keras/layers/wrappers.py::235,0.0
keras/layers/wrappers.py::236,0.0
keras/layers/wrappers.py::237,0.0
keras/layers/wrappers.py::238,0.0
keras/layers/wrappers.py::245,0.0
keras/layers/wrappers.py::249,0.0
keras/layers/wrappers.py::254,0.0
keras/layers/wrappers.py::258,0.0
keras/layers/wrappers.py::259,0.0
keras/layers/wrappers.py::263,0.0
keras/layers/wrappers.py::296,0.0
keras/layers/wrappers.py::300,0.0
keras/layers/wrappers.py::301,0.0
keras/layers/wrappers.py::306,0.0
keras/layers/wrappers.py::316,0.0
keras/layers/wrappers.py::317,0.0
keras/layers/wrappers.py::318,0.0
keras/layers/wrappers.py::320,0.0
keras/layers/wrappers.py::328,0.0
keras/layers/wrappers.py::38,0.0
keras/layers/wrappers.py::42,0.0
keras/layers/wrappers.py::65,0.0
keras/layers/wrappers.py::73,0.0
keras/layers/wrappers.py::75,0.0
keras/layers/wrappers.py::84,0.0
keras/layers/wrappers.py::89,0.0
keras/layers/wrappers.py::91,0.0
keras/legacy/interfaces.py::29,0.0
keras/legacy/interfaces.py::30,0.0
keras/legacy/interfaces.py::33,0.0
keras/legacy/interfaces.py::37,0.0
keras/legacy/interfaces.py::38,0.0
keras/legacy/interfaces.py::47,0.0
keras/legacy/interfaces.py::52,0.0
keras/legacy/interfaces.py::53,0.0
keras/legacy/interfaces.py::59,0.0
keras/legacy/interfaces.py::628,0.0
keras/legacy/interfaces.py::647,0.0
keras/legacy/interfaces.py::650,0.0
keras/legacy/interfaces.py::656,0.0
keras/losses.py::129,0.0
keras/losses.py::131,0.0
keras/losses.py::14,0.0
keras/optimizers.py::175,0.0
keras/optimizers.py::185,0.0
keras/optimizers.py::188,0.0
keras/optimizers.py::194,0.0
keras/optimizers.py::195,0.0
keras/optimizers.py::196,0.0
keras/optimizers.py::199,0.0
keras/optimizers.py::202,0.0
keras/optimizers.py::205,0.0
keras/optimizers.py::76,0.0
keras/optimizers.py::763,0.0
keras/optimizers.py::788,0.0
keras/optimizers.py::790,0.0
keras/optimizers.py::792,0.0
keras/optimizers.py::90,0.0
keras/optimizers.py::96,0.0
