Entity,Score
luigi/contrib/hadoop_jar.py::86,1.0
luigi/contrib/hadoop_jar.py::72,0.5773502691896258
luigi/configuration.py::77,0.0
luigi/parameter.py::177,0.0
luigi/parameter.py::179,0.0
luigi/parameter.py::181,0.0
luigi/parameter.py::184,0.0
luigi/parameter.py::198,0.0
luigi/parameter.py::236,0.0
luigi/parameter.py::240,0.0
luigi/task.py::205,0.0
luigi/task.py::206,0.0
luigi/task.py::213,0.0
luigi/task.py::229,0.0
luigi/task.py::263,0.0
luigi/task.py::264,0.0
luigi/task_register.py::123,0.0
luigi/task_register.py::82,0.0
