Entity,Score
luigi/task_register.py::201,1.1
luigi/task_register.py::200,1.1
luigi/task_register.py::199,1.1
luigi/task_register.py::175,1.1
luigi/task_register.py::166,1.1
luigi/task_register.py::159,1.1
luigi/task_register.py::174,1.0668674698795182
luigi/task_register.py::173,1.0668674698795182
luigi/task_register.py::152,1.0668674698795182
luigi/task_register.py::150,1.0668674698795182
luigi/task_register.py::144,1.0668674698795182
luigi/task_register.py::143,1.0668674698795182
luigi/task_register.py::142,1.0668674698795182
luigi/task_register.py::140,1.0668674698795182
luigi/task_register.py::139,1.0668674698795182
luigi/task_register.py::138,1.0668674698795182
luigi/task_register.py::137,1.0668674698795182
luigi/task_register.py::136,1.0668674698795182
luigi/task_register.py::124,0.6194174757281553
luigi/task_register.py::123,0.6194174757281553
luigi/worker.py::84,0.1
luigi/worker.py::82,0.1
luigi/worker.py::81,0.1
luigi/worker.py::80,0.1
luigi/worker.py::79,0.1
luigi/worker.py::78,0.1
luigi/worker.py::77,0.1
luigi/worker.py::767,0.1
luigi/worker.py::763,0.1
luigi/worker.py::761,0.1
luigi/worker.py::760,0.1
luigi/worker.py::750,0.1
luigi/worker.py::749,0.1
luigi/worker.py::748,0.1
luigi/worker.py::747,0.1
luigi/worker.py::745,0.1
luigi/worker.py::743,0.1
luigi/worker.py::742,0.1
luigi/worker.py::741,0.1
luigi/worker.py::738,0.1
luigi/worker.py::736,0.1
luigi/worker.py::735,0.1
luigi/worker.py::733,0.1
luigi/worker.py::723,0.1
luigi/worker.py::722,0.1
luigi/worker.py::701,0.1
luigi/worker.py::700,0.1
luigi/worker.py::688,0.1
luigi/worker.py::685,0.1
luigi/worker.py::683,0.1
luigi/worker.py::681,0.1
luigi/worker.py::680,0.1
luigi/worker.py::679,0.1
luigi/worker.py::678,0.1
luigi/worker.py::677,0.1
luigi/worker.py::676,0.1
luigi/worker.py::675,0.1
luigi/worker.py::674,0.1
luigi/worker.py::673,0.1
luigi/worker.py::672,0.1
luigi/worker.py::671,0.1
luigi/worker.py::664,0.1
luigi/worker.py::663,0.1
luigi/worker.py::659,0.1
luigi/worker.py::658,0.1
luigi/worker.py::654,0.1
luigi/worker.py::653,0.1
luigi/worker.py::652,0.1
luigi/worker.py::651,0.1
luigi/worker.py::649,0.1
luigi/worker.py::630,0.1
luigi/worker.py::628,0.1
luigi/worker.py::627,0.1
luigi/worker.py::619,0.1
luigi/worker.py::614,0.1
luigi/worker.py::612,0.1
luigi/worker.py::610,0.1
luigi/worker.py::609,0.1
luigi/worker.py::608,0.1
luigi/worker.py::603,0.1
luigi/worker.py::601,0.1
luigi/worker.py::598,0.1
luigi/worker.py::578,0.1
luigi/worker.py::576,0.1
luigi/worker.py::575,0.1
luigi/worker.py::574,0.1
luigi/worker.py::573,0.1
luigi/worker.py::572,0.1
luigi/worker.py::571,0.1
luigi/worker.py::565,0.1
luigi/worker.py::562,0.1
luigi/worker.py::561,0.1
luigi/worker.py::560,0.1
luigi/worker.py::557,0.1
luigi/worker.py::556,0.1
luigi/worker.py::550,0.1
luigi/worker.py::546,0.1
luigi/worker.py::544,0.1
luigi/worker.py::541,0.1
