Entity,Score
pandas/core/indexing.py::1998,1.0
pandas/core/indexing.py::1999,1.0
pandas/core/indexing.py::2000,1.0
pandas/core/indexing.py::2001,1.0
pandas/core/indexing.py::2002,1.0
pandas/core/indexing.py::2003,1.0
pandas/core/indexing.py::2004,1.0
pandas/core/indexing.py::2005,1.0
pandas/core/indexing.py::2006,1.0
pandas/core/indexing.py::2007,1.0
pandas/core/indexing.py::2008,1.0
pandas/core/indexing.py::2010,1.0
pandas/core/indexing.py::2011,1.0
pandas/core/indexing.py::2012,1.0
pandas/core/indexing.py::2013,1.0
pandas/core/indexing.py::2014,1.0
pandas/core/indexing.py::2015,1.0
pandas/core/indexing.py::2016,1.0
pandas/core/indexing.py::2017,1.0
pandas/core/indexing.py::2018,1.0
pandas/core/indexing.py::2019,1.0
pandas/core/indexing.py::2020,1.0
pandas/core/indexing.py::2021,1.0
pandas/core/indexing.py::2022,1.0
pandas/core/indexing.py::2023,1.0
pandas/core/indexing.py::2047,0.5
pandas/core/indexing.py::2048,0.5
pandas/core/indexing.py::2049,0.5
pandas/core/indexing.py::2050,0.5
pandas/core/indexing.py::2051,0.5
pandas/core/indexing.py::2052,0.5
pandas/core/indexing.py::2053,0.5
pandas/core/indexing.py::2054,0.5
pandas/core/indexing.py::2055,0.5
pandas/core/indexing.py::2057,0.5
pandas/core/indexing.py::2058,0.5
pandas/core/indexing.py::2059,0.5
pandas/core/indexing.py::2060,0.5
pandas/core/indexing.py::2061,0.5
pandas/core/indexing.py::2062,0.5
pandas/core/indexing.py::2063,0.5
pandas/core/indexing.py::2064,0.5
pandas/core/indexing.py::2065,0.5
pandas/core/indexing.py::2066,0.5
