Entity,Score
pandas/core/common.py::77,0.37440705661917517
pandas/compat/numpy/function.py::56,0.0
pandas/core/algorithms.py::1430,0.0
pandas/core/algorithms.py::1432,0.0
pandas/core/algorithms.py::1439,0.0
pandas/core/algorithms.py::1602,0.0
pandas/core/algorithms.py::1605,0.0
pandas/core/algorithms.py::1624,0.0
pandas/core/algorithms.py::1625,0.0
pandas/core/algorithms.py::1637,0.0
pandas/core/algorithms.py::1641,0.0
pandas/core/algorithms.py::938,0.0
pandas/core/algorithms.py::940,0.0
pandas/core/arrays/_ranges.py::127,0.0
pandas/core/arrays/_ranges.py::161,0.0
pandas/core/arrays/datetimelike.py::1390,0.0
pandas/core/arrays/datetimelike.py::1404,0.0
pandas/core/arrays/datetimelike.py::1600,0.0
pandas/core/arrays/datetimelike.py::1601,0.0
pandas/core/arrays/datetimelike.py::1625,0.0
pandas/core/arrays/datetimelike.py::1626,0.0
pandas/core/arrays/datetimelike.py::1628,0.0
pandas/core/arrays/datetimelike.py::1630,0.0
pandas/core/arrays/datetimes.py::1994,0.0
pandas/core/arrays/datetimes.py::1996,0.0
pandas/core/arrays/datetimes.py::2103,0.0
pandas/core/arrays/datetimes.py::2105,0.0
pandas/core/arrays/datetimes.py::2106,0.0
pandas/core/arrays/datetimes.py::2110,0.0
pandas/core/arrays/datetimes.py::2112,0.0
pandas/core/arrays/datetimes.py::212,0.0
pandas/core/arrays/datetimes.py::217,0.0
pandas/core/arrays/datetimes.py::220,0.0
pandas/core/arrays/datetimes.py::222,0.0
pandas/core/arrays/datetimes.py::232,0.0
pandas/core/arrays/datetimes.py::241,0.0
pandas/core/arrays/datetimes.py::244,0.0
pandas/core/arrays/datetimes.py::250,0.0
pandas/core/arrays/datetimes.py::258,0.0
pandas/core/arrays/datetimes.py::264,0.0
pandas/core/arrays/datetimes.py::266,0.0
pandas/core/arrays/datetimes.py::268,0.0
pandas/core/arrays/datetimes.py::280,0.0
pandas/core/arrays/datetimes.py::285,0.0
pandas/core/arrays/datetimes.py::287,0.0
pandas/core/arrays/datetimes.py::352,0.0
pandas/core/arrays/datetimes.py::355,0.0
pandas/core/arrays/datetimes.py::362,0.0
pandas/core/arrays/datetimes.py::365,0.0
pandas/core/arrays/datetimes.py::368,0.0
pandas/core/arrays/datetimes.py::373,0.0
pandas/core/arrays/datetimes.py::382,0.0
pandas/core/arrays/datetimes.py::396,0.0
pandas/core/arrays/datetimes.py::400,0.0
pandas/core/arrays/datetimes.py::401,0.0
pandas/core/arrays/datetimes.py::409,0.0
pandas/core/arrays/datetimes.py::436,0.0
pandas/core/arrays/datetimes.py::438,0.0
pandas/core/arrays/datetimes.py::623,0.0
pandas/core/arrays/datetimes.py::653,0.0
pandas/core/arrays/datetimes.py::656,0.0
pandas/core/arrays/datetimes.py::660,0.0
pandas/core/arrays/datetimes.py::669,0.0
pandas/core/arrays/datetimes.py::67,0.0
pandas/core/arrays/datetimes.py::670,0.0
pandas/core/arrays/datetimes.py::671,0.0
pandas/core/arrays/numpy_.py::165,0.0
pandas/core/arrays/numpy_.py::168,0.0
pandas/core/arrays/numpy_.py::441,0.0
pandas/core/arrays/numpy_.py::444,0.0
pandas/core/arrays/timedeltas.py::166,0.0
pandas/core/arrays/timedeltas.py::182,0.0
pandas/core/arrays/timedeltas.py::184,0.0
pandas/core/base.py::876,0.0
pandas/core/common.py::174,0.0
pandas/core/common.py::181,0.0
pandas/core/common.py::202,0.0
pandas/core/common.py::215,0.0
pandas/core/common.py::220,0.0
pandas/core/common.py::225,0.0
pandas/core/construction.py::379,0.0
pandas/core/construction.py::382,0.0
pandas/core/construction.py::408,0.0
pandas/core/construction.py::413,0.0
pandas/core/construction.py::471,0.0
pandas/core/construction.py::486,0.0
pandas/core/construction.py::498,0.0
pandas/core/construction.py::528,0.0
pandas/core/construction.py::585,0.0
pandas/core/construction.py::586,0.0
pandas/core/construction.py::587,0.0
pandas/core/dtypes/base.py::280,0.0
pandas/core/dtypes/base.py::285,0.0
pandas/core/dtypes/base.py::286,0.0
pandas/core/dtypes/base.py::290,0.0
pandas/core/dtypes/base.py::295,0.0
pandas/core/dtypes/cast.py::1101,0.0
pandas/core/dtypes/cast.py::1103,0.0
pandas/core/dtypes/cast.py::1224,0.0
pandas/core/dtypes/cast.py::1310,0.0
pandas/core/dtypes/common.py::1004,0.0
pandas/core/dtypes/common.py::1005,0.0
pandas/core/dtypes/common.py::1006,0.0
pandas/core/dtypes/common.py::1449,0.0
pandas/core/dtypes/common.py::1456,0.0
pandas/core/dtypes/common.py::1460,0.0
pandas/core/dtypes/common.py::1585,0.0
pandas/core/dtypes/common.py::1663,0.0
pandas/core/dtypes/common.py::1693,0.0
pandas/core/dtypes/common.py::1697,0.0
pandas/core/dtypes/common.py::1705,0.0
pandas/core/dtypes/common.py::1829,0.0
pandas/core/dtypes/common.py::1836,0.0
pandas/core/dtypes/common.py::1852,0.0
pandas/core/dtypes/common.py::196,0.0
pandas/core/dtypes/common.py::200,0.0
pandas/core/dtypes/common.py::218,0.0
pandas/core/dtypes/common.py::367,0.0
pandas/core/dtypes/common.py::432,0.0
pandas/core/dtypes/common.py::495,0.0
pandas/core/dtypes/common.py::496,0.0
pandas/core/dtypes/common.py::530,0.0
pandas/core/dtypes/common.py::531,0.0
pandas/core/dtypes/common.py::563,0.0
pandas/core/dtypes/common.py::709,0.0
pandas/core/dtypes/dtypes.py::90,0.0
pandas/core/dtypes/dtypes.py::92,0.0
pandas/core/dtypes/inference.py::357,0.0
pandas/core/dtypes/missing.py::135,0.0
pandas/core/frame.py::2786,0.0
pandas/core/frame.py::2796,0.0
pandas/core/frame.py::430,0.0
pandas/core/frame.py::517,0.0
pandas/core/generic.py::210,0.0
pandas/core/generic.py::223,0.0
pandas/core/generic.py::257,0.0
pandas/core/generic.py::267,0.0
pandas/core/generic.py::271,0.0
pandas/core/generic.py::342,0.0
pandas/core/generic.py::345,0.0
pandas/core/generic.py::4317,0.0
pandas/core/generic.py::4340,0.0
pandas/core/generic.py::4342,0.0
pandas/core/generic.py::5054,0.0
pandas/core/generic.py::5093,0.0
pandas/core/generic.py::5144,0.0
pandas/core/indexes/api.py::179,0.0
pandas/core/indexes/api.py::209,0.0
pandas/core/indexes/api.py::210,0.0
pandas/core/indexes/api.py::216,0.0
pandas/core/indexes/api.py::256,0.0
pandas/core/indexes/api.py::266,0.0
pandas/core/indexes/base.py::1175,0.0
pandas/core/indexes/base.py::1990,0.0
pandas/core/indexes/base.py::2415,0.0
pandas/core/indexes/base.py::2457,0.0
pandas/core/indexes/base.py::2460,0.0
pandas/core/indexes/base.py::2544,0.0
pandas/core/indexes/base.py::2828,0.0
pandas/core/indexes/base.py::2879,0.0
pandas/core/indexes/base.py::292,0.0
pandas/core/indexes/base.py::297,0.0
pandas/core/indexes/base.py::303,0.0
pandas/core/indexes/base.py::310,0.0
pandas/core/indexes/base.py::325,0.0
pandas/core/indexes/base.py::326,0.0
pandas/core/indexes/base.py::344,0.0
