Entity,Score
thefuck/rules/git_branch_exists.py::13,1.0
thefuck/rules/git_branch_exists.py::14,1.0
thefuck/rules/git_branch_exists.py::15,1.0
thefuck/rules/git_branch_exists.py::16,1.0
thefuck/rules/git_branch_exists.py::17,1.0
thefuck/rules/git_branch_exists.py::18,1.0
thefuck/rules/git_branch_exists.py::19,1.0
thefuck/rules/git_branch_exists.py::20,1.0
thefuck/rules/git_branch_exists.py::21,1.0
thefuck/rules/git_branch_exists.py::22,1.0
thefuck/rules/git_branch_exists.py::23,1.0
thefuck/rules/git_branch_exists.py::24,1.0
thefuck/utils.py::134,0.5
thefuck/utils.py::135,0.5
thefuck/utils.py::136,0.5
thefuck/specific/git.py::7,0.3333333333333333
thefuck/specific/git.py::8,0.3333333333333333
thefuck/specific/git.py::9,0.3333333333333333
thefuck/specific/git.py::10,0.3333333333333333
thefuck/specific/git.py::11,0.3333333333333333
thefuck/specific/git.py::12,0.3333333333333333
thefuck/specific/git.py::13,0.3333333333333333
thefuck/specific/git.py::14,0.3333333333333333
thefuck/specific/git.py::15,0.3333333333333333
thefuck/specific/git.py::16,0.3333333333333333
thefuck/specific/git.py::17,0.3333333333333333
thefuck/specific/git.py::18,0.3333333333333333
thefuck/specific/git.py::19,0.3333333333333333
thefuck/specific/git.py::20,0.3333333333333333
thefuck/specific/git.py::21,0.3333333333333333
thefuck/specific/git.py::22,0.3333333333333333
thefuck/specific/git.py::23,0.3333333333333333
thefuck/specific/git.py::24,0.3333333333333333
thefuck/specific/git.py::25,0.3333333333333333
thefuck/specific/git.py::26,0.3333333333333333
thefuck/specific/git.py::27,0.3333333333333333
thefuck/specific/git.py::28,0.3333333333333333
thefuck/specific/git.py::29,0.3333333333333333
thefuck/specific/git.py::30,0.3333333333333333
thefuck/specific/git.py::31,0.3333333333333333
thefuck/specific/git.py::32,0.3333333333333333
