Entity,Score
tqdm/_tqdm.py::856,1.0
tqdm/_tqdm.py::855,0.9784735812133072
tqdm/_tqdm.py::854,0.9784735812133072
tqdm/_tqdm.py::731,0.9784735812133072
tqdm/_tqdm.py::853,0.9578544061302682
tqdm/_tqdm.py::742,0.9191176470588236
tqdm/_tqdm.py::741,0.9191176470588236
tqdm/_tqdm.py::740,0.9191176470588236
tqdm/_tqdm.py::739,0.9191176470588236
tqdm/_tqdm.py::738,0.9191176470588236
tqdm/_tqdm.py::737,0.9191176470588236
tqdm/_monitor.py::43,0.5580357142857143
tqdm/_monitor.py::39,0.5580357142857143
tqdm/_tqdm.py::411,0.5382131324004306
tqdm/_tqdm.py::410,0.5382131324004306
tqdm/_monitor.py::60,0.5319148936170213
tqdm/_monitor.py::58,0.5319148936170213
tqdm/_monitor.py::55,0.5319148936170213
tqdm/_monitor.py::54,0.5319148936170213
tqdm/_monitor.py::46,0.5319148936170213
tqdm/_monitor.py::42,0.5319148936170213
tqdm/_monitor.py::38,0.5319148936170213
tqdm/_monitor.py::37,0.5319148936170213
tqdm/_monitor.py::36,0.5319148936170213
tqdm/_monitor.py::35,0.5319148936170213
tqdm/_monitor.py::34,0.5319148936170213
tqdm/_monitor.py::33,0.5319148936170213
tqdm/_monitor.py::32,0.5319148936170213
tqdm/_tqdm.py::99,0.508130081300813
tqdm/_tqdm.py::98,0.508130081300813
tqdm/_tqdm.py::95,0.508130081300813
tqdm/_tqdm.py::94,0.508130081300813
tqdm/_tqdm.py::896,0.508130081300813
tqdm/_tqdm.py::884,0.508130081300813
tqdm/_tqdm.py::736,0.508130081300813
tqdm/_tqdm.py::733,0.508130081300813
tqdm/_tqdm.py::730,0.508130081300813
tqdm/_tqdm.py::425,0.508130081300813
tqdm/_tqdm.py::424,0.508130081300813
tqdm/_tqdm.py::423,0.508130081300813
tqdm/_tqdm.py::418,0.508130081300813
tqdm/_tqdm.py::408,0.508130081300813
tqdm/_tqdm.py::406,0.508130081300813
tqdm/_tqdm.py::405,0.508130081300813
tqdm/_tqdm.py::403,0.508130081300813
tqdm/_tqdm.py::401,0.508130081300813
tqdm/_tqdm.py::399,0.508130081300813
tqdm/_tqdm.py::105,0.508130081300813
tqdm/_tqdm.py::102,0.508130081300813
tqdm/_utils.py::215,0.0
tqdm/_utils.py::209,0.0
tqdm/_utils.py::208,0.0
tqdm/_utils.py::207,0.0
tqdm/_utils.py::206,0.0
tqdm/_utils.py::205,0.0
tqdm/_utils.py::204,0.0
tqdm/_utils.py::203,0.0
tqdm/_utils.py::199,0.0
tqdm/_utils.py::198,0.0
tqdm/_utils.py::197,0.0
tqdm/_utils.py::196,0.0
tqdm/_utils.py::154,0.0
tqdm/_utils.py::153,0.0
tqdm/_utils.py::152,0.0
tqdm/_utils.py::148,0.0
tqdm/_utils.py::147,0.0
tqdm/_utils.py::139,0.0
tqdm/_utils.py::138,0.0
tqdm/_utils.py::137,0.0
tqdm/_utils.py::136,0.0
tqdm/_utils.py::132,0.0
tqdm/_utils.py::130,0.0
tqdm/_utils.py::129,0.0
tqdm/_utils.py::128,0.0
tqdm/_utils.py::127,0.0
tqdm/_utils.py::126,0.0
tqdm/_utils.py::124,0.0
tqdm/_utils.py::123,0.0
tqdm/_utils.py::122,0.0
tqdm/_tqdm.py::988,0.0
tqdm/_tqdm.py::987,0.0
tqdm/_tqdm.py::986,0.0
tqdm/_tqdm.py::985,0.0
tqdm/_tqdm.py::981,0.0
tqdm/_tqdm.py::980,0.0
tqdm/_tqdm.py::979,0.0
