Entity,Score
youtube_dl/utils.py::1223,10.0
youtube_dl/utils.py::1222,10.0
youtube_dl/utils.py::1221,10.0
youtube_dl/utils.py::1220,10.0
youtube_dl/utils.py::1219,10.0
youtube_dl/utils.py::1218,10.0
youtube_dl/utils.py::1217,10.0
youtube_dl/utils.py::1216,10.0
youtube_dl/utils.py::1215,10.0
youtube_dl/utils.py::1214,10.0
youtube_dl/utils.py::1213,10.0
youtube_dl/utils.py::1207,10.0
youtube_dl/utils.py::1205,10.0
youtube_dl/utils.py::1203,10.0
youtube_dl/utils.py::1202,10.0
youtube_dl/utils.py::999,0.0
youtube_dl/utils.py::995,0.0
youtube_dl/utils.py::994,0.0
youtube_dl/utils.py::894,0.0
youtube_dl/utils.py::892,0.0
youtube_dl/utils.py::772,0.0
youtube_dl/utils.py::771,0.0
youtube_dl/utils.py::770,0.0
youtube_dl/utils.py::760,0.0
youtube_dl/utils.py::759,0.0
youtube_dl/utils.py::757,0.0
youtube_dl/utils.py::756,0.0
youtube_dl/utils.py::755,0.0
youtube_dl/utils.py::753,0.0
youtube_dl/utils.py::752,0.0
youtube_dl/utils.py::734,0.0
youtube_dl/utils.py::718,0.0
youtube_dl/utils.py::717,0.0
youtube_dl/utils.py::715,0.0
youtube_dl/utils.py::714,0.0
youtube_dl/utils.py::693,0.0
youtube_dl/utils.py::689,0.0
youtube_dl/utils.py::688,0.0
youtube_dl/utils.py::687,0.0
youtube_dl/utils.py::686,0.0
youtube_dl/utils.py::685,0.0
youtube_dl/utils.py::684,0.0
youtube_dl/utils.py::682,0.0
youtube_dl/utils.py::681,0.0
youtube_dl/utils.py::680,0.0
youtube_dl/utils.py::679,0.0
youtube_dl/utils.py::678,0.0
youtube_dl/utils.py::677,0.0
youtube_dl/utils.py::676,0.0
youtube_dl/utils.py::675,0.0
youtube_dl/utils.py::674,0.0
youtube_dl/utils.py::673,0.0
youtube_dl/utils.py::672,0.0
youtube_dl/utils.py::671,0.0
youtube_dl/utils.py::670,0.0
youtube_dl/utils.py::669,0.0
youtube_dl/utils.py::668,0.0
youtube_dl/utils.py::667,0.0
youtube_dl/utils.py::666,0.0
youtube_dl/utils.py::665,0.0
youtube_dl/utils.py::664,0.0
youtube_dl/utils.py::663,0.0
youtube_dl/utils.py::662,0.0
youtube_dl/utils.py::661,0.0
youtube_dl/utils.py::660,0.0
youtube_dl/utils.py::659,0.0
youtube_dl/utils.py::657,0.0
youtube_dl/utils.py::655,0.0
youtube_dl/utils.py::653,0.0
youtube_dl/utils.py::650,0.0
youtube_dl/utils.py::644,0.0
youtube_dl/utils.py::643,0.0
youtube_dl/utils.py::642,0.0
youtube_dl/utils.py::641,0.0
youtube_dl/utils.py::640,0.0
youtube_dl/utils.py::639,0.0
youtube_dl/utils.py::638,0.0
youtube_dl/utils.py::636,0.0
youtube_dl/utils.py::635,0.0
youtube_dl/utils.py::634,0.0
youtube_dl/utils.py::631,0.0
youtube_dl/utils.py::630,0.0
youtube_dl/utils.py::629,0.0
youtube_dl/utils.py::628,0.0
youtube_dl/utils.py::625,0.0
youtube_dl/utils.py::343,0.0
youtube_dl/utils.py::342,0.0
youtube_dl/utils.py::339,0.0
youtube_dl/utils.py::331,0.0
youtube_dl/utils.py::330,0.0
youtube_dl/utils.py::328,0.0
youtube_dl/utils.py::326,0.0
youtube_dl/utils.py::309,0.0
youtube_dl/utils.py::308,0.0
youtube_dl/utils.py::302,0.0
youtube_dl/utils.py::301,0.0
youtube_dl/utils.py::300,0.0
youtube_dl/utils.py::299,0.0
youtube_dl/utils.py::298,0.0
youtube_dl/utils.py::293,0.0
youtube_dl/utils.py::292,0.0
youtube_dl/utils.py::291,0.0
youtube_dl/utils.py::290,0.0
youtube_dl/utils.py::289,0.0
youtube_dl/utils.py::287,0.0
youtube_dl/utils.py::286,0.0
youtube_dl/utils.py::285,0.0
youtube_dl/utils.py::284,0.0
youtube_dl/utils.py::283,0.0
youtube_dl/utils.py::281,0.0
youtube_dl/utils.py::280,0.0
youtube_dl/utils.py::279,0.0
youtube_dl/utils.py::278,0.0
youtube_dl/utils.py::277,0.0
youtube_dl/utils.py::276,0.0
youtube_dl/utils.py::275,0.0
youtube_dl/utils.py::274,0.0
youtube_dl/utils.py::273,0.0
youtube_dl/utils.py::272,0.0
youtube_dl/utils.py::271,0.0
youtube_dl/utils.py::270,0.0
youtube_dl/utils.py::269,0.0
youtube_dl/utils.py::268,0.0
youtube_dl/utils.py::260,0.0
youtube_dl/utils.py::258,0.0
youtube_dl/utils.py::257,0.0
youtube_dl/utils.py::256,0.0
youtube_dl/utils.py::216,0.0
youtube_dl/utils.py::215,0.0
youtube_dl/utils.py::213,0.0
youtube_dl/utils.py::211,0.0
youtube_dl/utils.py::210,0.0
youtube_dl/utils.py::209,0.0
youtube_dl/utils.py::161,0.0
youtube_dl/utils.py::160,0.0
youtube_dl/utils.py::159,0.0
youtube_dl/utils.py::157,0.0
youtube_dl/utils.py::156,0.0
youtube_dl/utils.py::155,0.0
youtube_dl/utils.py::154,0.0
youtube_dl/utils.py::153,0.0
youtube_dl/utils.py::1515,0.0
youtube_dl/utils.py::1490,0.0
youtube_dl/utils.py::1489,0.0
youtube_dl/utils.py::1488,0.0
youtube_dl/utils.py::1487,0.0
youtube_dl/utils.py::1486,0.0
youtube_dl/utils.py::1485,0.0
youtube_dl/utils.py::1467,0.0
youtube_dl/utils.py::1466,0.0
youtube_dl/utils.py::1465,0.0
youtube_dl/utils.py::1461,0.0
youtube_dl/utils.py::1459,0.0
youtube_dl/utils.py::1458,0.0
youtube_dl/utils.py::1457,0.0
youtube_dl/utils.py::1456,0.0
youtube_dl/utils.py::1455,0.0
youtube_dl/utils.py::1454,0.0
youtube_dl/utils.py::1453,0.0
youtube_dl/utils.py::1452,0.0
youtube_dl/utils.py::1451,0.0
youtube_dl/utils.py::1450,0.0
youtube_dl/utils.py::1449,0.0
youtube_dl/utils.py::1448,0.0
youtube_dl/utils.py::1447,0.0
youtube_dl/utils.py::1446,0.0
youtube_dl/utils.py::1442,0.0
youtube_dl/utils.py::1441,0.0
youtube_dl/utils.py::1398,0.0
youtube_dl/utils.py::1394,0.0
youtube_dl/utils.py::1393,0.0
youtube_dl/utils.py::1391,0.0
youtube_dl/utils.py::1390,0.0
youtube_dl/utils.py::1389,0.0
youtube_dl/utils.py::1388,0.0
youtube_dl/utils.py::1387,0.0
