Entity,Score
black.py::patch_click::6320::6339,0.3225806451612903
black.py::find_project_root::5754::5780,0.3225806451612903
black.py::main::469::564,0.3225806451612903
black.py::reformat_many::612::636,0.19607843137254904
black.py::gen_python_files_in_dir::5696::5750,0.1639344262295082
black.py::get_cache_info::6285::6288,0.07633587786259542
black.py::write_cache::6307::6317,0.07092198581560284
black.py::get_cache_key::244::258,0.06211180124223602
black.py::read_pyproject_toml::286::321,0.05847953216374269
black.py::get_cache_file::6263::6264,0.055248618784530384
black.py::parse_pyproject_toml::276::283,0.04524886877828054
black.py::from_configuration::150::159,0.04524886877828054
black.py::path_empty::567::576,0.04329004329004329
black.py::re_compile_maybe_verbose::6083::6091,0.04149377593360996
black.py::target_version_option_callback::324::332,0.04149377593360996
blib2to3/pytree.py::__eq__::86::94,0.0
blib2to3/pytree.py::__new__::81::84,0.0
blib2to3/pytree.py::type_repr::42::53,0.0
blib2to3/pytree.py::convert::478::495,0.0
blib2to3/pytree.py::prefix::473::475,0.0
blib2to3/pytree.py::prefix::466::470,0.0
blib2to3/pytree.py::pre_order::461::463,0.0
blib2to3/pytree.py::leaves::454::455,0.0
blib2to3/pytree.py::_eq::440::442,0.0
blib2to3/pytree.py::__str__::432::438,0.0
blib2to3/pytree.py::__init__::396::419,0.0
blib2to3/pytree.py::update_sibling_maps::369::379,0.0
blib2to3/pytree.py::invalidate_sibling_maps::365::367,0.0
blib2to3/pytree.py::append_child::355::363,0.0
blib2to3/pytree.py::insert_child::345::353,0.0
blib2to3/pytree.py::prefix::330::332,0.0
blib2to3/pytree.py::prefix::321::327,0.0
blib2to3/pytree.py::pre_order::314::318,0.0
blib2to3/pytree.py::_eq::295::297,0.0
blib2to3/pytree.py::__str__::287::293,0.0
blib2to3/pytree.py::__init__::248::276,0.0
blib2to3/pytree.py::leaves::220::222,0.0
blib2to3/pytree.py::prev_sibling::207::218,0.0
blib2to3/pytree.py::next_sibling::193::204,0.0
blib2to3/pytree.py::remove::177::190,0.0
blib2to3/pytree.py::changed::170::175,0.0
blib2to3/pytree.py::replace::137::159,0.0
blib2to3/pgen2/tokenize.py::generate_tokens::402::672,0.0
blib2to3/pgen2/parse.py::__init__::45::54,0.0
blib2to3/pgen2/parse.py::pop::226::237,0.0
blib2to3/pgen2/parse.py::push::219::224,0.0
blib2to3/pgen2/parse.py::shift::205::217,0.0
