Entity,Score
black.py::normalize_invisible_parens::2713::2762,0.9990663542065411
black.py::maybe_increment_for_loop_variable::1026::1037,0.0
black.py::maybe_decrement_after_for_loop_variable::1039::1051,0.0
black.py::maybe_increment_lambda_arguments::1053::1064,0.0
black.py::maybe_decrement_after_lambda_arguments::1066::1077,0.0
black.py::maybe_remove_trailing_comma::1254::1306,0.0
black.py::is_complex_subscript::1340::1356,0.0
black.py::split_line::2166::2239,0.0
black.py::generate_trailers_to_omit::3091::3138,0.0
black.py::enumerate_with_length::3515::3535,0.0
black.py::lib2to3_parse::743::767,0.0
black.py::visit_default::809::827,0.0
blib2to3/pgen2/driver.py::parse_tokens::39::96,0.0
blib2to3/pgen2/tokenize.py::generate_tokens::337::563,0.0
blib2to3/pytree.py::changed::134::139,0.0
blib2to3/pytree.py::type_repr::21::29,0.0
black.py::preceding_leaf::1910::1925,-2.1712692871136687e-05
black.py::get_future_imports::3141::3181,-2.1712692871136687e-05
black.py::format_str::670::707,-2.1712692871136687e-05
black.py::whitespace::1680::1907,-2.481450613844193e-05
black.py::is_split_before_delimiter::1975::2068,-2.481450613844193e-05
black.py::contains_inner_type_comments::1223::1245,-2.7140866088920858e-05
black.py::should_explode::3022::3039,-2.7140866088920858e-05
black.py::convert_one_fmt_off_pair::2772::2823,-3.256903930670503e-05
black.py::_maybe_empty_lines::1405::1442,-4.3425385742273374e-05
black.py::normalize_fmt_off::2765::2769,-4.3425385742273374e-05
blib2to3/pytree.py::prefix::272::279,-4.3425385742273374e-05
black.py::is_def::1171::1188,-4.962901227688386e-05
black.py::visit_simple_stmt::1596::1610,-5.066295003265227e-05
black.py::is_one_tuple::2880::2900,-5.4281732177841716e-05
black.py::is_import::2545::2556,-5.428173217784172e-05
black.py::normalize_numeric_literal::2668::2701,-6.513807861341006e-05
black.py::enumerate_reversed::3507::3512,-6.694746968600479e-05
black.py::delimiter_split::2444::2511,-6.785216522230215e-05
black.py::detect_target_versions::3083::3088,-8.064714494993627e-05
black.py::contains_standalone_comments::1215::1221,-8.685077148454675e-05
black.py::bracket_split_build_line::2393::2426,-8.685077148454675e-05
black.py::get_features_used::3042::3080,-8.685077148454675e-05
black.py::append::1095::1121,-0.00010132590006530454
black.py::get_grammars::727::740,-0.00010856346435568343
black.py::rhs::2200::2210,-0.00013027615722682013
black.py::append_safe::1123::1138,-0.00015198885009795683
black.py::is_line_short_enough::3538::3549,-0.0001737015429690935
black.py::get_open_lsqb::1079::1081,-0.00018455788940466183
blib2to3/pytree.py::leaves::181::183,-0.00028226500732477693
blib2to3/pytree.py::pre_order::266::270,-0.00028226500732477693
black.py::is_class::1155::1162,-0.0002870900501850296
black.py::generate_comments::2075::2095,-0.00029312135376034526
black.py::split_wrapper::2435::2439,-0.00029312135376034526
black.py::ensure_visible::3010::3019,-0.00030087588692860834
black.py::right_hand_split::2278::2364,-0.00031483404663148193
black.py::is_vararg::2924::2944,-0.00034016552164780814
black.py::__str__::1358::1371,-0.00036911577880932366
black.py::append_to_line::2470::2479,-0.0003908284716804604
black.py::is_split_after_delimiter::1961::1972,-0.00043425385742273373
black.py::mark::963::1001,-0.0004668228967294388
black.py::append_comment::1308::1326,-0.00047147561663039665
black.py::normalize_prefix::2567::2582,-0.0004931883095015334
black.py::bracket_split_succeeded_or_raise::2367::2390,-0.0005862427075206905
black.py::is_comment::1140::1143,-0.0006036128618175998
blib2to3/pytree.py::remove::141::153,-0.0006215258334362877
black.py::is_decorator::1145::1148,-0.0006465557432738481
blib2to3/pgen2/parse.py::classify::161::173,-0.000664951219178561
black.py::is_import::1150::1153,-0.0006730934790052373
black.py::format_float_or_int_string::2704::2710,-0.0006730934790052373
blib2to3/pytree.py::convert::410::426,-0.000759944250489784
black.py::visit_stmt::1568::1587,-0.000767181814780163
black.py::visit_default::1518::1546,-0.0007816569433609208
blib2to3/pgen2/parse.py::addtoken::113::159,-0.0008561004617762465
black.py::line::1502::1516,-0.000894168170056811
black.py::visit::782::796,-0.0009739693659338457
blib2to3/pytree.py::__init__::340::357,-0.0010639219506856977
blib2to3/pytree.py::prev_sibling::168::179,-0.0012810488793970646
blib2to3/pytree.py::__init__::208::232,-0.0012810488793970646
blib2to3/pytree.py::update_sibling_maps::321::329,-0.0012810488793970646
blib2to3/pytree.py::__unicode__::366::372,-0.0012810488793970648
black.py::__bool__::1373::1375,-0.0013027615722682013
black.py::visit_default::798::802,-0.0013027615722682013
blib2to3/pytree.py::__new__::49::52,-0.0013299024383571219
blib2to3/pgen2/parse.py::shift::175::182,-0.001389612343752748
blib2to3/pgen2/parse.py::pop::191::201,-0.0014460653452177032
blib2to3/pgen2/parse.py::push::184::189,-0.0014721205766630673
blib2to3/pgen2/parse.py::setup::89::111,-0.0014981758081084313
blib2to3/pgen2/parse.py::__init__::57::87,-0.0014981758081084313
blib2to3/pgen2/driver.py::__init__::32::37,-0.001519888500979568
