Entity,Score
cookiecutter/prompt.py::read_user_choice::61::93,0.9756097560975611
cookiecutter/repository.py::determine_repo_dir::64::124,0.0
cookiecutter/repository.py::repository_has_cookiecutter_json::50::61,0.0
cookiecutter/repository.py::expand_abbreviations::32::47,0.0
cookiecutter/repository.py::is_zip_file::27::29,0.0
cookiecutter/repository.py::is_repo_url::22::24,0.0
cookiecutter/prompt.py::process_json::96::110,0.0
cookiecutter/prompt.py::read_repo_password::52::58,0.0
cookiecutter/prompt.py::read_user_yes_no::35::49,0.0
cookiecutter/prompt.py::read_user_variable::24::32,0.0
cookiecutter/prompt.py::prompt_for_config::189::242,0.0
cookiecutter/prompt.py::prompt_choice_for_config::176::186,0.0
cookiecutter/prompt.py::render_variable::139::173,0.0
cookiecutter/prompt.py::read_user_dict::113::136,0.0
cookiecutter/main.py::cookiecutter::25::101,0.0
cookiecutter/log.py::configure_logger::22::54,0.0
cookiecutter/generate.py::generate_context::75::114,0.0
cookiecutter/extensions.py::__init__::13::20,0.0
cookiecutter/extensions.py::jsonify::17::18,0.0
cookiecutter/exceptions.py::__init__::95::98,0.0
cookiecutter/environment.py::__init__::63::71,0.0
cookiecutter/environment.py::_read_extensions::42::53,0.0
cookiecutter/environment.py::__init__::17::40,0.0
cookiecutter/config.py::get_user_config::88::125,0.0
cookiecutter/cli.py::validate_extra_context::35::46,0.0
cookiecutter/cli.py::main::91::142,0.0
