Entity,Score
fastapi/utils.py::generate_operation_id_for_path::98::102,10.0
fastapi/utils.py::get_model_definitions::35::46,10.0
fastapi/utils.py::get_flat_models_from_routes::13::32,10.0
fastapi/openapi/utils.py::get_openapi_operation_parameters::81::99,10.0
fastapi/openapi/utils.py::get_openapi_security_definitions::66::78,10.0
fastapi/openapi/utils.py::get_openapi_params::56::63,10.0
fastapi/openapi/utils.py::get_openapi::246::286,10.0
fastapi/openapi/utils.py::get_openapi_path::147::243,10.0
fastapi/openapi/utils.py::get_openapi_operation_metadata::134::144,10.0
fastapi/openapi/utils.py::generate_operation_summary::128::131,10.0
fastapi/openapi/utils.py::generate_operation_id::121::125,10.0
fastapi/openapi/utils.py::get_openapi_operation_request_body::102::118,10.0
fastapi/encoders.py::jsonable_encoder::9::111,10.0
fastapi/dependencies/utils.py::get_flat_dependant::114::143,10.0
fastapi/dependencies/models.py::__init__::16::56,10.0
fastapi/applications.py::openapi::86::87,10.0
fastapi/applications.py::openapi::71::81,10.0
