Entity,Score
httpie/client.py::get_requests_kwargs::94::147,1.0
httpie/client.py::get_requests_session::30::36,1.0
httpie/client.py::get_response::39::58,1.0
httpie/client.py::encode_headers::66::72,1.0
httpie/client.py::get_default_headers::75::91,1.0
httpie/config.py::path::29::38,1.0
httpie/config.py::is_new::40::41,1.0
httpie/config.py::save::58::70,1.0
httpie/context.py::__init__::53::74,1.0
httpie/context.py::config::76::84,1.0
httpie/core.py::main::70::211,1.0
httpie/input.py::parse_args::119::155,1.0
httpie/input.py::_setup_standard_streams::169::202,1.0
httpie/input.py::_apply_config::204::207,1.0
httpie/input.py::_apply_no_options::236::260,1.0
httpie/input.py::_guess_method::273::309,1.0
httpie/input.py::_parse_items::311::347,1.0
httpie/input.py::_process_output_options::349::372,1.0
httpie/input.py::_process_pretty_options::374::383,1.0
httpie/input.py::_validate_download_options::385::391,1.0
httpie/input.py::parse_items::624::685,1.0
httpie/models.py::headers::52::79,1.0
httpie/output/formatters/headers.py::format_headers::6::14,1.0
httpie/output/formatters/json.py::format_body::12::26,1.0
httpie/output/formatters/xml.py::format_body::42::61,1.0
httpie/output/processing.py::is_valid_mime::10::11,1.0
httpie/output/processing.py::__init__::26::39,1.0
httpie/output/processing.py::format_headers::41::44,1.0
httpie/output/processing.py::format_body::46::50,1.0
httpie/output/streams.py::get_stream_type::97::121,1.0
httpie/output/streams.py::__init__::127::139,1.0
httpie/output/streams.py::__iter__::149::164,1.0
httpie/output/streams.py::__init__::191::203,1.0
httpie/output/streams.py::iter_body::277::293,1.0
httpie/output/streams.py::write::27::38,1.0
httpie/output/streams.py::build_output_stream::58::94,1.0
httpie/plugins/base.py::__init__::67::75,1.0
httpie/plugins/manager.py::load_installed_plugins::27::32,1.0
httpie/output/streams.py::process_body::258::264,0.7071067811865475
httpie/models.py::content_type::33::39,0.5773502691896258
httpie/models.py::encoding::81::83,0.5773502691896258
httpie/output/formatters/colors.py::__init__::30::48,0.5773502691896258
httpie/output/streams.py::__init__::227::231,0.5773502691896258
httpie/plugins/manager.py::get_formatters_grouped::50::56,0.5773502691896258
httpie/config.py::_get_path::96::97,0.5
httpie/input.py::_process_auth::209::234,0.4082482904638631
