Entity,Score
httpie/plugins/manager.py::get_formatters_grouped::48::54,10.0
httpie/plugins/manager.py::get_formatters::44::46,10.0
httpie/plugins/manager.py::get_auth_plugins::33::34,10.0
httpie/plugins/manager.py::load_installed_plugins::25::30,10.0
httpie/plugins/manager.py::__iter__::18::19,10.0
httpie/plugins/base.py::format_headers::58::64,10.0
httpie/plugins/base.py::__init__::48::56,10.0
httpie/output/streams.py::build_output_stream::58::94,10.0
httpie/output/streams.py::write::27::38,10.0
httpie/output/streams.py::get_headers::233::235,10.0
httpie/output/streams.py::__init__::227::231,10.0
httpie/output/streams.py::__init__::191::203,10.0
httpie/output/streams.py::__iter__::149::164,10.0
httpie/output/streams.py::__init__::127::139,10.0
httpie/output/streams.py::get_stream_type::97::121,10.0
httpie/output/processing.py::format_headers::41::44,10.0
httpie/output/processing.py::__init__::26::39,10.0
httpie/output/formatters/headers.py::format_headers::6::14,10.0
httpie/output/formatters/colors.py::__init__::31::49,10.0
httpie/models.py::headers::94::118,10.0
httpie/models.py::__init__::7::8,10.0
httpie/models.py::headers::52::72,10.0
httpie/models.py::content_type::33::39,10.0
httpie/input.py::parse_items::562::619,10.0
httpie/input.py::__call__::426::497,10.0
httpie/input.py::tokenize::439::458,10.0
httpie/input.py::__init__::423::424,10.0
httpie/input.py::__init__::402::403,10.0
httpie/input.py::__init__::390::394,10.0
httpie/input.py::_validate_download_options::374::380,10.0
httpie/input.py::_process_pretty_options::364::372,10.0
httpie/input.py::_process_output_options::339::362,10.0
httpie/input.py::_parse_items::297::337,10.0
httpie/input.py::_guess_method::259::295,10.0
httpie/input.py::_apply_no_options::222::246,10.0
httpie/input.py::_process_auth::196::220,10.0
httpie/input.py::_apply_config::191::194,10.0
httpie/input.py::_setup_standard_streams::163::189,10.0
httpie/input.py::parse_args::113::149,10.0
httpie/input.py::__init__::108::110,10.0
httpie/core.py::main::70::188,10.0
httpie/core.py::error::84::87,10.0
httpie/core.py::decode_args::57::67,10.0
httpie/context.py::config::60::68,10.0
httpie/context.py::__init__::38::58,10.0
httpie/config.py::_get_path::96::97,10.0
httpie/config.py::__init__::91::94,10.0
httpie/config.py::save::58::70,10.0
httpie/config.py::is_new::40::41,10.0
httpie/config.py::path::29::38,10.0
httpie/config.py::__getattr__::22::23,10.0
httpie/client.py::get_requests_kwargs::70::123,10.0
httpie/client.py::get_default_headers::51::67,10.0
httpie/client.py::encode_headers::42::48,10.0
httpie/client.py::get_response::18::34,10.0
httpie/cli.py::_split_lines::39::41,10.0
httpie/cli.py::__init__::34::37,10.0
