Entity,Score
keras/backend/tensorflow_backend.py::one_hot::2344::2356,1.0
keras/metrics.py::sparse_categorical_accuracy::36::39,0.9424083769633508
keras/metrics.py::categorical_accuracy::30::33,0.9424083769633508
keras/backend/tensorflow_backend.py::max::1234::1250,0.8910891089108911
keras/backend/tensorflow_backend.py::argmax::1435::1445,0.8450704225352113
keras/backend/tensorflow_backend.py::equal::1606::1616,0.8035714285714286
keras/backend/tensorflow_backend.py::cast::928::957,0.7317073170731707
keras/backend/tensorflow_backend.py::eval::655::673,0.7003891050583657
keras/backend/tensorflow_backend.py::variable::363::413,0.7003891050583657
keras/backend/tensorflow_backend.py::to_dense::334::357,0.6451612903225806
keras/backend/tensorflow_backend.py::get_session::156::211,0.6451612903225806
keras/utils/test_utils.py::wrapper::148::152,0.5056179775280899
keras/backend/tensorflow_backend.py::is_sparse::311::331,0.5056179775280899
keras/backend/common.py::floatx::48::61,0.5056179775280899
keras/utils/generic_utils.py::__exit__::51::53,0.0
keras/utils/generic_utils.py::slice_arrays::496::534,0.0
keras/utils/generic_utils.py::is_all_none::485::493,0.0
keras/utils/generic_utils.py::__enter__::45::49,0.0
keras/utils/generic_utils.py::object_list_uid::480::482,0.0
keras/utils/generic_utils.py::unpack_singleton::464::477,0.0
keras/utils/generic_utils.py::to_list::447::461,0.0
keras/utils/generic_utils.py::update::320::441,0.0
keras/utils/generic_utils.py::__init__::41::43,0.0
keras/utils/generic_utils.py::__init__::300::318,0.0
keras/utils/generic_utils.py::has_arg::244::283,0.0
keras/utils/generic_utils.py::deserialize_keras_object::120::169,0.0
keras/utils/generic_utils.py::serialize_keras_object::106::117,0.0
keras/utils/data_utils.py::get::673::709,0.0
keras/utils/data_utils.py::_run::663::671,0.0
keras/utils/data_utils.py::__init__::645::651,0.0
keras/utils/data_utils.py::next_sample::613::626,0.0
keras/utils/data_utils.py::stop::483::497,0.0
keras/utils/data_utils.py::_send_sequence::478::481,0.0
keras/utils/data_utils.py::start::458::476,0.0
