Entity,Score
keras/utils/generic_utils.py::func_load::193::243,0.9090909090909091
keras/utils/generic_utils.py::ensure_value_to_cell::210::227,0.9090909090909091
keras/utils/generic_utils.py::func_dump::174::190,0.9090909090909091
keras/models.py::_clone_functional_model::26::169,0.9090909090909091
keras/layers/core.py::from_config::749::793,0.9090909090909091
keras/layers/core.py::get_config::723::747,0.9090909090909091
keras/layers/core.py::compute_mask::718::721,0.9090909090909091
keras/layers/core.py::call::708::716,0.9090909090909091
keras/layers/core.py::compute_output_shape::667::706,0.9090909090909091
keras/layers/core.py::__init__::646::665,0.9090909090909091
keras/engine/base_layer.py::compute_mask::593::621,0.9090909090909091
keras/engine/base_layer.py::__call__::382::508,0.9090909090909091
keras/models.py::clone_model::226::251,0.660408825313113
keras/backend/tensorflow_backend.py::identity::839::849,0.660408825313113
keras/engine/network.py::build_map::1341::1398,0.3414802408943917
keras/engine/base_layer.py::build::623::633,0.2698653791735173
keras/engine/base_layer.py::from_config::1093::1109,0.2000408289106443
keras/engine/base_layer.py::get_config::1070::1091,0.18881631799579962
keras/engine/base_layer.py::assert_input_compatibility::262::368,0.17370597841489152
keras/utils/generic_utils.py::unpack_singleton::499::512,0.16622119985994901
keras/engine/network.py::__init__::86::96,0.16173999811565884
keras/engine/input_layer.py::Input::114::182,0.1380943014030761
keras/engine/input_layer.py::__init__::33::104,0.12641825997551492
keras/backend/tensorflow_backend.py::dtype::640::668,0.12159476291310745
keras/engine/network.py::__setattr__::302::316,0.10857252173929749
keras/engine/network.py::_init_graph_network::139::291,0.10857252173929749
keras/engine/network.py::_map_graph_network::1315::1498,0.10857252173929749
keras/engine/network.py::_base_init::98::137,0.10857252173929749
keras/engine/network.py::_make_node_key::1311::1312,0.10857252173929749
keras/engine/base_layer.py::input::768::792,0.10857252173929749
keras/engine/base_layer.py::_get_node_attribute_at_index::635::666,0.10857252173929749
keras/legacy/interfaces.py::wrapper::27::91,0.10730138201309435
keras/engine/base_layer.py::_add_inbound_node::510::574,0.10668238743453545
keras/engine/base_layer.py::_collect_previous_mask::1296::1315,0.10668238743453545
keras/engine/base_layer.py::__init__::1224::1277,0.10668238743453545
keras/utils/generic_utils.py::object_list_uid::515::517,0.10607402061258553
keras/backend/tensorflow_backend.py::placeholder::494::531,0.10607402061258553
keras/utils/generic_utils.py::is_all_none::520::525,0.10488797766104736
keras/utils/generic_utils.py::to_list::476::496,0.10488797766104736
keras/utils/generic_utils.py::has_arg::273::312,0.10488797766104736
keras/engine/base_layer.py::built::189::191,0.10488797766104736
keras/engine/base_layer.py::_collect_input_shape::1328::1344,0.10488797766104736
keras/backend/tensorflow_backend.py::is_tensor::490::491,0.10488797766104736
keras/backend/tensorflow_backend.py::is_keras_tensor::440::487,0.10488797766104736
