Entity,Score
pandas/core/common.py::maybe_box_datetimelike::75::87,0.37440705661917517
pandas/compat/numpy/function.py::__call__::48::74,0.0
pandas/core/algorithms.py::_get_take_nd_function::1427::1460,0.0
pandas/core/algorithms.py::take_nd::1556::1657,0.0
pandas/core/algorithms.py::checked_add_with_arr::899::972,0.0
pandas/core/arrays/_ranges.py::_generate_range_overflow_safe::86::150,0.0
pandas/core/arrays/_ranges.py::_generate_range_overflow_safe_signed::153::190,0.0
pandas/core/arrays/datetimelike.py::__sub__::1361::1408,0.0
pandas/core/arrays/datetimelike.py::validate_periods::1582::1605,0.0
pandas/core/arrays/datetimelike.py::validate_endpoints::1608::1638,0.0
pandas/core/arrays/datetimes.py::_validate_dt64_dtype::1972::2011,0.0
pandas/core/arrays/datetimes.py::_maybe_normalize_endpoints::2102::2119,0.0
pandas/core/arrays/datetimes.py::__init__::211::281,0.0
pandas/core/arrays/datetimes.py::_simple_new::284::294,0.0
pandas/core/arrays/datetimes.py::_generate_range::338::442,0.0
pandas/core/arrays/datetimes.py::_has_same_tz::619::627,0.0
pandas/core/arrays/datetimes.py::_sub_datetime_arraylike::651::673,0.0
pandas/core/arrays/datetimes.py::tz_to_dtype::55::70,0.0
pandas/core/arrays/numpy_.py::__init__::157::172,0.0
pandas/core/arrays/numpy_.py::to_numpy::438::447,0.0
pandas/core/arrays/timedeltas.py::__init__::143::192,0.0
pandas/core/base.py::_ndarray_values::867::881,0.0
pandas/core/common.py::any_none::170::174,0.0
pandas/core/common.py::all_none::177::181,0.0
pandas/core/common.py::count_not_none::198::202,0.0
pandas/core/common.py::asarray_tuplesafe::213::233,0.0
pandas/core/construction.py::extract_array::337::385,0.0
pandas/core/construction.py::sanitize_array::388::503,0.0
pandas/core/construction.py::_try_cast::506::567,0.0
pandas/core/construction.py::is_empty_data::570::587,0.0
pandas/core/dtypes/base.py::is_dtype::255::295,0.0
pandas/core/dtypes/cast.py::maybe_castable::1095::1106,0.0
pandas/core/dtypes/cast.py::maybe_cast_to_datetime::1215::1346,0.0
pandas/core/dtypes/common.py::is_datetime64_any_dtype::971::1006,0.0
pandas/core/dtypes/common.py::is_bool_dtype::1409::1471,0.0
pandas/core/dtypes/common.py::is_extension_array_dtype::1539::1585,0.0
pandas/core/dtypes/common.py::_get_dtype::1644::1676,0.0
pandas/core/dtypes/common.py::_is_dtype_type::1679::1720,0.0
pandas/core/dtypes/common.py::pandas_dtype::1812::1859,0.0
pandas/core/dtypes/common.py::ensure_python_int::180::203,0.0
pandas/core/dtypes/common.py::classes_and_not_datetimelike::211::219,0.0
pandas/core/dtypes/common.py::is_categorical::338::367,0.0
pandas/core/dtypes/common.py::is_datetime64tz_dtype::400::434,0.0
pandas/core/dtypes/common.py::is_period_dtype::467::497,0.0
pandas/core/dtypes/common.py::is_interval_dtype::500::532,0.0
pandas/core/dtypes/common.py::is_categorical_dtype::535::564,0.0
pandas/core/dtypes/common.py::is_dtype_equal::674::709,0.0
pandas/core/dtypes/dtypes.py::find::78::105,0.0
pandas/core/dtypes/inference.py::is_hashable::322::357,0.0
pandas/core/dtypes/missing.py::_isna_new::133::161,0.0
pandas/core/frame.py::_box_item_values::2784::2789,0.0
pandas/core/frame.py::_box_col_values::2791::2796,0.0
pandas/core/frame.py::__init__::420::517,0.0
pandas/core/generic.py::__init__::200::227,0.0
pandas/core/generic.py::attrs::249::259,0.0
pandas/core/generic.py::_validate_dtype::265::277,0.0
pandas/core/generic.py::_construct_axes_from_arguments::327::353,0.0
pandas/core/generic.py::reindex::4108::4353,0.0
pandas/core/generic.py::__finalize__::5039::5060,0.0
pandas/core/generic.py::__setattr__::5081::5120,0.0
pandas/core/generic.py::_protect_consolidate::5137::5146,0.0
pandas/core/indexes/api.py::union_indexes::161::230,0.0
pandas/core/indexes/api.py::_sanitize_and_check::233::269,0.0
pandas/core/indexes/base.py::name::1174::1182,0.0
pandas/core/indexes/base.py::inferred_type::1986::1990,0.0
pandas/core/indexes/base.py::_get_reconciled_name_object::2408::2417,0.0
pandas/core/indexes/base.py::_is_compatible_with_other::2443::2457,0.0
pandas/core/indexes/base.py::_validate_sort_keyword::2459::2464,0.0
pandas/core/indexes/base.py::_union::2525::2597,0.0
pandas/core/indexes/base.py::_assert_can_do_setop::2825::2828,0.0
pandas/core/indexes/base.py::get_loc::2841::2900,0.0
pandas/core/indexes/base.py::__new__::284::447,0.0
pandas/core/indexes/base.py::equals::4244::4272,0.0
