Entity,Score
sanic/router.py::_add::187::334,0.9965200885795634
sanic/app.py::url_for::798::925,0.9965200885795634
sanic/app.py::response::196::225,0.9965200885795634
sanic/router.py::find_route_by_view_name::387::400,0.9896324222431668
sanic/router.py::add::121::185,0.7279870580078576
sanic/app.py::route::163::227,0.6036795707167497
sanic/router.py::merge_route::248::270,0.5621988220596109
sanic/router.py::add_parameter::222::243,0.5599999999999999
sanic/worker.py::init_process::44::51,0.0
sanic/worker.py::handle_abort::226::230,0.0
sanic/worker.py::handle_quit::221::224,0.0
sanic/worker.py::init_signals::189::219,0.0
sanic/worker.py::_check_alive::152::173,0.0
sanic/worker.py::close::101::137,0.0
sanic/websocket.py::websocket_handshake::84::128,0.0
sanic/websocket.py::write_response::77::82,0.0
sanic/websocket.py::data_received::66::75,0.0
sanic/websocket.py::connection_lost::61::64,0.0
sanic/websocket.py::request_timeout_callback::49::51,0.0
sanic/websocket.py::__init__::29::46,0.0
sanic/websocket.py::close::169::170,0.0
sanic/websocket.py::accept::166::167,0.0
sanic/websocket.py::recv::154::162,0.0
sanic/websocket.py::send::144::152,0.0
sanic/websocket.py::__init__::136::142,0.0
sanic/views.py::add::94::107,0.0
sanic/views.py::__init__::91::92,0.0
sanic/testing.py::_sanic_endpoint_test::63::150,0.0
sanic/testing.py::error_handler::86::92,0.0
sanic/testing.py::_collect_request::79::81,0.0
sanic/testing.py::_local_request::28::61,0.0
sanic/testing.py::get_new_session::25::26,0.0
sanic/testing.py::websocket::224::257,0.0
sanic/testing.py::send::252::253,0.0
sanic/testing.py::receive::249::250,0.0
sanic/testing.py::__init__::19::23,0.0
sanic/testing.py::request::214::222,0.0
sanic/testing.py::__init__::193::212,0.0
sanic/testing.py::_collect_request::209::210,0.0
sanic/testing.py::app_call_with_return::183::185,0.0
sanic/testing.py::__call__::178::180,0.0
sanic/testing.py::websocket::173::174,0.0
sanic/testing.py::head::170::171,0.0
sanic/testing.py::options::167::168,0.0
sanic/testing.py::patch::164::165,0.0
sanic/testing.py::delete::161::162,0.0
sanic/testing.py::put::158::159,0.0
sanic/testing.py::post::155::156,0.0
sanic/testing.py::get::152::153,0.0
sanic/testing.py::_collect_response::117::126,0.0
sanic/server.py::serve::767::986,0.0
sanic/server.py::__await__::758::764,0.0
sanic/server.py::close::731::736,0.0
sanic/server.py::wait_closed::727::729,0.0
sanic/server.py::__init__::691::708,0.0
sanic/server.py::trigger_events::663::672,0.0
