Entity,Score
spacy/language.py::evaluate::652::692,10.0
spacy/scorer.py::__init__::72::107,0.9090909090909091
spacy/scorer.py::__init__::15::18,0.9090909090909091
spacy/language.py::_pipe::1099::1107,0.47619047619047616
spacy/util.py::get_component_name::294::301,0.19607843137254904
spacy/language.py::__init__::136::177,0.19607843137254904
spacy/language.py::add_pipe::300::348,0.05847953216374269
spacy/analysis.py::analyze_pipes::11::38,0.03558718861209964
spacy/util.py::compile_infix_regex::380::387,0.02849002849002849
spacy/util.py::compile_suffix_regex::370::377,0.02849002849002849
spacy/util.py::compile_prefix_regex::353::367,0.02849002849002849
spacy/language.py::create_tokenizer::81::101,0.02849002849002849
spacy/language.py::make_doc::452::453,0.026246719160104987
spacy/util.py::get_lang_class::63::78,0.02557544757033248
spacy/language.py::pipe_names::239::244,0.024937655860349125
spacy/lookups.py::__init__::24::31,0.020366598778004074
spacy/lemmatizer.py::__init__::23::32,0.020366598778004074
spacy/errors.py::__getattribute__::13::15,0.01490312965722802
spacy/util.py::get_data_path::90::99,0.0
spacy/util.py::set_lang_class::81::87,0.0
spacy/util.py::get_serialization_exclude::741::755,0.0
spacy/util.py::validate_json::720::738,0.0
spacy/util.py::get_json_validator::704::711,0.0
spacy/util.py::escape_html::669::680,0.0
spacy/util.py::from_disk::649::655,0.0
spacy/util.py::to_disk::638::646,0.0
spacy/util.py::from_bytes::629::635,0.0
spacy/util.py::to_bytes::620::626,0.0
spacy/util.py::lang_class_is_loaded::52::60,0.0
spacy/util.py::minibatch::470::484,0.0
spacy/util.py::normalize_slice::454::467,0.0
spacy/util.py::_get_attr_unless_lookup::403::407,0.0
spacy/util.py::env_opt::322::340,0.0
spacy/util.py::get_cuda_stream::304::310,0.0
spacy/util.py::is_in_jupyter::279::291,0.0
spacy/util.py::get_model_meta::231::247,0.0
spacy/util.py::load_model_from_path::188::211,0.0
spacy/util.py::load_model::150::169,0.0
spacy/util.py::get_module_path::144::147,0.0
spacy/util.py::ensure_path::116::125,0.0
spacy/tokens/underscore.py::get_ext_args::83::101,0.0
spacy/tokens/underscore.py::_get_key::79::80,0.0
spacy/tokens/underscore.py::get::73::74,0.0
spacy/tokens/underscore.py::__getattr__::33::59,0.0
spacy/tokens/underscore.py::__init__::16::26,0.0
spacy/scorer.py::score_set::51::53,0.0
spacy/scorer.py::__init__::45::49,0.0
spacy/scorer.py::score::220::343,0.0
spacy/scorer.py::score_set::20::23,0.0
spacy/pipeline/functions.py::merge_entities::36::48,0.0
spacy/pipeline/functions.py::merge_noun_chunks::14::28,0.0
spacy/pipeline/entityruler.py::__call__::86::122,0.0
spacy/pipeline/entityruler.py::__contains__::82::84,0.0
spacy/pipeline/entityruler.py::__len__::76::80,0.0
spacy/pipeline/entityruler.py::from_nlp::73::74,0.0
spacy/pipeline/entityruler.py::__init__::29::70,0.0
spacy/pipeline/entityruler.py::to_disk::312::336,0.0
spacy/pipeline/entityruler.py::from_disk::278::310,0.0
spacy/pipeline/entityruler.py::to_bytes::260::276,0.0
spacy/pipeline/entityruler.py::from_bytes::237::258,0.0
spacy/pipeline/entityruler.py::_create_label::228::235,0.0
spacy/pipeline/entityruler.py::_split_label::215::226,0.0
spacy/pipeline/entityruler.py::add_patterns::176::213,0.0
spacy/pipeline/entityruler.py::patterns::152::174,0.0
spacy/pipeline/entityruler.py::labels::125::134,0.0
spacy/ml/_legacy_tok2vec.py::Tok2Vec::15::92,0.0
spacy/lookups.py::get_table::66::80,0.0
spacy/lookups.py::add_table::51::64,0.0
spacy/lookups.py::tables::47::49,0.0
spacy/lookups.py::__len__::42::44,0.0
spacy/lookups.py::__contains__::33::40,0.0
spacy/lookups.py::__contains__::238::248,0.0
spacy/lookups.py::__getitem__::219::226,0.0
spacy/lookups.py::__setitem__::200::208,0.0
spacy/lookups.py::__init__::182::198,0.0
spacy/lookups.py::from_disk::143::158,0.0
spacy/lookups.py::to_disk::127::141,0.0
spacy/lookups.py::from_bytes::113::125,0.0
spacy/lookups.py::to_bytes::104::111,0.0
spacy/lookups.py::has_table::94::102,0.0
spacy/lemmatizer.py::is_base_form::72::106,0.0
spacy/lemmatizer.py::__call__::34::70,0.0
spacy/lemmatizer.py::lookup::132::146,0.0
spacy/language.py::from_bytes::969::999,0.0
spacy/language.py::to_bytes::945::967,0.0
spacy/language.py::from_disk::907::943,0.0
spacy/language.py::to_disk::875::905,0.0
spacy/language.py::_multiprocessing_pipe::835::873,0.0
spacy/language.py::pipe::726::833,0.0
spacy/language.py::create_vocab::63::78,0.0
spacy/language.py::begin_training::584::626,0.0
spacy/language.py::create_lookups::49::60,0.0
spacy/language.py::update::474::517,0.0
spacy/language.py::get_grads::499::500,0.0
spacy/language.py::_format_docs_and_golds::455::472,0.0
spacy/language.py::create_lemmatizer::43::46,0.0
spacy/language.py::disable_pipes::440::450,0.0
spacy/language.py::__call__::410::438,0.0
spacy/language.py::remove_pipe::395::408,0.0
spacy/language.py::rename_pipe::380::393,0.0
spacy/language.py::replace_pipe::361::378,0.0
spacy/language.py::has_pipe::350::359,0.0
spacy/language.py::create_pipe::283::298,0.0
spacy/language.py::get_pipe::270::281,0.0
spacy/language.py::pipe_labels::258::268,0.0
spacy/language.py::pipe_factories::247::255,0.0
spacy/language.py::parser::223::224,0.0
spacy/language.py::meta::184::206,0.0
spacy/language.py::step::1144::1151,0.0
spacy/language.py::send::1136::1142,0.0
spacy/language.py::__init__::1130::1134,0.0
spacy/language.py::restore::1088::1096,0.0
spacy/language.py::__exit__::1085::1086,0.0
spacy/language.py::__enter__::1082::1083,0.0
spacy/language.py::__init__::1072::1080,0.0
spacy/language.py::_fix_pretrained_vectors_name::1048::1066,0.0
spacy/language.py::__call__::1027::1045,0.0
spacy/language.py::factory::1037::1042,0.0
spacy/language.py::__init__::1014::1025,0.0
spacy/lang/lex_attrs.py::is_left_punct::85::104,0.0
spacy/lang/lex_attrs.py::is_quote::60::82,0.0
spacy/lang/lex_attrs.py::is_bracket::55::57,0.0
spacy/lang/lex_attrs.py::like_num::41::52,0.0
