Entity,Score
spacy/analysis.py::analyze_pipes::11::38,0.660408825313113
spacy/language.py::remove_pipe::395::407,0.4280697349698977
spacy/language.py::__call__::1025::1043,0.4280697349698977
spacy/language.py::factory::1035::1040,0.4280697349698977
spacy/language.py::__init__::1012::1023,0.4280697349698977
spacy/errors.py::_warn::610::626,0.4280697349698977
spacy/errors.py::user_warning::598::599,0.4280697349698977
spacy/analysis.py::validate_attrs::71::114,0.4280697349698977
spacy/analysis.py::analyze_all_pipes::41::51,0.3922353493794955
spacy/analysis.py::dot_to_dict::54::68,0.2926865141360691
spacy/util.py::get_component_name::373::380,0.2517000230958917
spacy/language.py::add_pipe::300::348,0.23679256183741382
spacy/language.py::__init__::136::177,0.18230992780733027
spacy/util.py::get_module_path::195::198,0.176436410546306
spacy/language.py::create_vocab::62::78,0.176436410546306
spacy/language.py::create_lookups::48::60,0.176436410546306
spacy/language.py::create_lemmatizer::42::46,0.176436410546306
spacy/util.py::get_entry_points::330::340,0.16860699896573406
spacy/util.py::compile_infix_regex::459::466,0.16622119985994901
spacy/util.py::compile_suffix_regex::449::456,0.16622119985994901
spacy/util.py::compile_prefix_regex::432::446,0.16622119985994901
spacy/language.py::create_tokenizer::80::101,0.16622119985994901
spacy/language.py::pipe_names::238::244,0.15565279620747083
spacy/lookups.py::__init__::24::31,0.14084507042253522
spacy/lemmatizer.py::__init__::23::32,0.14084507042253522
spacy/errors.py::__getattribute__::13::15,0.1206949212102172
spacy/util.py::get_lang_class::72::90,0.0
spacy/util.py::get_serialization_exclude::820::834,0.0
spacy/util.py::validate_json::799::817,0.0
spacy/util.py::get_json_validator::783::790,0.0
spacy/util.py::escape_html::748::759,0.0
spacy/util.py::from_disk::728::734,0.0
spacy/util.py::to_disk::717::725,0.0
spacy/util.py::from_bytes::708::714,0.0
spacy/util.py::to_bytes::699::705,0.0
spacy/util.py::lang_class_is_loaded::60::69,0.0
spacy/util.py::minibatch::549::563,0.0
spacy/util.py::normalize_slice::533::546,0.0
