Entity,Score
thefuck/utils.py::wrapper::263::267,0.9090909090909091
thefuck/shells/fish.py::get_aliases::57::62,0.9090909090909091
thefuck/shells/fish.py::_get_aliases::20::28,0.9090909090909091
thefuck/shells/fish.py::_get_functions::13::16,0.9090909090909091
thefuck/utils.py::wrapper::29::39,0.660408825313113
thefuck/shells/fish.py::_get_overridden_aliases::32::38,0.3922353493794955
thefuck/shells/generic.py::_get_history_lines::54::69,0.0
thefuck/shells/generic.py::get_history::51::52,0.0
thefuck/shells/generic.py::to_shell::32::34,0.0
thefuck/shells/generic.py::_create_shell_configuration::134::139,0.0
thefuck/shells/fish.py::put_to_history::98::102,0.0
thefuck/shells/fish.py::how_to_configure::92::96,0.0
thefuck/shells/fish.py::or_::89::90,0.0
thefuck/shells/fish.py::and_::86::87,0.0
thefuck/shells/fish.py::_script_from_history::80::84,0.0
thefuck/shells/fish.py::_get_history_line::77::78,0.0
thefuck/shells/fish.py::_get_history_file_name::74::75,0.0
thefuck/shells/fish.py::app_alias::40::55,0.0
thefuck/shells/fish.py::_put_to_history::104::113,0.0
thefuck/conf.py::__setattr__::14::15,0.0
thefuck/conf.py::__getattr__::11::12,0.0
