Entity,Score
thefuck/utils.py::replace_command::154::158,1.0
thefuck/types.py::__repr__::54::56,1.0
thefuck/rules/dnf_no_such_command.py::get_new_command::34::37,1.0
thefuck/rules/dnf_no_such_command.py::_get_operations::25::31,1.0
thefuck/rules/dnf_no_such_command.py::_parse_operations::17::22,1.0
thefuck/specific/sudo.py::sudo_support::5::18,0.5633802816901409
thefuck/types.py::__init__::16::24,0.39215686274509803
thefuck/utils.py::wrapper::28::39,0.0
thefuck/utils.py::_for_app::177::181,0.0
thefuck/utils.py::is_app::161::172,0.0
thefuck/types.py::script_parts::36::46,0.0
thefuck/shells/generic.py::decode_utf8::96::99,0.0
thefuck/shells/generic.py::encode_utf8::91::94,0.0
thefuck/shells/generic.py::split_command::80::89,0.0
thefuck/rules/dnf_no_such_command.py::match::11::14,0.0
