Entity,Score
tornado/httputil.py::__init__::340::367,0.9846654526477719
tornado/simple_httpclient.py::_on_connect::314::393,0.9846654526477719
tornado/websocket.py::get::149::200,0.9846654526477719
tornado/httpclient.py::headers::478::483,0.9836078976579631
tornado/httputil.py::parse_line::177::192,0.9836078976579631
tornado/httputil.py::parse_request_start_line::820::837,0.9836078976579631
tornado/concurrent.py::__init__::168::176,0.0
tornado/concurrent.py::_clear_tb_log::219::223,0.0
tornado/concurrent.py::set_exc_info::296::315,0.0
tornado/concurrent.py::__del__::335::344,0.0
tornado/concurrent.py::copy::512::523,0.0
tornado/escape.py::parse_qs_bytes::166::181,0.0
tornado/gen.py::run::1031::1096,0.0
tornado/gen.py::handle_yield::1098::1150,0.0
tornado/gen.py::convert_yielded::1253::1277,0.0
tornado/gen.py::with_timeout::866::927,0.0
tornado/gen.py::__init__::978::997,0.0
tornado/http1connection.py::__init__::90::136,0.0
tornado/http1connection.py::read_response::138::151,0.0
tornado/http1connection.py::_read_message::153::263,0.0
tornado/http1connection.py::close::297::302,0.0
tornado/http1connection.py::write_headers::333::408,0.0
tornado/http1connection.py::_format_chunk::410::423,0.0
tornado/http1connection.py::finish::446::473,0.0
tornado/http1connection.py::_on_write_complete::475::486,0.0
tornado/http1connection.py::_can_keep_alive::488::502,0.0
tornado/http1connection.py::_finish_request::504::513,0.0
tornado/http1connection.py::_read_body::532::579,0.0
tornado/http1connection.py::_read_fixed_body::581::591,0.0
tornado/http1connection.py::data_received::646::661,0.0
tornado/http1connection.py::__init__::681::693,0.0
tornado/http1connection.py::__init__::61::81,0.0
tornado/httpclient.py::__new__::163::179,0.0
tornado/httpclient.py::close::188::207,0.0
tornado/httpclient.py::handle_response::258::262,0.0
tornado/httpclient.py::__init__::308::472,0.0
tornado/httpclient.py::__init__::556::584,0.0
tornado/httpclient.py::__init__::619::623,0.0
tornado/httpserver.py::initialize::149::171,0.0
tornado/httpserver.py::start_request::197::206,0.0
tornado/httpserver.py::__init__::238::262,0.0
tornado/httputil.py::request_time::426::431,0.0
tornado/httputil.py::_parse_body::458::465,0.0
tornado/httputil.py::__repr__::467::470,0.0
tornado/httputil.py::parse_body_arguments::713::746,0.0
tornado/httputil.py::format_timestamp::795::813,0.0
tornado/ioloop.py::initialize::291::298,0.0
tornado/ioloop.py::_setup_logging::404::418,0.0
tornado/ioloop.py::run::473::488,0.0
tornado/ioloop.py::run_sync::444::497,0.0
tornado/ioloop.py::_run_callback::638::661,0.0
tornado/iostream.py::_handle_connect::1220::1241,0.0
tornado/iostream.py::set_nodelay::1243::1254,0.0
tornado/iostream.py::__init__::138::196,0.0
tornado/iostream.py::write::368::411,0.0
tornado/iostream.py::close::423::451,0.0
tornado/iostream.py::_maybe_run_close_callback::453::481,0.0
tornado/iostream.py::reading::483::485,0.0
tornado/iostream.py::writing::487::489,0.0
tornado/iostream.py::_handle_events::510::561,0.0
tornado/iostream.py::_read_to_buffer_loop::598::656,0.0
tornado/iostream.py::_read_from_buffer::775::783,0.0
tornado/iostream.py::_handle_write::850::907,0.0
tornado/iostream.py::_consume::909::926,0.0
tornado/iostream.py::_maybe_add_error_listener::932::946,0.0
tornado/netutil.py::bind_sockets::102::189,0.0
tornado/netutil.py::initialize::373::380,0.0
tornado/netutil.py::close::382::385,0.0
tornado/routing.py::process_rule::365::375,0.0
tornado/routing.py::_find_groups::544::576,0.0
tornado/simple_httpclient.py::initialize::60::115,0.0
tornado/simple_httpclient.py::close::117::121,0.0
tornado/simple_httpclient.py::fetch_impl::123::138,0.0
tornado/simple_httpclient.py::_remove_timeout::164::169,0.0
tornado/simple_httpclient.py::__init__::193::246,0.0
tornado/simple_httpclient.py::_remove_timeout::309::312,0.0
tornado/simple_httpclient.py::_create_connection::395::405,0.0
tornado/simple_httpclient.py::_write_body::407::424,0.0
tornado/simple_httpclient.py::_release::433::437,0.0
tornado/simple_httpclient.py::headers_received::481::497,0.0
tornado/simple_httpclient.py::_should_follow_redirect::499::502,0.0
tornado/simple_httpclient.py::finish::504::550,0.0
tornado/simple_httpclient.py::data_received::555::562,0.0
tornado/stack_context.py::_remove_deactivated::229::252,0.0
tornado/stack_context.py::wrap::255::351,0.0
tornado/stack_context.py::wrapped::283::348,0.0
tornado/tcpclient.py::on_connect_done::111::135,0.0
tornado/tcpclient.py::close_streams::165::167,0.0
tornado/tcpclient.py::__init__::176::182,0.0
tornado/tcpclient.py::close::184::186,0.0
tornado/tcpclient.py::_create_stream::244::275,0.0
tornado/tcpclient.py::split::68::86,0.0
tornado/tcpserver.py::__init__::109::136,0.0
tornado/tcpserver.py::stop::227::240,0.0
tornado/tcpserver.py::_handle_connection::259::302,0.0
tornado/util.py::errno_from_exception::219::235,0.0
tornado/web.py::finish::979::1017,0.0
tornado/web.py::send_error::1024::1061,0.0
tornado/web.py::write_error::1063::1086,0.0
tornado/web.py::_stack_context_handle_exception::1482::1491,0.0
tornado/web.py::_execute::1493::1545,0.0
tornado/web.py::_handle_request_exception::1567::1587,0.0
tornado/web.py::log_exception::1589::1607,0.0
tornado/web.py::wrapper::1681::1707,0.0
tornado/web.py::_has_stream_request_body::1738::1741,0.0
tornado/web.py::__init__::1890::1935,0.0
tornado/web.py::_load_ui_methods::1983::1994,0.0
tornado/web.py::_load_ui_modules::1996::2010,0.0
tornado/web.py::log_request::2061::2080,0.0
tornado/web.py::execute::2121::2150,0.0
tornado/web.py::clear::287::297,0.0
tornado/web.py::set_status::309::322,0.0
tornado/web.py::write::711::738,0.0
tornado/web.py::flush::931::977,0.0
tornado/websocket.py::send_error::448::456,0.0
tornado/websocket.py::_abort::508::513,0.0
tornado/websocket.py::__init__::587::614,0.0
tornado/websocket.py::accept_connection::616::624,0.0
tornado/websocket.py::_break_cycles::439::446,-0.0003304859343152596
tornado/routing.py::get_target_delegate::329::350,-0.0005287774949044153
tornado/routing.py::__init__::494::506,-0.0005287774949044153
tornado/routing.py::match::508::528,-0.0005287774949044153
tornado/stack_context.py::__init__::179::181,-0.0005287774949044153
tornado/tcpclient.py::try_connect::95::109,-0.0005287774949044153
tornado/template.py::__init__::385::411,-0.0005287774949044153
tornado/web.py::__init__::167::192,-0.0005287774949044153
tornado/httpclient.py::handle_future::245::255,-0.0007050366598725538
tornado/simple_httpclient.py::_process_queue::140::149,-0.0007050366598725538
tornado/concurrent.py::exception::244::257,-0.0010575549898088306
tornado/httpclient.py::initialize::181::186,-0.0010575549898088306
tornado/httpclient.py::fetch::209::264,-0.0010575549898088306
tornado/tcpclient.py::on_timeout::141::144,-0.0015863324847132459
tornado/tcpclient.py::clear_timeouts::159::163,-0.0015863324847132459
tornado/concurrent.py::result::225::242,-0.0021151099796176613
tornado/http1connection.py::finish::663::673,-0.003701442464330907
tornado/simple_httpclient.py::_run_callback::439::444,-0.004230219959235323
tornado/httputil.py::__init__::134::145,-0.006979862932738281
tornado/iostream.py::_add_io_state::948::979,-0.007755403258598092
tornado/tcpclient.py::set_timeout::137::139,-0.007931662423566228
tornado/httputil.py::parse_response_start_line::844::857,-0.008460439918470645
tornado/netutil.py::remove_handler::276::278,-0.008724828665922852
tornado/iostream.py::_find_read_pos::785::826,-0.009229570820149795
tornado/iostream.py::_check_max_bytes::828::833,-0.00966907419253788
tornado/websocket.py::__init__::141::147,-0.010046772403183891
tornado/websocket.py::__init__::480::485,-0.010046772403183891
tornado/iostream.py::_read_to_buffer::734::765,-0.010575549898088307
tornado/simple_httpclient.py::_get_ssl_options::248::295,-0.010575549898088307
tornado/gen.py::wrapper::278::330,-0.010906035832403564
tornado/stack_context.py::__exit__::197::211,-0.010906035832403564
tornado/web.py::headers_received::2096::2099,-0.011633104887897138
tornado/routing.py::add_rules::290::304,-0.012029688009075447
tornado/http1connection.py::_server_request_loop::720::744,-0.012161882382801553
tornado/http1connection.py::_clear_callbacks::265::275,-0.013219437372610382
tornado/websocket.py::_handle_websocket_headers::626::634,-0.013219437372610382
tornado/web.py::_request_summary::1563::1565,-0.013219437372610386
tornado/websocket.py::get_websocket_protocol::458::462,-0.013748214867514798
tornado/http1connection.py::headers_received::635::644,-0.01480576985732363
tornado/util.py::__new__::289::307,-0.015268450165364988
tornado/routing.py::find_handler::314::327,-0.01586332484713246
tornado/routing.py::__init__::393::418,-0.01586332484713246
tornado/iostream.py::read_bytes::302::330,-0.016392102342036877
tornado/iostream.py::_run_read_callback::682::699,-0.016392102342036877
tornado/routing.py::__init__::260::288,-0.016392102342036877
tornado/web.py::__init__::2084::2094,-0.016392102342036877
tornado/escape.py::utf8::187::200,-0.01692087983694129
tornado/http1connection.py::__exit__::52::55,-0.01692087983694129
tornado/httputil.py::add::149::159,-0.01692087983694129
tornado/httputil.py::get_all::166::175,-0.01692087983694129
tornado/httputil.py::parse::194::206,-0.01692087983694129
tornado/httputil.py::split_host_and_port::927::941,-0.01692087983694129
tornado/iostream.py::read_from_fd::1055::1066,-0.01692087983694129
tornado/iostream.py::connect::1071::1134,-0.01692087983694129
tornado/iostream.py::_handle_read::658::671,-0.01692087983694129
tornado/iostream.py::_set_read_callback::673::680,-0.01692087983694129
tornado/iostream.py::_try_inline_read::701::732,-0.01692087983694129
tornado/iostream.py::_check_closed::928::930,-0.01692087983694129
tornado/netutil.py::add_accept_handler::223::281,-0.01692087983694129
tornado/netutil.py::accept_handler::244::274,-0.01692087983694129
tornado/tcpclient.py::connect::188::242,-0.01692087983694129
tornado/tcpserver.py::add_sockets::149::161,-0.01692087983694129
tornado/web.py::get_target_delegate::1812::1816,-0.01692087983694129
tornado/web.py::find_handler::2017::2029,-0.01692087983694129
tornado/web.py::finish::2107::2113,-0.01692087983694129
tornado/web.py::_convert_header_value::358::386,-0.01692087983694129
tornado/httpclient.py::_async_clients::156::161,-0.0174496573318457
tornado/concurrent.py::add_done_callback::259::270,-0.017449657331845704
tornado/concurrent.py::_check_done::317::319,-0.017449657331845704
tornado/concurrent.py::wrapper::398::406,-0.017449657331845704
tornado/gen.py::_deactivate_stack_context::1165::1168,-0.017449657331845704
tornado/gen.py::_contains_yieldpoint::654::664,-0.017449657331845704
tornado/httpclient.py::__getattr__::644::651,-0.017449657331845704
tornado/httpserver.py::close_all_connections::181::186,-0.017449657331845704
tornado/ioloop.py::current::227::255,-0.017449657331845704
tornado/ioloop.py::add_timeout::514::546,-0.017449657331845704
tornado/netutil.py::resolve::387::398,-0.017449657331845704
tornado/process.py::uninitialize::324::330,-0.017449657331845704
tornado/stack_context.py::null_wrapper::273::279,-0.017449657331845704
tornado/tcpclient.py::start::88::93,-0.017449657331845704
tornado/util.py::configured_class::354::364,-0.017449657331845704
tornado/web.py::__init__::1799::1802,-0.017449657331845704
tornado/web.py::process_rule::1804::1810,-0.017449657331845704
