Entity,Score
tqdm/_tqdm.py::__exit__::877::879,0.5773502691896258
tqdm/_tqdm.py::__len__::868::872,0.4082482904638631
tqdm/_tqdm.py::format_meter::198::399,0.2581988897471611
tqdm/_tqdm.py::close::1075::1124,0.12909944487358055
tqdm/_tqdm.py::__init__::641::866,0.09901475429766744
tqdm/_tqdm.py::__new__::401::422,0.0842151921066519
tqdm/_monitor.py::__init__::31::46,0.0
tqdm/_monitor.py::report::95::96,0.0
tqdm/_tqdm.py::format_interval::154::172,0.0
tqdm/_tqdm.py::status_printer::175::195,0.0
tqdm/_tqdm.py::print_status::190::193,0.0
tqdm/_tqdm.py::_get_free_pos::425::429,0.0
tqdm/_tqdm.py::_decr_instances::432::457,0.0
tqdm/_tqdm.py::__repr__::884::891,0.0
tqdm/_tqdm.py::_comparable::894::895,0.0
tqdm/_utils.py::__eq__::129::130,0.0
tqdm/_utils.py::_is_utf::142::153,0.0
