Entity,Score
youtube_dl/utils.py::fix_kv::2243::2264,40.0
youtube_dl/utils.py::js_to_json::2235::2273,3.6363636363636362
youtube_dl/utils.py::__init__::919::921,0.0
youtube_dl/utils.py::register_socks_protocols::72::78,0.0
youtube_dl/utils.py::__init__::728::746,0.0
youtube_dl/utils.py::bug_reports_message::709::717,0.0
youtube_dl/utils.py::make_HTTPS_handler::684::706,0.0
youtube_dl/utils.py::encodeArgument::652::658,0.0
youtube_dl/utils.py::encodeFilename::617::638,0.0
youtube_dl/utils.py::unescapeHTML::596::602,0.0
youtube_dl/utils.py::_htmlentity_transform::565::593,0.0
youtube_dl/utils.py::orderedSet::556::562,0.0
youtube_dl/utils.py::expand_path::551::553,0.0
youtube_dl/utils.py::sanitized_Request::547::548,0.0
youtube_dl/utils.py::sanitize_url::543::544,0.0
youtube_dl/utils.py::sanitize_path::523::538,0.0
youtube_dl/utils.py::sanitize_filename::482::520,0.0
youtube_dl/utils.py::replace_insane::488::503,0.0
youtube_dl/utils.py::timeconvert::473::479,0.0
youtube_dl/utils.py::clean_html::424::438,0.0
youtube_dl/utils.py::extract_attributes::398::421,0.0
youtube_dl/utils.py::handle_starttag::394::395,0.0
youtube_dl/utils.py::__init__::390::392,0.0
youtube_dl/utils.py::get_elements_by_attribute::363::385,0.0
youtube_dl/utils.py::urshift::3648::3649,0.0
youtube_dl/utils.py::parse_m3u8_attributes::3639::3645,0.0
youtube_dl/utils.py::encode_base_n::3603::3618,0.0
youtube_dl/utils.py::pkcs1pad::3588::3600,0.0
youtube_dl/utils.py::get_elements_by_class::356::360,0.0
youtube_dl/utils.py::ohdave_rsa_encrypt::3571::3585,0.0
youtube_dl/utils.py::get_element_by_attribute::351::353,0.0
youtube_dl/utils.py::__init__::3496::3502,0.0
youtube_dl/utils.py::get_element_by_class::345::348,0.0
youtube_dl/utils.py::xpath_attr::327::337,0.0
youtube_dl/utils.py::xpath_text::312::324,0.0
youtube_dl/utils.py::xpath_element::289::309,0.0
youtube_dl/utils.py::_find_xpath::290::291,0.0
youtube_dl/utils.py::xpath_with_ns::277::286,0.0
youtube_dl/utils.py::cli_valueless_option::2766::2768,0.0
youtube_dl/utils.py::cli_bool_option::2756::2763,0.0
youtube_dl/utils.py::cli_option::2749::2753,0.0
youtube_dl/utils.py::dfxp2srt::2588::2746,0.0
youtube_dl/utils.py::parse_node::2685::2689,0.0
