Entity,Score
youtube_dl/utils.py::js_to_json::2024::2060,0.660408825313113
youtube_dl/utils.py::fix_kv::2025::2051,0.660408825313113
youtube_dl/utils.py::__init__::983::986,0.0
youtube_dl/utils.py::__init__::826::828,0.0
youtube_dl/utils.py::register_socks_protocols::67::73,0.0
youtube_dl/utils.py::__init__::671::689,0.0
youtube_dl/utils.py::bug_reports_message::657::665,0.0
youtube_dl/utils.py::make_HTTPS_handler::632::654,0.0
youtube_dl/utils.py::encodeArgument::600::606,0.0
youtube_dl/utils.py::encodeFilename::565::586,0.0
youtube_dl/utils.py::unescapeHTML::544::550,0.0
youtube_dl/utils.py::_htmlentity_transform::513::541,0.0
youtube_dl/utils.py::orderedSet::504::510,0.0
youtube_dl/utils.py::sanitized_Request::500::501,0.0
youtube_dl/utils.py::sanitize_url::496::497,0.0
youtube_dl/utils.py::sanitize_path::476::491,0.0
youtube_dl/utils.py::sanitize_filename::436::473,0.0
youtube_dl/utils.py::replace_insane::441::456,0.0
youtube_dl/utils.py::timeconvert::427::433,0.0
youtube_dl/utils.py::clean_html::378::392,0.0
youtube_dl/utils.py::extract_attributes::356::375,0.0
youtube_dl/utils.py::handle_starttag::352::353,0.0
youtube_dl/utils.py::__init__::348::350,0.0
youtube_dl/utils.py::get_element_by_attribute::321::343,0.0
youtube_dl/utils.py::get_element_by_class::315::318,0.0
youtube_dl/utils.py::xpath_attr::297::307,0.0
youtube_dl/utils.py::urshift::2998::2999,0.0
youtube_dl/utils.py::encode_base_n::2951::2966,0.0
youtube_dl/utils.py::ohdave_rsa_encrypt::2934::2948,0.0
youtube_dl/utils.py::xpath_text::282::294,0.0
youtube_dl/utils.py::__init__::2910::2916,0.0
youtube_dl/utils.py::xpath_element::259::279,0.0
youtube_dl/utils.py::_find_xpath::260::261,0.0
youtube_dl/utils.py::xpath_with_ns::247::256,0.0
youtube_dl/utils.py::cli_valueless_option::2434::2436,0.0
youtube_dl/utils.py::cli_bool_option::2426::2431,0.0
youtube_dl/utils.py::cli_option::2419::2423,0.0
youtube_dl/utils.py::dfxp2srt::2364::2416,0.0
youtube_dl/utils.py::parse_node::2387::2391,0.0
youtube_dl/utils.py::close::2384::2385,0.0
youtube_dl/utils.py::data::2381::2382,0.0
youtube_dl/utils.py::end::2378::2379,0.0
youtube_dl/utils.py::start::2374::2376,0.0
youtube_dl/utils.py::srt_subtitles_timecode::2360::2361,0.0
youtube_dl/utils.py::parse_dfxp_time_expr::2347::2357,0.0
