project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
black,1,93.75341796875,135.66666666666666,0.3358085808580858
black,3,9.7900550365448,167.0,0.5015015015015015
black,4,4539.681412220001,157.5,0.5113636363636364
black,7,14672.780691862106,1.0,0.0033333333333333335
black,8,18637.41338825226,150.5,0.5016666666666667
black,10,38684.765807151794,1.0,0.003389830508474576
black,14,37932.707665205,142.5,0.5017605633802817
black,18,29421.612568616867,1.0,0.0035842293906810036
black,19,6064.00123167038,85.0,0.3346456692913386
black,23,35329.5361802578,42.6,0.2009433962264151
cookiecutter,1,2.074887990951538,31.0,0.5081967213114754
cookiecutter,2,26.76218032836914,15.5,0.2540983606557377
cookiecutter,3,18.29013729095459,29.0,0.5087719298245614
cookiecutter,4,6.338956594467163,7.6,0.2054054054054054
fastapi,1,205.24002027511597,2.5,0.016233766233766232
fastapi,2,55.62518310546875,77.5,0.5032467532467533
fastapi,3,242.84236693382263,77.0,0.5032679738562091
fastapi,4,2511.5323479175568,75.5,0.5067114093959731
fastapi,5,205.59823203086853,74.0,0.5068493150684932
fastapi,6,457.0858738422394,1.0,0.00684931506849315
fastapi,7,60.436787843704224,72.0,0.5034965034965035
fastapi,10,113.7317590713501,43.333333333333336,0.3359173126614987
fastapi,12,35.077723026275635,1.0,0.007936507936507936
fastapi,14,1623.813777923584,96,1.0
fastapi,16,13.46517539024353,46.5,0.5054347826086957
httpie,2,192.34046244621277,58.0,0.3352601156069364
httpie,3,26.51479935646057,58.0,0.3352601156069364
httpie,4,220.40973734855652,1.0,0.006060606060606061
httpie,5,26.653422117233276,4.0,0.26666666666666666
keras,1,627.9061393737793,1.0,0.0005224660397074191
keras,5,55.69915580749512,927.5,0.500269687162891
keras,10,86.7047348022461,916.0,0.5002730748225014
keras,14,58.315861225128174,858.0,0.5002915451895044
keras,17,145.79922080039978,849.5,0.5008844339622641
keras,26,3134.593938589096,577.0,0.33352601156069367
pandas,2,32277.67711544037,1383.5,0.2500451834447858
pandas,54,46.08626055717468,1848.0,0.3333934692404835
pandas,56,23584.782984018326,2771.0,0.5000902364194189
pandas,68,4974.024302482605,5529,1.0
pandas,74,3342.62832403183,1.0,0.00018102824040550325
pandas,81,12458.790018081665,1836.6666666666667,0.33339384038240455
pandas,116,40300.29475188255,2799.5,0.5000893176134333
pandas,137,132688.53024053574,1870.6666666666667,0.3336305808215921
pandas,168,8535.846648693085,2849.0,0.5000877654906091
sanic,1,440.5520324707031,399.5,0.5006265664160401
sanic,3,196.67888522148132,268.3333333333333,0.3337479270315091
sanic,4,459.0560920238495,390.0,0.5006418485237484
spacy,1,0.2565317153930664,311.6666666666667,0.33369022127052106
spacy,3,15.23869276046753,490.0,0.5005107252298263
spacy,4,11.089735269546509,486.0,0.5005149330587023
spacy,5,71.84405374526978,485.0,0.500515995872033
spacy,6,306.7640278339386,3.0,0.0031185031185031187
thefuck,2,7.9789745807647705,280.5,0.5008928571428571
thefuck,3,0.26230478286743164,277.5,0.5009025270758123
thefuck,4,13.70940113067627,267.5,0.5009363295880149
thefuck,6,5.421767711639404,177.0,0.3339622641509434
thefuck,7,18.607203722000122,258.5,0.500968992248062
thefuck,8,14.905308246612549,164.33333333333334,0.3340108401084011
thefuck,13,32.64718770980835,88.25,0.2507102272727273
thefuck,14,11.717396974563599,171.0,0.501466275659824
thefuck,15,37.31206679344177,113.33333333333333,0.33431661750245817
thefuck,17,290.60990047454834,82.0,0.25076452599388377
thefuck,19,58.811904191970825,160.5,0.5015625
thefuck,20,6.726948022842407,107.33333333333333,0.3343717549325026
thefuck,25,9.800950765609741,138.5,0.5018115942028986
thefuck,26,15.910508871078491,139.5,0.5017985611510791
thefuck,28,254.17725825309753,137.5,0.5018248175182481
thefuck,29,2.6936237812042236,137.5,0.5018248175182481
tornado,1,2285.3014409542084,555.0,0.5004508566275925
tornado,5,15.831645965576172,648.0,0.5003861003861004
tornado,6,229.30976128578186,323.75,0.250193199381762
tornado,8,3249.28294301033,429.0,0.33779527559055117
tqdm,2,72.3983314037323,31.0,0.25203252032520324
tqdm,4,51.20026516914368,50.0,0.5050505050505051
tqdm,5,452.6366128921509,31.333333333333332,0.3369175627240143
tqdm,6,9.69436502456665,46.0,0.5054945054945055
tqdm,7,18.93904423713684,91,1.0
tqdm,8,109.56104493141174,26.5,0.5096153846153846
tqdm,9,131.17345690727234,3.0,0.21428571428571427
youtube-dl,1,255.04470682144165,1340.0,0.5001866368047779
youtube-dl,2,1180.5317454338074,1297.5,0.5001927525057825
youtube-dl,6,8.705832242965698,436.5,0.2501432664756447
youtube-dl,7,69.46882820129395,560.0,0.33353186420488384
youtube-dl,13,214.2409746646881,1.0,0.00035688793718772306
youtube-dl,15,891.6497943401337,1308.0,0.5003825554705432
youtube-dl,17,21.799129247665405,832.0,0.33346693386773546
youtube-dl,18,507.5519185066223,1241.5,0.500201450443191
youtube-dl,20,11.767359972000122,1235.5,0.5002024291497976
youtube-dl,21,25.272900819778442,1200.5,0.5002083333333334
youtube-dl,25,264.5544602870941,1.0,0.00045871559633027525
youtube-dl,31,163.38179850578308,286.0,0.25021872265966755
youtube-dl,34,8.894504070281982,267.75,0.2502336448598131
youtube-dl,41,14.524153470993042,372.0,0.5006729475100942
youtube-dl,43,24.447188138961792,326.0,0.500768049155146
