project_name,bug_number,cumulative_distance
black,1,19.08108531994981
black,3,4.485455412494039
black,4,187.05789076264787
black,6,21.56107329842932
black,7,1.871866418637612
black,8,0.4696485623003195
black,10,3.7769058295964126
black,11,9.219542109566639
black,14,0.003417829678154372
black,15,0.0004268761205498164
black,18,155.27382753403936
black,19,1.0377522754254056
black,23,5.115599751398384
cookiecutter,1,0.005263157894736842
cookiecutter,2,27.952755905511808
cookiecutter,3,0.43595041322314043
cookiecutter,4,5
fastapi,1,0.0
fastapi,2,501.4858728557013
fastapi,3,12.873880487446778
fastapi,4,207.1916261886844
fastapi,5,448.6842105263158
fastapi,6,239.16654032747115
fastapi,7,513.9285714285714
fastapi,9,550.0
fastapi,10,220.20525259284042
fastapi,11,344.3397358943578
fastapi,12,496.4808777429467
fastapi,14,343.75
fastapi,16,0.0
httpie,2,334.3698761555904
httpie,3,225.1315789473684
httpie,4,312.361863488624
httpie,5,2.4999999999999996
keras,1,10.11996734059574
keras,3,510.9021058622651
keras,5,241.15777886497062
keras,6,157.52970297029702
keras,7,471.1401064773736
keras,10,0.006600660066006601
keras,14,15.0
keras,17,50.18750000000001
keras,18,76.90587967183227
keras,20,2.789160759204208
keras,26,8.10398230088496
keras,31,13.405919153031762
keras,33,0.0
keras,35,3.5836614173228343
keras,38,10.629526462395544
keras,40,0.0
keras,41,0.03076923076923077
keras,43,0.8369565217391304
pandas,2,122.03337667967057
pandas,12,519.4444444444445
pandas,23,180.8914849428868
pandas,43,550.0
pandas,54,0.03076923076923077
pandas,56,543.125
pandas,68,302.1810260257372
pandas,72,117.85781565373401
pandas,74,505.05639097744364
pandas,77,460.1071428571429
pandas,81,495.0
pandas,84,385.6648148148148
pandas,116,550.0
pandas,137,467.5
pandas,141,550.0
pandas,143,550.0
pandas,146,0.03565365025466893
pandas,168,202.81516936671576
sanic,1,20.37179614544009
sanic,3,176.74182561307902
sanic,4,275.0
spacy,1,0
spacy,2,72.30243902439024
spacy,3,0.015985790408525755
spacy,4,0.0
spacy,5,118.15521474710081
spacy,6,188.2317957644329
thefuck,2,0.9554896142433235
thefuck,3,0
thefuck,4,15.0
thefuck,6,0.0
thefuck,7,550.0
thefuck,8,45.2625
thefuck,13,520.1304347826087
thefuck,14,0.0
thefuck,15,0.0
thefuck,17,122.43197278911565
thefuck,19,210.0
thefuck,20,15.0
thefuck,25,10
thefuck,26,0.11538461538461539
thefuck,28,0.0
thefuck,29,5
tornado,1,260.7119565217391
tornado,5,0.02403924775143091
tornado,6,50.49194677871148
tornado,8,260.409200968523
tqdm,4,14.22532517214996
tqdm,5,14.51388888888889
tqdm,6,69.79504870129871
tqdm,7,18.009708737864077
tqdm,8,4.790865384615384
tqdm,9,0.001092896174863388
youtube-dl,1,0.0055312580396192435
youtube-dl,2,116.00218886804251
youtube-dl,6,0.0005900865460267506
youtube-dl,7,0.010649627263045792
youtube-dl,13,0.0057644110275689225
youtube-dl,15,0.2503898128898129
youtube-dl,17,0.001176778242677824
youtube-dl,18,22.4804794860757
youtube-dl,20,1.2651673640167365
youtube-dl,21,0.00018299935950224174
youtube-dl,24,229.25991574188245
youtube-dl,25,0.04124275595621378
youtube-dl,31,0.005657708628005658
youtube-dl,34,0.337705918242831
youtube-dl,41,0.1636661211129296
youtube-dl,43,0.0054894784995425435
