project_name,bug_number,cumulative_distance
black,1,11.962515683814303
black,3,0
black,4,402.8941605839416
black,6,0.6664921465968586
black,7,0.0
black,8,0
black,10,0.26905829596412556
black,11,0
black,14,0
black,15,10
black,18,0.026928895612708018
black,19,0
black,23,0
cookiecutter,1,0
cookiecutter,2,0
cookiecutter,3,0
cookiecutter,4,0
fastapi,1,0
fastapi,2,0
fastapi,3,0
fastapi,4,10
fastapi,5,140.0
fastapi,6,0.0
fastapi,7,0
fastapi,9,0
fastapi,10,0
fastapi,11,0
fastapi,12,10.055172413793104
fastapi,14,0
fastapi,16,0
httpie,2,0
httpie,3,0
httpie,4,0.0
httpie,5,0
keras,1,0.0019646365422396855
keras,3,0
keras,5,10
keras,6,45.01155115511551
keras,7,0
keras,10,0
keras,14,0
keras,17,100
keras,18,0
keras,20,0
keras,26,0
keras,31,0
keras,33,0
keras,35,0
keras,38,0
keras,40,0
keras,41,0
keras,43,0
pandas,2,0
pandas,12,5
pandas,23,60
pandas,43,30.0
pandas,54,0
pandas,56,0
pandas,68,0
pandas,72,0
pandas,74,0.0
pandas,77,0
pandas,81,0
pandas,84,0
pandas,116,0
pandas,137,100
pandas,141,0
pandas,143,0
pandas,146,0
pandas,168,0
sanic,1,0
sanic,3,0
sanic,4,0
spacy,1,0
spacy,2,0
spacy,3,0
spacy,4,0
spacy,5,0
spacy,6,30.0
thefuck,2,0
thefuck,3,0
thefuck,4,0
thefuck,6,0
thefuck,7,0
thefuck,8,0
thefuck,13,0
thefuck,14,0
thefuck,15,0
thefuck,17,0
thefuck,19,0
thefuck,20,0
thefuck,25,0
thefuck,26,0
thefuck,28,0
thefuck,29,0
tornado,1,0
tornado,5,0
tornado,6,0
tornado,8,211.11057304277642
tqdm,4,0
tqdm,5,0
tqdm,6,0
tqdm,7,0
tqdm,8,0
tqdm,9,0
youtube-dl,1,0
youtube-dl,2,0
youtube-dl,6,0
youtube-dl,7,0
youtube-dl,13,0.003383458646616541
youtube-dl,15,0.006496881496881497
youtube-dl,17,0
youtube-dl,18,0
youtube-dl,20,0
youtube-dl,21,0
youtube-dl,24,40.019112207151665
youtube-dl,25,0.009336767546683838
youtube-dl,31,0
youtube-dl,34,0
youtube-dl,41,0
youtube-dl,43,0
