project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,0,-10
black,3,0,-10
black,4,0,-10
black,6,0,-10
black,7,0,-10
black,8,0,-10
black,10,0,-10
black,11,0,-10
black,14,0.005126744517231559,1.0294485728834917
black,15,0,-10
black,18,0,-10
black,19,0,-10
black,23,0,-10
cookiecutter,1,1.6231203007518795,-1.7914160401002506
cookiecutter,2,0,-10
cookiecutter,3,0,-10
cookiecutter,4,0,-10
fastapi,1,0,-10
fastapi,2,0,-10
fastapi,3,0.1190904419321685,-0.257939362795478
fastapi,4,0,-10
fastapi,5,0,-10
fastapi,6,0,-10
fastapi,7,0.5217391304347827,-0.08695652173913038
fastapi,9,0,-10
fastapi,10,0,-10
fastapi,11,550.0,-12.0
fastapi,12,0,-10
fastapi,14,0,-10
fastapi,16,5.133000534854699,-0.6951328222499555
httpie,2,0,-10
httpie,3,0.5526315789473683,-0.9152046783625734
httpie,4,0,-10
httpie,5,0,-10
keras,1,0,-10
keras,3,10.180112881806119,-1.7684262948207174
keras,5,0,-10
keras,6,0,-10
keras,7,0,-10
keras,10,0.5256930693069305,-0.3250330033003297
keras,14,550.0,-12.0
keras,17,0,-10
keras,18,0.20524726526891518,-1.7953984351261014
keras,20,275.0,-7.0
keras,26,0.14374061998654458,-1.6322430954475668
keras,31,0.4896535129932625,-2.0089027911453323
keras,33,0.26187845303867396,-0.41745856353591204
keras,35,0.615923009623797,-1.5667541557305338
keras,38,0.036072423398328696,-1.0017177344475394
keras,40,0,-10
keras,41,0,-10
keras,43,0,-10
pandas,2,0.07427828348504552,-0.8035370611183357
pandas,12,0.19857114017182198,-1.361408549504375
pandas,23,550.0,-12.0
pandas,43,0,-10
pandas,54,0,-10
pandas,56,0,-10
pandas,68,550.0,-12.0
pandas,72,0.44034536891679754,-1.321731769630929
pandas,74,0,-10
pandas,77,0.9461669283097853,-1.5043825222396652
pandas,81,275.0,-7.0
pandas,84,550.0,-12.0
pandas,116,16.763055148853102,-2.304782820888238
pandas,137,0.14194961664841185,-1.2031544359255202
pandas,141,550.0,-12.0
pandas,143,550.0,-12.0
pandas,146,2.137820832917207,-1.803575352042345
pandas,168,6.256071193557469,-2.0286403659950487
sanic,1,0,-10
sanic,3,0,-10
sanic,4,0,-10
spacy,1,0,-10
spacy,2,0,-10
spacy,3,0,-10
spacy,4,2.9515366430260053,-1.7203309692671396
spacy,5,16.604861096395496,-2.3666377063423107
spacy,6,0,-10
thefuck,2,0,-10
thefuck,3,0,-10
thefuck,4,0.08495575221238938,0.9858407079646021
thefuck,6,2.697916666666667,-1.2951388888888888
thefuck,7,0,-10
thefuck,8,0,-10
thefuck,13,0,-10
thefuck,14,0,-10
thefuck,15,0,-10
thefuck,17,0,-10
thefuck,19,0,-10
thefuck,20,0,-10
thefuck,25,0,-10
thefuck,26,0,-10
thefuck,28,0,-10
thefuck,29,0,-10
tornado,1,0,-10
tornado,5,0,-10
tornado,6,0,-10
tornado,8,0,-10
tqdm,4,2.274904361132364,-1.991361897475134
tqdm,5,1.1771844660194177,-2.0784789644012944
tqdm,6,0.00974025974025974,-0.0016233766233768598
tqdm,7,18.555825242718445,-2.337378640776699
tqdm,8,0,-10
tqdm,9,0.0024590163934426227,2.999180327868852
youtube-dl,1,0,-10
youtube-dl,2,0,-10
youtube-dl,6,0,-10
youtube-dl,7,0,-10
youtube-dl,13,0,-10
youtube-dl,15,0,-10
youtube-dl,17,0.0009152719665271967,1.3330282426778246
youtube-dl,18,0,-10
youtube-dl,20,0,-10
youtube-dl,21,0,-10
youtube-dl,24,0,-10
youtube-dl,25,0,-10
youtube-dl,31,0,-10
youtube-dl,34,0,-10
youtube-dl,41,0,-10
youtube-dl,43,0,-10
