 project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Average,0,0,0,0.0,-1,6.0,6.459183343919218e-05,5.211888331242157,3
black,3,Statement,Average,0,0,0,0.0,-1,46853.5,0.5130469537032981,25.650810681926558,-2.033977110157368
black,4,Statement,Average,0,0,0,0.0,-1,231.0,0.002552260573650948,8.37654165617921,-2.150138434432419
black,6,Statement,Average,0,1,1,0.11206574523720583,-1,27.5,0.00030428432327166507,5.35562827225131,-2.326701570680628
black,7,Statement,Average,0,1,1,0.11876484560570072,-1,192.0,0.0021255632188997998,27.917884666489506,-2.5053149083178314
black,8,Statement,Average,0,1,1,0.7784431137724551,-1,37.5,0.0004151766438227251,20.91427050053248,-2.3128328008519703
black,10,Statement,Average,0,1,1,1.0344827586206897,-1,1.0,1.1079964100916312e-05,0.0,8
black,11,Statement,Average,0,1,1,0.12526096033402923,-1,708.0,0.007846005518800492,20.35595530117198,-2.3683565004088307
black,14,Statement,Average,1,1,1,5.742574257425743,-1,1.0,1.1112716281240624e-05,0.0,8
black,15,Statement,Average,0,1,1,5.055368319691863,-1,1.0,1.1103955228852518e-05,0.0,8
black,18,Statement,Average,0,0,1,0.15467904098994587,-1,1.5,0.0002920560747663551,0.000453857791225416,2.999848714069592
black,19,Statement,Average,0,0,1,0.20352781546811397,-1,19.5,0.004354622599374721,11.624455876533439,-2.20795409576573
black,23,Statement,Average,0,1,1,0.06711409395973154,-1,127.0,0.03469945355191257,1.0963331261653202,-2.023927905531386
cookiecutter,1,Statement,Average,1,0,0,0.0,-1,3.0,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,Statement,Average,0,1,1,5.555555555555555,-1,1.0,0.00066711140760507,0.0,8
cookiecutter,3,Statement,Average,0,0,0,0.0,-1,5.5,0.0037645448323066393,0.46859504132231405,-1.0223140495867769
cookiecutter,4,Statement,Average,0,1,0,0.0,-1,29.25,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,Statement,Average,0,1,1,16.129032258064516,-1,3.0,0.0006723442402510085,0.04528301886792453,-0.007547169811320531
fastapi,2,Statement,Average,0,0,0,0.0,-1,2551.0,0.5727436012572968,176.6125126135217,-2.294651866801211
fastapi,3,Statement,Average,1,1,1,5.172413793103448,-1,6.5,0.0014685946678716674,0.10174717368961975,-2.000513874614594
fastapi,4,Statement,Average,0,0,0,0.0,-1,98.0,0.022207115341037843,550.0,-12
fastapi,5,Statement,Average,0,0,0,0.0,-1,2381.0,0.5400317532320255,275.0,-7.0
fastapi,6,Statement,Average,0,1,1,1.8518518518518516,-1,81.5,0.018514311676510676,550.0,-12.0
fastapi,7,Statement,Average,1,0,0,0.0,-1,5.0,0.0011641443538998836,60.130434782608695,-5.0144927536231885
fastapi,9,Statement,Average,0,1,0,0.0,-1,831.8333333333334,0.21919191919191922,550.0,-12.0
fastapi,10,Statement,Average,0,0,0,0.0,-1,3.5,0.0009251916468411313,0.029274004683840754,-0.3362607338017174
fastapi,11,Statement,Average,1,0,0,0.0,-1,1510.6666666666667,0.40166622352211295,429.9827688651218,-12.0
fastapi,12,Statement,Average,0,0,0,0.0,-1,1.0,0.00028050490883590464,0.0,8.0
fastapi,14,Statement,Average,0,0,0,0.0,-1,870.75,0.3292060491493384,550.0,-12.0
fastapi,16,Statement,Average,1,1,1,66.66666666666666,-1,1.0,0.00039416633819471815,0.0,8
httpie,2,Statement,Average,0,1,1,1.6194331983805668,-1,183.0,0.06673960612691467,545.0,-7
