project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
black,1,-1,6.0,6.459183343919218e-05
black,3,-1,46853.5,0.5130469537032981
black,4,-1,231.0,0.002552260573650948
black,6,-1,27.5,0.00030428432327166507
black,7,-1,192.0,0.0021255632188997998
black,8,-1,37.5,0.0004151766438227251
black,10,-1,1.0,1.1079964100916312e-05
black,11,-1,708.0,0.007846005518800492
black,14,-1,1.0,1.1112716281240624e-05
black,15,-1,1.0,1.1103955228852518e-05
black,18,-1,1.5,0.0002920560747663551
black,19,-1,19.5,0.004354622599374721
black,23,-1,127.0,0.03469945355191257
cookiecutter,1,-1,3.0,0.0019646365422396855
cookiecutter,2,-1,1.0,0.00066711140760507
cookiecutter,3,-1,5.5,0.0037645448323066393
cookiecutter,4,-1,29.25,0.03242793791574279
fastapi,1,-1,3.0,0.0006723442402510085
fastapi,2,-1,2551.0,0.5727436012572968
fastapi,3,-1,6.5,0.0014685946678716674
fastapi,4,-1,98.0,0.022207115341037843
fastapi,5,-1,2381.0,0.5400317532320255
fastapi,6,-1,81.5,0.018514311676510676
fastapi,7,-1,5.0,0.0011641443538998836
fastapi,9,-1,831.8333333333334,0.21919191919191922
fastapi,10,-1,3.5,0.0009251916468411313
fastapi,11,-1,1510.6666666666667,0.40166622352211295
fastapi,12,-1,1.0,0.00028050490883590464
fastapi,14,-1,870.75,0.3292060491493384
fastapi,16,-1,1.0,0.00039416633819471815
httpie,2,-1,183.0,0.06673960612691467
httpie,3,-1,77.0,0.02838186509399189
httpie,4,-1,115.5,0.044994156603038564
httpie,5,-1,4.0,0.006633499170812604
keras,1,-1,1.0,2.6091948024839534e-05
keras,3,-1,112.0,0.0029247401681725595
keras,5,-1,87.0,0.0023252084669660037
keras,6,-1,98.0,0.002643575840953845
keras,7,-1,3.5,9.459970809232931e-05
keras,10,-1,1.5,4.044107735030061e-05
keras,14,-1,1.0,2.7899450380827496e-05
keras,17,-1,4.0,0.00011294330246216399
keras,18,-1,17.5,0.000494601774913798
keras,20,-1,21.363636363636363,0.0006033562009612619
keras,26,-1,2.0,5.1225571805445276e-05
keras,31,-1,2.666666666666667,6.914553406281872e-05
keras,33,-1,1.0,2.6079019428869475e-05
keras,35,-1,4.0,0.00010645092612305727
keras,38,-1,12.0,0.00032837127845884414
keras,40,-1,13.0,0.0003674392312040701
keras,41,-1,1.5,4.3306290960533534e-05
keras,43,-1,8.333333333333334,0.0002418192546163296
pandas,2,-1,66.0,0.0005138386079644984
pandas,12,-1,95.0,0.0007437854766099041
pandas,23,-1,8.5,6.677088161129921e-05
pandas,43,-1,924.0,0.007316319986064152
pandas,54,-1,5839.333333333333,0.04642534392333643
pandas,56,-1,187.33333333333334,0.0014895032427174688
pandas,68,-1,42975.0,0.34253399435685705
pandas,72,-1,2.3333333333333335,1.8612912575149637e-05
pandas,74,-1,95.0,0.0007581622147913458
pandas,77,-1,2.0,1.596194671902185e-05
pandas,81,-1,88.0,0.0007042253521126761
pandas,84,-1,3.0,2.4024985985424843e-05
pandas,116,-1,183.0,0.0014663226550856556
pandas,137,-1,247.0,0.0019724968456022104
pandas,141,-1,93.0,0.0007449833780590379
pandas,143,-1,50.5,0.0004047317550130636
pandas,146,-1,1.0,8.023170917610058e-06
pandas,168,-1,4.0,3.1819266565905655e-05
sanic,1,-1,4.0,0.000301091456529921
sanic,3,-1,24.0,0.0017640573318632856
sanic,4,-1,11.5,0.0008391710449503795
spacy,1,-1,1.0,9.429958979678439e-06
spacy,2,-1,4.666666666666667,4.4068810299510526e-05
spacy,3,-1,3.0,2.8053113895642416e-05
spacy,4,-1,4.0,3.98358761900968e-05
spacy,5,-1,1.0,1.002194806626512e-05
spacy,6,-1,9.5,9.542559816782852e-05
thefuck,2,-1,6.5,0.0014966612940363804
thefuck,3,-1,1.6666666666666665,0.0003878675044604763
thefuck,4,-1,8.0,0.0019351717464925011
thefuck,6,-1,2.0,0.0004889975550122249
thefuck,7,-1,3.5,0.000885851683118198
thefuck,8,-1,2.666666666666667,0.0007000962632361951
thefuck,13,-1,7.0,0.0026565464895635673
thefuck,14,-1,1.0,0.00039261876717707107
thefuck,15,-1,2.0,0.0007914523149980214
thefuck,17,-1,2.5,0.0010208248264597796
thefuck,19,-1,4.5,0.002005347593582888
thefuck,20,-1,3.0,0.001344688480502017
thefuck,25,-1,1.0,0.00055005500550055
thefuck,26,-1,2.5,0.0013706140350877192
