project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,5.211888331242157,3
black,3,25.650810681926558,-2.033977110157368
black,4,8.37654165617921,-2.150138434432419
black,6,5.35562827225131,-2.326701570680628
black,7,27.917884666489506,-2.5053149083178314
black,8,20.91427050053248,-2.3128328008519703
black,10,0.0,8
black,11,20.35595530117198,-2.3683565004088307
black,14,0.0,8
black,15,0.0,8
black,18,0.000453857791225416,2.999848714069592
black,19,11.624455876533439,-2.20795409576573
black,23,1.0963331261653202,-2.023927905531386
cookiecutter,1,0.02280701754385965,0.32982456140350846
cookiecutter,2,0.0,8
cookiecutter,3,0.46859504132231405,-1.0223140495867769
cookiecutter,4,135.91343186446372,-7.0
fastapi,1,0.04528301886792453,-0.007547169811320531
fastapi,2,176.6125126135217,-2.294651866801211
fastapi,3,0.10174717368961975,-2.000513874614594
fastapi,4,550.0,-12
fastapi,5,275.0,-7.0
fastapi,6,550.0,-12.0
fastapi,7,60.130434782608695,-5.0144927536231885
fastapi,9,550.0,-12.0
fastapi,10,0.029274004683840754,-0.3362607338017174
fastapi,11,429.9827688651218,-12.0
fastapi,12,0.0,8.0
fastapi,14,550.0,-12.0
fastapi,16,0.0,8
httpie,2,545.0,-7
httpie,3,275.0,-7
httpie,4,550.0,-12.0
httpie,5,0.49833887043189373,5
keras,1,0.0,8
keras,3,550.0,-12.0
keras,5,275.0,-7.0
keras,6,550.0,-12
keras,7,1.8536231884057968,0.9985507246376812
keras,10,0.0024752475247524753,2.9991749174917492
keras,14,0.0,8
keras,17,10.0875,5
keras,18,343.31563354603463,-2.0006836827711942
keras,20,75.62025101763908,-7
keras,26,0.00535631113181183,7
keras,31,0.00453732985013062,0.8563866355011691
keras,33,0.0,8.0
keras,35,0.6393700787401575,5
keras,38,23.10120705663881,-3.0167130919220058
keras,40,9.142651296829971,-2.1594620557156583
keras,41,0.002097902097902098,2.999300699300699
keras,43,2.351449275362319,-2.1630434782608696
pandas,2,416.1048981361075,-2.5088859991330734
pandas,12,550.0,-12
pandas,23,50.33021806853583,-3.0010384215991692
pandas,43,550.0,-12.0
pandas,54,382.43463193950026,-2.0017094017094017
pandas,56,487.5,-12.0
pandas,68,550.0,-12
pandas,72,0.000837257980115123,3.6665620094191524
pandas,74,550.0,-12
pandas,77,0.007653061224489796,1.33078231292517
pandas,81,505.0,-7.0
pandas,84,10.144444444444444,6.0
pandas,116,550.0,-12
pandas,137,519.3541960047984,-2.782767433369843
pandas,141,550.0,-12.0
pandas,143,550.0,-12
pandas,146,0.0,8
pandas,168,50.004418262150224,5
sanic,1,1.9829127756805085,-0.7697198489966224
sanic,3,147.50885558583107,-4.009536784741144
sanic,4,275.0,-7.0
spacy,1,0.0,8.0
spacy,2,30.008231707317073,-0.0009146341463415197
spacy,3,0.007104795737122558,6
spacy,4,0.2978723404255319,5
spacy,5,0.0,8
spacy,6,180.0082680591819,-5.000435161009573
thefuck,2,15.982195845697332,-2.001483679525222
thefuck,3,0.01171875,2.99609375
thefuck,4,33.7787610619469,1.0
thefuck,6,10.0,7
thefuck,7,65.0,-4.0
thefuck,8,0.1928571428571429,0.8249999999999997
thefuck,13,110.6086956521739,2.0
thefuck,14,0.0,8
thefuck,15,20.0,-5.333333333333334
thefuck,17,20.0,-3.0
thefuck,19,82.5,-9.0
thefuck,20,30.0,6
thefuck,25,0.0,8
thefuck,26,0.15384615384615385,1.9615384615384617
thefuck,28,0.0037313432835820895,5.496268656716418
thefuck,29,0.011494252873563218,4.655172413793103
tornado,1,0.0,8
tornado,5,0.001839738348323794,2.9993867538838916
tornado,6,40.55637254901961,-2.0857843137254903
tornado,8,136.8091202582728,-2.0076674737691684
tqdm,4,0.0,8
tqdm,5,4.742313915857605,-2.0792880258899675
tqdm,6,0.0,8
tqdm,7,23.15776699029126,-2.3058252427184467
tqdm,8,0.0018028846153846155,2.9993990384615383
tqdm,9,0.13442622950819674,3.0
youtube-dl,1,0.07402881399536917,-2.002315410342166
youtube-dl,2,550.0,-12.0
youtube-dl,6,0.0005900865460267506,2.999803304484658
youtube-dl,7,0.08346645367412142,-2.0059904153354635
youtube-dl,13,0.037719298245614034,-1
youtube-dl,15,0.1810031185031185,-2.005717255717256
youtube-dl,17,0.0011767782426778243,0.4996077405857742
youtube-dl,18,0.08666953651886927,-2.0063136748457455
youtube-dl,20,0.08368200836820082,-2.0047071129707112
youtube-dl,21,0.001784243755146857,2.6664836673071646
youtube-dl,24,167.71177558569667,-2.0110974106041923
youtube-dl,25,0.01121485297274093,-0.6670959433354793
youtube-dl,31,0.007722772277227723,-0.0003960396039603964
youtube-dl,34,0.423352654057352,-2.00183038438072
youtube-dl,41,0.7428396072013094,-2.0204582651391165
youtube-dl,43,0.009149130832570906,5
