project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Average,0,0,0,0.0,-1,14.0,1,0.00015071427802478173,28.526348808030114,-2.80034504391468
black,3,Statement,Average,0,0,0,0.0,-1,46853.5,0,0.5130469537032981,25.65224129709108,-2.0343347639484977
black,4,Statement,Average,0,0,0,0.0,-1,419.0,1,0.004629425023202369,8.400453058142462,-2.1508935313365214
black,6,Statement,Average,0,1,1,0.11206574523720583,-1,70.5,1,0.0007800743560237232,22.29149214659686,-2.326701570680628
black,7,Statement,Average,0,1,1,0.11876484560570072,-1,36.0,1,0.0003985431035437124,27.9431304809992,-2.506112144565506
black,8,Statement,Average,0,1,1,0.7784431137724551,-1,4.0,1,4.4285508674424014e-05,1.3509052183173589,5
black,10,Statement,Average,0,1,1,1.0344827586206897,-1,1.0,1,1.1079964100916312e-05,0.0,8
black,11,Statement,Average,0,1,1,0.12526096033402923,-1,404.5,1,0.004482640158693219,20.362399252423785,-2.37022544095316
black,14,Statement,Average,1,1,1,5.742574257425743,-1,1.0,1,1.1112716281240624e-05,0.0,8.0
black,15,Statement,Average,0,1,1,5.055368319691863,-1,1.0,1,1.1103955228852518e-05,0.0,8.0
black,18,Statement,Average,0,0,1,0.15467904098994587,-1,3.5,1,0.0006814641744548286,0.013464447806354009,0.999848714069592
black,19,Statement,Average,0,0,1,0.20352781546811397,-1,16.5,1,0.0036846806610093793,11.662049861495845,-2.209141274238227
black,23,Statement,Average,0,1,1,0.06711409395973154,-1,329.0,1,0.08989071038251366,1.0845245494095712,-2.020785857330295
cookiecutter,1,Statement,Average,1,0,0,0.0,-1,3.0,1,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,Statement,Average,0,1,1,5.555555555555555,-1,1.0,1,0.00066711140760507,0.0,8
