project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Function,AvgAlfa,0,0,0,0.0,-1,5.0,1,0.012376237623762377,,
black,3,Function,AvgAlfa,0,0,0,0.0,-1,100.5,1,0.30180180180180183,,
black,4,Function,AvgAlfa,0,0,0,0.0,-1,69.0,1,0.22402597402597402,,
black,6,Function,AvgAlfa,0,1,1,0.11206574523720583,-1,35.0,1,0.11589403973509933,,
black,7,Function,AvgAlfa,0,1,1,0.11876484560570072,-1,3.0,1,0.01,,
black,8,Function,AvgAlfa,0,1,1,0.7784431137724551,-1,3.0,1,0.01,,
black,10,Function,AvgAlfa,0,1,1,1.0344827586206897,-1,1.0,1,0.003389830508474576,,
black,11,Function,AvgAlfa,0,1,1,0.12526096033402923,-1,17.0,1,0.05782312925170068,,
black,14,Function,AvgAlfa,1,1,1,5.742574257425743,-1,1.0,1,0.0035211267605633804,,
black,15,Function,AvgAlfa,0,1,1,5.055368319691863,-1,1.0,1,0.003424657534246575,,
black,18,Function,AvgAlfa,0,0,1,0.15467904098994587,-1,1.0,1,0.0035842293906810036,,
black,19,Function,AvgAlfa,0,0,1,0.20352781546811397,-1,1.0,1,0.003937007874015748,,
black,23,Function,AvgAlfa,0,1,1,0.06711409395973154,-1,2.0,1,0.009433962264150943,,
cookiecutter,1,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.01639344262295082,,
cookiecutter,2,Function,AvgAlfa,0,1,1,5.555555555555555,-1,1.0,1,0.01639344262295082,,
cookiecutter,3,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.017543859649122806,,
cookiecutter,4,Function,AvgAlfa,0,1,0,0.0,-1,3.75,1,0.10135135135135136,,
fastapi,1,Function,AvgAlfa,0,1,1,16.129032258064516,-1,1.0,1,0.006493506493506494,,
fastapi,2,Function,AvgAlfa,0,0,0,0.0,-1,100.0,0,0.6493506493506493,,
fastapi,3,Function,AvgAlfa,1,1,1,5.172413793103448,-1,1.0,1,0.006535947712418301,,
fastapi,4,Function,AvgAlfa,0,0,0,0.0,-1,6.5,1,0.0436241610738255,,
fastapi,5,Function,AvgAlfa,0,0,0,0.0,-1,84.5,0,0.5787671232876712,,
fastapi,6,Function,AvgAlfa,0,1,1,1.8518518518518516,-1,1.0,1,0.00684931506849315,,
fastapi,7,Function,AvgAlfa,1,0,0,0.0,-1,2.0,1,0.013986013986013986,,
fastapi,9,Function,AvgAlfa,0,1,0,0.0,-1,73.5,0,0.5697674418604651,,
fastapi,10,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.007751937984496124,,
fastapi,11,Function,AvgAlfa,1,0,0,0.0,-1,77.0,0,0.5968992248062015,,
fastapi,12,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.007936507936507936,,
fastapi,14,Function,AvgAlfa,0,0,0,0.0,-1,96,0,1.0,,
fastapi,16,Function,AvgAlfa,1,1,1,66.66666666666666,-1,1.0,1,0.010869565217391304,,
httpie,2,Function,AvgAlfa,0,1,1,1.6194331983805668,-1,13.5,1,0.07803468208092486,,
httpie,3,Function,AvgAlfa,1,0,1,0.47393364928909953,-1,10.0,1,0.057803468208092484,,
httpie,4,Function,AvgAlfa,0,1,1,0.2785515320334262,-1,1.0,1,0.006060606060606061,,
httpie,5,Function,AvgAlfa,0,1,1,27.173913043478258,-1,1.0,1,0.06666666666666667,,
keras,1,Function,AvgAlfa,0,0,1,2.941176470588235,-1,2.0,1,0.0010449320794148381,,
keras,3,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.0005257623554153522,,
keras,5,Function,AvgAlfa,0,0,0,0.0,-1,4.5,1,0.0024271844660194173,,
keras,6,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.000546448087431694,,
keras,7,Function,AvgAlfa,0,0,0,0.0,-1,10.0,1,0.005509641873278237,,
keras,10,Function,AvgAlfa,1,1,1,25.0,-1,1.0,1,0.0005461496450027307,,
keras,14,Function,AvgAlfa,1,0,1,45.45454545454545,-1,1.5,1,0.0008746355685131195,,
keras,17,Function,AvgAlfa,0,0,1,9.615384615384617,-1,3.5,1,0.002063679245283019,,
keras,18,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.0005896226415094339,,
keras,20,Function,AvgAlfa,1,1,0,0.0,-1,3.0,1,0.0017678255745433118,,
keras,26,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.0005780346820809249,,
keras,31,Function,AvgAlfa,1,0,0,0.0,-1,3.0,1,0.0017241379310344827,,
keras,33,Function,AvgAlfa,1,1,1,95.45454545454545,-1,1.0,1,0.0005747126436781609,,
keras,35,Function,AvgAlfa,1,1,1,0.2145922746781116,-1,1.0,1,0.0005865102639296188,,
keras,38,Function,AvgAlfa,1,0,1,0.11771630370806356,-1,1.0,1,0.0005938242280285036,,
keras,40,Function,AvgAlfa,0,0,1,1.342281879194631,-1,2.0,1,0.0012121212121212121,,
keras,41,Function,AvgAlfa,0,1,1,8.333333333333332,-1,1.0,1,0.0006067961165048543,,
keras,43,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.0006082725060827251,,
luigi,3,Function,AvgAlfa,1,0,1,2.4390243902439024,-1,1.0,1,0.0005208333333333333,,
luigi,5,Function,AvgAlfa,0,0,1,3.6363636363636362,-1,1.0,1,0.0005790387955993051,,
luigi,6,Function,AvgAlfa,1,1,0,0.0,-1,3.0,1,0.0017626321974148062,,
