project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Module,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.041666666666666664,,
black,3,Module,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.041666666666666664,,
black,4,Module,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.043478260869565216,,
black,6,Module,AvgAlfa,0,1,1,0.11206574523720583,-1,1.0,1,0.043478260869565216,,
black,7,Module,AvgAlfa,0,1,1,0.11876484560570072,-1,1.0,1,0.043478260869565216,,
black,8,Module,AvgAlfa,0,1,1,0.7784431137724551,-1,1.0,1,0.043478260869565216,,
black,10,Module,AvgAlfa,0,1,1,1.0344827586206897,-1,1.0,1,0.043478260869565216,,
black,11,Module,AvgAlfa,0,1,1,0.12526096033402923,-1,1.0,1,0.043478260869565216,,
black,14,Module,AvgAlfa,1,1,1,5.742574257425743,-1,1.0,1,0.045454545454545456,,
black,15,Module,AvgAlfa,0,1,1,5.055368319691863,-1,1.0,1,0.045454545454545456,,
black,18,Module,AvgAlfa,0,0,1,0.15467904098994587,-1,1.0,1,0.06666666666666667,,
black,19,Module,AvgAlfa,0,0,1,0.20352781546811397,-1,1.0,1,0.06666666666666667,,
black,23,Module,AvgAlfa,0,1,1,0.06711409395973154,-1,1.0,1,0.07142857142857142,,
cookiecutter,1,Module,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.05555555555555555,,
cookiecutter,2,Module,AvgAlfa,0,1,1,5.555555555555555,-1,1.0,1,0.05555555555555555,,
cookiecutter,3,Module,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.05555555555555555,,
cookiecutter,4,Module,AvgAlfa,0,1,0,0.0,-1,2.3333333333333335,1,0.19444444444444445,,
fastapi,1,Module,AvgAlfa,0,1,1,16.129032258064516,-1,1.0,1,0.025,,
fastapi,2,Module,AvgAlfa,0,0,0,0.0,-1,2.0,1,0.05,,
fastapi,3,Module,AvgAlfa,1,1,1,5.172413793103448,-1,1.0,1,0.025,,
