project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Average,0,0,0,0.0,-1,8.5,1,9.150509737218891e-05,5.288190087829359,-2.3474592220828105
black,3,Statement,Average,0,0,0,0.0,-1,46853.5,0,0.5130469537032981,25.65426800190748,-2.0340963280877444
black,4,Statement,Average,0,0,0,0.0,-1,239.0,1,0.0026406505502276044,8.38022724821114,-2.1523677681492934
black,6,Statement,Average,0,1,1,0.11206574523720583,-1,29.5,1,0.00032641409223687707,5.3552356020942415,-2.326701570680628
black,7,Statement,Average,0,1,1,0.11876484560570072,-1,194.0,1,0.002147704502430006,27.92177593865077,-2.507668653430014
black,8,Statement,Average,0,1,1,0.7784431137724551,-1,36.0,1,0.0003985695780698161,20.970865662558953,-2.3129659211927582
black,10,Statement,Average,0,1,1,1.0344827586206897,-1,1.0,1,1.1079964100916312e-05,0.0,8
black,11,Statement,Average,0,1,1,0.12526096033402923,-1,711.3333333333334,1,0.00788294528113006,20.362399252423785,-2.37022544095316
black,14,Statement,Average,1,1,1,5.742574257425743,-1,1.0,1,1.1112716281240624e-05,0.0,8.0
black,15,Statement,Average,0,1,1,5.055368319691863,-1,1.0,1,1.1103955228852518e-05,0.0,8.0
black,18,Statement,Average,0,0,1,0.15467904098994587,-1,1.5,1,0.0002920560747663551,0.000453857791225416,2.999848714069592
black,19,Statement,Average,0,0,1,0.20352781546811397,-1,18.0,1,0.00401965163019205,11.630250438125387,-2.2114590988750074
black,23,Statement,Average,0,1,1,0.06711409395973154,-1,147.0,1,0.04016393442622951,1.0816389949391814,-2.0196661635443487
cookiecutter,1,Statement,Average,1,0,0,0.0,-1,3.0,1,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,Statement,Average,0,1,1,5.555555555555555,-1,1.0,1,0.00066711140760507,0.0,8
cookiecutter,3,Statement,Average,0,0,0,0.0,-1,6.5,1,0.004449007529089665,0.5857438016528926,-1.1945592286501379
cookiecutter,4,Statement,Average,0,1,0,0.0,-1,29.25,1,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,Statement,Average,0,1,1,16.129032258064516,-1,4.666666666666666,1,0.0010458688181682353,0.2612481857764876,-0.47895500725689377
fastapi,2,Statement,Average,0,0,0,0.0,-1,2551.0,0,0.5727436012572968,162.00807265388497,-3.3779571700863325
fastapi,3,Statement,Average,1,1,1,5.172413793103448,-1,4.5,1,0.001016719385449616,0.052672147995889,-0.7552672147995889
fastapi,4,Statement,Average,0,0,0,0.0,-1,121.0,1,0.027418989349648766,288.6995503729103,-7.207588958119305
fastapi,5,Statement,Average,0,0,0,0.0,-1,2380.0,0,0.5398049444318439,447.17391304347825,-10.130434782608695
fastapi,6,Statement,Average,0,1,1,1.8518518518518516,-1,69.0,1,0.01567469332121763,287.5088889306945,-7.15444164346452
fastapi,7,Statement,Average,1,0,0,0.0,-1,1.5,1,0.0003492433061699651,0.06521739130434782,2.9782608695652177
fastapi,9,Statement,Average,0,1,0,0.0,-1,831.8333333333334,0,0.21919191919191922,499.4959929470087,-11.081745326309248
fastapi,10,Statement,Average,0,0,0,0.0,-1,6.0,1,0.0015860428231562252,0.0827123695976155,-1.0948477751756442
fastapi,11,Statement,Average,1,0,0,0.0,-1,1510.6666666666667,0,0.40166622352211295,550.0,-12.0
fastapi,12,Statement,Average,0,0,0,0.0,-1,1.0,1,0.00028050490883590464,0.0,8.0
fastapi,14,Statement,Average,0,0,0,0.0,-1,870.75,0,0.3292060491493384,379.61956521739137,-8.902173913043478
fastapi,16,Statement,Average,1,1,1,66.66666666666666,-1,1.0,1,0.00039416633819471815,0.0,8
httpie,2,Statement,Average,0,1,1,1.6194331983805668,-1,72.33333333333333,1,0.02637977145635789,370.6947398677782,-7
httpie,3,Statement,Average,1,0,1,0.47393364928909953,-1,51.333333333333336,1,0.018921243395994596,275.0,-7.0
