project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Function,PS,0,0,93.75341796875,135.66666666666666,0.3358085808580858,Not applicable,Not applicable
black,3,Function,PS,0,0,9.7900550365448,167.0,0.5015015015015015,Not applicable,Not applicable
black,4,Function,PS,0,0,4539.681412220001,157.5,0.5113636363636364,Not applicable,Not applicable
black,6,Function,PS,0,1,169262.10593223572,44.142857142857146,0.14616840113528856,Not applicable,Not applicable
black,7,Function,PS,0,1,14672.780691862106,1.0,0.0033333333333333335,Not applicable,Not applicable
black,8,Function,PS,0,1,18637.41338825226,150.5,0.5016666666666667,Not applicable,Not applicable
black,10,Function,PS,0,1,38684.765807151794,1.0,0.003389830508474576,Not applicable,Not applicable
black,11,Function,PS,0,1,118834.71238160133,147.5,0.5017006802721088,Not applicable,Not applicable
black,14,Function,PS,1,1,37932.707665205,142.5,0.5017605633802817,Not applicable,Not applicable
black,15,Function,PS,0,1,113452.8176958561,14.904761904761905,0.0510437051532942,Not applicable,Not applicable
black,18,Function,PS,0,0,29421.612568616867,1.0,0.0035842293906810036,Not applicable,Not applicable
black,19,Function,PS,0,0,6064.00123167038,127.5,0.5019685039370079,Not applicable,Not applicable
black,23,Function,PS,0,1,35329.5361802578,53.25,0.2511792452830189,Not applicable,Not applicable
cookiecutter,1,Function,PS,1,0,2.074887990951538,31.0,0.5081967213114754,Not applicable,Not applicable
cookiecutter,2,Function,PS,0,1,26.76218032836914,20.666666666666668,0.3387978142076503,Not applicable,Not applicable
cookiecutter,3,Function,PS,0,0,18.29013729095459,29.0,0.5087719298245614,Not applicable,Not applicable
cookiecutter,4,Function,PS,0,1,6.338956594467163,7.6,0.2054054054054054,Not applicable,Not applicable
fastapi,1,Function,PS,0,1,205.24002027511597,4.696969696969697,0.030499803227075958,Not applicable,Not applicable
fastapi,2,Function,PS,0,0,55.62518310546875,77.5,0.5032467532467533,Not applicable,Not applicable
fastapi,3,Function,PS,1,1,242.84236693382263,77.0,0.5032679738562091,Not applicable,Not applicable
fastapi,4,Function,PS,0,0,2511.5323479175568,75.5,0.5067114093959731,Not applicable,Not applicable
fastapi,5,Function,PS,0,0,205.59823203086853,74.0,0.5068493150684932,Not applicable,Not applicable
fastapi,6,Function,PS,0,1,457.0858738422394,1.0,0.00684931506849315,Not applicable,Not applicable
fastapi,7,Function,PS,1,0,60.436787843704224,72.0,0.5034965034965035,Not applicable,Not applicable
fastapi,9,Function,PS,0,1,4017.0252335071564,65.0,0.5038759689922481,Not applicable,Not applicable
fastapi,10,Function,PS,0,0,113.7317590713501,65.0,0.5038759689922481,Not applicable,Not applicable
fastapi,11,Function,PS,1,0,143.00503993034363,65.0,0.5038759689922481,Not applicable,Not applicable
fastapi,12,Function,PS,0,0,35.077723026275635,1.0,0.007936507936507936,Not applicable,Not applicable
fastapi,14,Function,PS,0,0,1623.813777923584,96,1.0,Not applicable,Not applicable
fastapi,16,Function,PS,1,1,13.46517539024353,46.5,0.5054347826086957,Not applicable,Not applicable
httpie,2,Function,PS,0,1,192.34046244621277,87.0,0.5028901734104047,Not applicable,Not applicable
httpie,3,Function,PS,1,0,26.51479935646057,87.0,0.5028901734104047,Not applicable,Not applicable
httpie,4,Function,PS,0,1,220.40973734855652,1.0,0.006060606060606061,Not applicable,Not applicable
httpie,5,Function,PS,0,1,26.653422117233276,5.333333333333333,0.3555555555555555,Not applicable,Not applicable
keras,1,Function,PS,0,0,627.9061393737793,2.5,0.0013061650992685476,Not applicable,Not applicable
keras,3,Function,PS,1,0,1869.1951713562012,951.5,0.5002628811777077,Not applicable,Not applicable
keras,5,Function,PS,0,0,55.69915580749512,927.5,0.500269687162891,Not applicable,Not applicable
keras,6,Function,PS,0,0,4203.084482192993,1.0,0.000546448087431694,Not applicable,Not applicable
keras,7,Function,PS,0,0,12379.123174905777,908.0,0.5002754820936639,Not applicable,Not applicable
keras,10,Function,PS,1,1,86.7047348022461,916.0,0.5002730748225014,Not applicable,Not applicable
keras,14,Function,PS,1,0,58.315861225128174,858.0,0.5002915451895044,Not applicable,Not applicable
keras,17,Function,PS,0,0,145.79922080039978,849.5,0.5008844339622641,Not applicable,Not applicable
keras,18,Function,PS,1,0,72.30160403251648,339.4,0.20011792452830188,Not applicable,Not applicable
keras,20,Function,PS,1,1,17664.967761039734,169.8,0.10005892751915145,Not applicable,Not applicable
keras,26,Function,PS,1,0,3134.593938589096,577.0,0.33352601156069367,Not applicable,Not applicable
keras,31,Function,PS,1,0,21.71104598045349,870.5,0.5002873563218391,Not applicable,Not applicable
keras,33,Function,PS,1,1,28.679107666015625,870.5,0.5002873563218391,Not applicable,Not applicable
keras,35,Function,PS,1,1,5849.953172206879,426.5,0.2501466275659824,Not applicable,Not applicable
keras,38,Function,PS,1,0,6425.10378241539,842.5,0.5002969121140143,Not applicable,Not applicable
keras,40,Function,PS,0,0,827.7390344142914,825.5,0.5003030303030302,Not applicable,Not applicable
keras,41,Function,PS,0,1,77.3177375793457,235.57142857142858,0.14294382801664357,Not applicable,Not applicable
keras,43,Function,PS,0,0,58.696354389190674,822.5,0.5003041362530414,Not applicable,Not applicable
pandas,2,Function,PS,1,1,32277.67711544037,1844.6666666666667,0.33339357792638113,Not applicable,Not applicable
pandas,12,Function,PS,1,0,24271.84233021736,1853.3333333333333,0.33351328654549817,Not applicable,Not applicable
pandas,23,Function,PS,1,0,99578.901201725,1.5,0.00027041644131963225,Not applicable,Not applicable
pandas,43,Function,PS,0,1,28776.36675977707,3.0,0.0005404431633939831,Not applicable,Not applicable
pandas,54,Function,PS,0,1,46.08626055717468,2772.0,0.5000902038607252,Not applicable,Not applicable
pandas,56,Function,PS,0,0,23584.782984018326,2771.0,0.5000902364194189,Not applicable,Not applicable
pandas,68,Function,PS,1,0,4974.024302482605,5529,1.0,Not applicable,Not applicable
pandas,72,Function,PS,1,1,4081.1331992149353,2765.0,0.5000904322662326,Not applicable,Not applicable
pandas,74,Function,PS,0,1,3342.62832403183,1.0,0.00018102824040550325,Not applicable,Not applicable
