project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Module,DStar,0,0,132.3571379184723,1.0,0.041666666666666664,Not applicable,Not applicable
black,3,Module,DStar,0,0,104.21208119392395,1.0,0.041666666666666664,Not applicable,Not applicable
black,4,Module,DStar,0,0,68.4707555770874,1.0,0.043478260869565216,Not applicable,Not applicable
black,6,Module,DStar,0,1,58.77962040901184,1.0,0.043478260869565216,Not applicable,Not applicable
black,7,Module,DStar,0,1,64.7829794883728,1.0,0.043478260869565216,Not applicable,Not applicable
black,8,Module,DStar,0,1,46.83869695663452,1.0,0.043478260869565216,Not applicable,Not applicable
black,10,Module,DStar,0,1,62.782360315322876,1.0,0.043478260869565216,Not applicable,Not applicable
black,11,Module,DStar,0,1,56.28782558441162,1.0,0.043478260869565216,Not applicable,Not applicable
black,14,Module,DStar,1,1,52.5775830745697,1.0,0.045454545454545456,Not applicable,Not applicable
black,15,Module,DStar,0,1,61.06019687652588,1.0,0.045454545454545456,Not applicable,Not applicable
black,18,Module,DStar,0,0,49.46785068511963,1.0,0.06666666666666667,Not applicable,Not applicable
black,19,Module,DStar,0,0,33.047914028167725,1.0,0.06666666666666667,Not applicable,Not applicable
black,23,Module,DStar,0,1,14.277763605117798,1.0,0.07142857142857142,Not applicable,Not applicable
cookiecutter,1,Module,DStar,1,0,14.507770538330078,1.0,0.05555555555555555,Not applicable,Not applicable
cookiecutter,2,Module,DStar,0,1,2.641118288040161,1.0,0.05555555555555555,Not applicable,Not applicable
cookiecutter,3,Module,DStar,0,0,8.216080665588379,1.0,0.05555555555555555,Not applicable,Not applicable
cookiecutter,4,Module,DStar,0,1,9.38987398147583,2.3333333333333335,0.19444444444444445,Not applicable,Not applicable
fastapi,1,Module,DStar,0,1,40.023441553115845,1.0,0.025,Not applicable,Not applicable
fastapi,2,Module,DStar,0,0,7.2961249351501465,1.5,0.0375,Not applicable,Not applicable
fastapi,3,Module,DStar,1,1,12.749234676361084,1.0,0.025,Not applicable,Not applicable
fastapi,4,Module,DStar,0,0,1.8506519794464111,3.5,0.12962962962962962,Not applicable,Not applicable
fastapi,5,Module,DStar,0,0,1.5185177326202393,6.0,0.2222222222222222,Not applicable,Not applicable
fastapi,6,Module,DStar,0,1,1.0297150611877441,4.0,0.14814814814814814,Not applicable,Not applicable
fastapi,7,Module,DStar,1,0,2.0202980041503906,2.5,0.09615384615384616,Not applicable,Not applicable
fastapi,9,Module,DStar,0,1,1.2646007537841797,3.5,0.14,Not applicable,Not applicable
fastapi,10,Module,DStar,0,0,9.676014184951782,1.0,0.04,Not applicable,Not applicable
fastapi,11,Module,DStar,1,0,2.027017116546631,1.5,0.06,Not applicable,Not applicable
fastapi,12,Module,DStar,0,0,3.7883567810058594,1.0,0.04,Not applicable,Not applicable
fastapi,14,Module,DStar,0,0,6.0734312534332275,15.5,0.6739130434782609,Not applicable,Not applicable
fastapi,16,Module,DStar,1,1,0.7255284786224365,1.0,0.047619047619047616,Not applicable,Not applicable
httpie,2,Module,DStar,0,1,10.510277509689331,1.0,0.04,Not applicable,Not applicable
httpie,3,Module,DStar,1,0,15.367119312286377,4.0,0.16,Not applicable,Not applicable
httpie,4,Module,DStar,0,1,2.3080801963806152,7.0,0.28,Not applicable,Not applicable
httpie,5,Module,DStar,0,1,8.386019468307495,1.0,0.16666666666666666,Not applicable,Not applicable
keras,1,Module,DStar,0,0,1049.5740146636963,1.0,0.007246376811594203,Not applicable,Not applicable
keras,3,Module,DStar,1,0,184.52024579048157,2.5,0.018656716417910446,Not applicable,Not applicable
keras,5,Module,DStar,0,0,334.0135052204132,2.5,0.018796992481203006,Not applicable,Not applicable
keras,6,Module,DStar,0,0,45.33613181114197,5.0,0.03816793893129771,Not applicable,Not applicable
keras,7,Module,DStar,0,0,16.23026442527771,1.0,0.0078125,Not applicable,Not applicable
keras,10,Module,DStar,1,1,87.1016194820404,1.0,0.007633587786259542,Not applicable,Not applicable
keras,14,Module,DStar,1,0,26.784066915512085,1.5,0.011811023622047244,Not applicable,Not applicable
keras,17,Module,DStar,0,0,29.182665824890137,2.0,0.015748031496062992,Not applicable,Not applicable
keras,18,Module,DStar,1,0,28.64491105079651,1.0,0.007874015748031496,Not applicable,Not applicable
keras,20,Module,DStar,1,1,1174.6866481304169,2.0,0.015748031496062992,Not applicable,Not applicable
keras,26,Module,DStar,1,0,32.99368643760681,1.0,0.008064516129032258,Not applicable,Not applicable
keras,31,Module,DStar,1,0,28.89354920387268,1.0,0.008620689655172414,Not applicable,Not applicable
keras,33,Module,DStar,1,1,6.845127820968628,1.0,0.008620689655172414,Not applicable,Not applicable
keras,35,Module,DStar,1,1,18.091214179992676,1.0,0.008620689655172414,Not applicable,Not applicable
keras,38,Module,DStar,1,0,182.33350825309753,2.0,0.017699115044247787,Not applicable,Not applicable
keras,40,Module,DStar,0,0,147.71782660484314,1.0,0.009009009009009009,Not applicable,Not applicable
keras,41,Module,DStar,0,1,16.664397478103638,1.0,0.00909090909090909,Not applicable,Not applicable
keras,43,Module,DStar,0,0,125.69938063621521,1.0,0.00909090909090909,Not applicable,Not applicable
pandas,2,Module,DStar,1,1,1341.9947276115417,2.5,0.010683760683760684,Not applicable,Not applicable
pandas,12,Module,DStar,1,0,2552.903843164444,9.0,0.03879310344827586,Not applicable,Not applicable
pandas,23,Module,DStar,1,0,49.26249623298645,1.5,0.006493506493506494,Not applicable,Not applicable
pandas,43,Module,DStar,0,1,85.88211822509766,11.0,0.048458149779735685,Not applicable,Not applicable
pandas,54,Module,DStar,0,1,25445.52511405945,1.0,0.004405286343612335,Not applicable,Not applicable
pandas,56,Module,DStar,0,0,1699.1994307041168,15.0,0.06607929515418502,Not applicable,Not applicable
pandas,68,Module,DStar,1,0,23.321685075759888,3.0,0.01327433628318584,Not applicable,Not applicable
pandas,72,Module,DStar,1,1,15.268394708633423,2.5,0.011061946902654867,Not applicable,Not applicable
pandas,74,Module,DStar,0,1,134.1193699836731,4.0,0.017699115044247787,Not applicable,Not applicable
pandas,77,Module,DStar,1,0,0.4080839157104492,2.5,0.011061946902654867,Not applicable,Not applicable
pandas,81,Module,DStar,1,1,23140.768271684647,6.0,0.02654867256637168,Not applicable,Not applicable
pandas,84,Module,DStar,1,0,42.223748207092285,2.0,0.008928571428571428,Not applicable,Not applicable
pandas,116,Module,DStar,1,0,2121.0391430854797,6.5,0.02968036529680365,Not applicable,Not applicable
pandas,137,Module,DStar,1,1,3366.506372451782,1.0,0.004545454545454545,Not applicable,Not applicable
pandas,141,Module,DStar,1,0,46.401092290878296,5.0,0.0228310502283105,Not applicable,Not applicable
pandas,143,Module,DStar,1,1,2166.20321059227,6.5,0.02968036529680365,Not applicable,Not applicable
pandas,146,Module,DStar,1,1,48.27202129364014,1.0,0.004651162790697674,Not applicable,Not applicable
pandas,168,Module,DStar,1,1,6296.336213111877,1.0,0.004761904761904762,Not applicable,Not applicable
sanic,1,Module,DStar,0,0,293.60652709007263,1.0,0.011494252873563218,Not applicable,Not applicable
sanic,3,Module,DStar,0,1,284.4683532714844,1.5,0.017241379310344827,Not applicable,Not applicable
sanic,4,Module,DStar,0,1,47.88449215888977,4.5,0.052941176470588235,Not applicable,Not applicable
spacy,1,Module,DStar,0,0,3.3847854137420654,1.0,0.0022727272727272726,Not applicable,Not applicable
spacy,2,Module,DStar,0,0,275.0050346851349,2.5,0.0056947608200455585,Not applicable,Not applicable
spacy,3,Module,DStar,0,0,6.040996313095093,1.0,0.0022624434389140274,Not applicable,Not applicable
spacy,4,Module,DStar,1,0,4.43233323097229,1.0,0.002380952380952381,Not applicable,Not applicable
spacy,5,Module,DStar,1,0,38.57931137084961,1.0,0.0024154589371980675,Not applicable,Not applicable
spacy,6,Module,DStar,0,1,34.51030898094177,2.5,0.006097560975609756,Not applicable,Not applicable
thefuck,2,Module,DStar,0,0,3.6633265018463135,1.5,0.008152173913043478,Not applicable,Not applicable
thefuck,3,Module,DStar,0,0,4.067361831665039,1.0,0.0055248618784530384,Not applicable,Not applicable
thefuck,4,Module,DStar,1,0,27.40939736366272,1.5,0.008522727272727272,Not applicable,Not applicable
thefuck,6,Module,DStar,1,0,1.3505890369415283,1.5,0.008620689655172414,Not applicable,Not applicable
thefuck,7,Module,DStar,0,0,0.6760425567626953,2.5,0.01488095238095238,Not applicable,Not applicable
thefuck,8,Module,DStar,0,0,0.7262434959411621,1.0,0.006172839506172839,Not applicable,Not applicable
thefuck,13,Module,DStar,0,0,1.4209578037261963,3.0,0.02608695652173913,Not applicable,Not applicable
thefuck,14,Module,DStar,0,1,7.336745738983154,1.0,0.009009009009009009,Not applicable,Not applicable
thefuck,15,Module,DStar,0,0,3.262887954711914,1.5,0.013636363636363636,Not applicable,Not applicable
thefuck,17,Module,DStar,0,0,16.943659782409668,1.5,0.014285714285714285,Not applicable,Not applicable
thefuck,19,Module,DStar,0,0,3.976938009262085,2.0,0.021739130434782608,Not applicable,Not applicable
thefuck,20,Module,DStar,0,0,0.8783576488494873,2.0,0.021739130434782608,Not applicable,Not applicable
thefuck,25,Module,DStar,0,0,8.246513366699219,1.0,0.012345679012345678,Not applicable,Not applicable
thefuck,26,Module,DStar,0,0,2.047957181930542,1.0,0.012195121951219513,Not applicable,Not applicable
thefuck,28,Module,DStar,0,0,9.628909349441528,1.0,0.0125,Not applicable,Not applicable
thefuck,29,Module,DStar,0,0,2.5247983932495117,1.0,0.0125,Not applicable,Not applicable
tornado,1,Module,DStar,0,0,78.14776730537415,1.0,0.02564102564102564,Not applicable,Not applicable
tornado,5,Module,DStar,0,1,2001.7016625404358,1.0,0.022727272727272728,Not applicable,Not applicable
tornado,6,Module,DStar,0,0,1777.4389777183533,1.0,0.022727272727272728,Not applicable,Not applicable
tornado,8,Module,DStar,0,0,45.8743679523468,2.5,0.056818181818181816,Not applicable,Not applicable
tqdm,4,Module,DStar,1,0,36.23267221450806,1.0,0.08333333333333333,Not applicable,Not applicable
tqdm,5,Module,DStar,1,1,80.39165186882019,1.0,0.09090909090909091,Not applicable,Not applicable
tqdm,6,Module,DStar,1,0,42.12509560585022,1.0,0.1,Not applicable,Not applicable
tqdm,7,Module,DStar,1,0,0.7109723091125488,1.0,0.1111111111111111,Not applicable,Not applicable
tqdm,8,Module,DStar,0,0,17.729987859725952,1.0,0.125,Not applicable,Not applicable
tqdm,9,Module,DStar,1,1,6.175822496414185,1.0,0.3333333333333333,Not applicable,Not applicable
youtube-dl,1,Module,DStar,0,0,75.37886786460876,1.0,0.0012706480304955528,Not applicable,Not applicable
youtube-dl,2,Module,DStar,0,0,69.2180483341217,1.5,0.0019255455712451862,Not applicable,Not applicable
youtube-dl,6,Module,DStar,0,1,35.18240404129028,1.0,0.0017513134851138354,Not applicable,Not applicable
youtube-dl,7,Module,DStar,0,1,91.02659153938293,1.0,0.0017699115044247787,Not applicable,Not applicable
youtube-dl,13,Module,DStar,0,1,61.20927572250366,1.0,0.001226993865030675,Not applicable,Not applicable
youtube-dl,15,Module,DStar,0,0,53.85087466239929,1.0,0.001282051282051282,Not applicable,Not applicable
youtube-dl,17,Module,DStar,1,0,82.45962834358215,1.0,0.0013123359580052493,Not applicable,Not applicable
youtube-dl,18,Module,DStar,0,0,96.41504907608032,1.0,0.001314060446780552,Not applicable,Not applicable
youtube-dl,20,Module,DStar,0,0,67.46742272377014,1.0,0.0013192612137203166,Not applicable,Not applicable
