project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Module,Tarantula,0,0,0,0.0,132.3571379184723,1.0,1,0.041666666666666664,,
black,3,Module,Tarantula,0,0,0,0.0,104.21208119392395,1.0,1,0.041666666666666664,,
black,4,Module,Tarantula,0,0,0,0.0,68.4707555770874,1.0,1,0.043478260869565216,,
black,6,Module,Tarantula,0,1,1,0.11206574523720583,58.77962040901184,1.0,1,0.043478260869565216,,
black,7,Module,Tarantula,0,1,1,0.11876484560570072,64.7829794883728,1.0,1,0.043478260869565216,,
black,8,Module,Tarantula,0,1,1,0.7784431137724551,46.83869695663452,1.0,1,0.043478260869565216,,
black,10,Module,Tarantula,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,0.043478260869565216,,
black,11,Module,Tarantula,0,1,1,0.12526096033402923,56.28782558441162,1.0,1,0.043478260869565216,,
black,14,Module,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1,0.045454545454545456,,
black,15,Module,Tarantula,0,1,1,5.055368319691863,61.06019687652588,1.0,1,0.045454545454545456,,
black,18,Module,Tarantula,0,0,1,0.15467904098994587,49.46785068511963,1.0,1,0.06666666666666667,,
black,19,Module,Tarantula,0,0,1,0.20352781546811397,33.047914028167725,1.0,1,0.06666666666666667,,
black,23,Module,Tarantula,0,1,1,0.06711409395973154,14.277763605117798,1.0,1,0.07142857142857142,,
cookiecutter,1,Module,Tarantula,1,0,0,0.0,14.507770538330078,1.0,1,0.05555555555555555,,
cookiecutter,2,Module,Tarantula,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.05555555555555555,,
cookiecutter,3,Module,Tarantula,0,0,0,0.0,8.216080665588379,1.0,1,0.05555555555555555,,
cookiecutter,4,Module,Tarantula,0,1,0,0.0,9.38987398147583,2.3333333333333335,1,0.19444444444444445,,
fastapi,1,Module,Tarantula,0,1,1,16.129032258064516,40.023441553115845,1.0,1,0.025,,
fastapi,2,Module,Tarantula,0,0,0,0.0,7.2961249351501465,1.5,1,0.0375,,
fastapi,3,Module,Tarantula,1,1,1,5.172413793103448,12.749234676361084,1.0,1,0.025,,
fastapi,4,Module,Tarantula,0,0,0,0.0,1.8506519794464111,3.5,1,0.12962962962962962,,
fastapi,5,Module,Tarantula,0,0,0,0.0,1.5185177326202393,6.0,1,0.2222222222222222,,
fastapi,6,Module,Tarantula,0,1,1,1.8518518518518516,1.0297150611877441,4.0,1,0.14814814814814814,,
fastapi,7,Module,Tarantula,1,0,0,0.0,2.0202980041503906,2.5,1,0.09615384615384616,,
fastapi,9,Module,Tarantula,0,1,0,0.0,1.2646007537841797,3.5,1,0.14,,
fastapi,10,Module,Tarantula,0,0,0,0.0,9.676014184951782,1.0,1,0.04,,
fastapi,11,Module,Tarantula,1,0,0,0.0,2.027017116546631,3.5,1,0.14,,
fastapi,12,Module,Tarantula,0,0,0,0.0,3.7883567810058594,1.0,1,0.04,,
fastapi,14,Module,Tarantula,0,0,0,0.0,6.0734312534332275,15.5,0,0.6739130434782609,,
fastapi,16,Module,Tarantula,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.047619047619047616,,
httpie,2,Module,Tarantula,0,1,1,1.6194331983805668,10.510277509689331,1.0,1,0.04,,
httpie,3,Module,Tarantula,1,0,1,0.47393364928909953,15.367119312286377,4.0,1,0.16,,
httpie,4,Module,Tarantula,0,1,1,0.2785515320334262,2.3080801963806152,7.0,1,0.28,,
httpie,5,Module,Tarantula,0,1,1,27.173913043478258,8.386019468307495,1.0,1,0.16666666666666666,,
keras,1,Module,Tarantula,0,0,1,2.941176470588235,1049.5740146636963,1.0,1,0.007246376811594203,,
keras,3,Module,Tarantula,1,0,0,0.0,184.52024579048157,2.5,1,0.018656716417910446,,
keras,5,Module,Tarantula,0,0,0,0.0,334.0135052204132,2.5,1,0.018796992481203006,,
keras,6,Module,Tarantula,0,0,0,0.0,45.33613181114197,5.0,1,0.03816793893129771,,
keras,7,Module,Tarantula,0,0,0,0.0,16.23026442527771,1.0,1,0.0078125,,
keras,10,Module,Tarantula,1,1,1,25.0,87.1016194820404,1.0,1,0.007633587786259542,,
keras,14,Module,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.5,1,0.011811023622047244,,
keras,17,Module,Tarantula,0,0,1,9.615384615384617,29.182665824890137,2.0,1,0.015748031496062992,,
keras,18,Module,Tarantula,1,0,0,0.0,28.64491105079651,1.0,1,0.007874015748031496,,
keras,20,Module,Tarantula,1,1,0,0.0,1174.6866481304169,2.0,1,0.015748031496062992,,
keras,26,Module,Tarantula,1,0,0,0.0,32.99368643760681,1.0,1,0.008064516129032258,,
keras,31,Module,Tarantula,1,0,0,0.0,28.89354920387268,1.0,1,0.008620689655172414,,
