project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Muse,0,0,9860.772542476654,23249.25,0.2502852805976898,19.964162484316187,-2.0114491844416564
black,3,Statement,Muse,0,0,2934.713768720627,45665.0,0.5000328500722702,5.27110157367668,-2.3514067715784455
black,4,Statement,Muse,0,0,36802.90059328079,45413.5,0.5017622751579971,44.867354643845964,-2.306065945129625
black,6,Statement,Muse,0,1,60647.180084228516,162.5,0.0017980437284234752,53.264569669712664,-2.922221759788304
black,7,Statement,Muse,0,1,38467.157809495926,105.5,0.0011679527062183794,214.91203826733985,-2.0002657454158914
black,8,Statement,Muse,0,1,40048.151502370834,210.0,0.0023249892054072606,176.6809699548344,-5.188514923457393
black,10,Statement,Muse,0,1,36411.9872405529,1.0,1.1079964100916312e-05,0.0,8
black,11,Statement,Muse,0,1,55316.58390331268,290.5,0.003219300287021953,132.58930602155996,-4.393473275627109
black,14,Statement,Muse,1,1,11397.33365225792,18.0,0.00020002889306233122,436.00465964112783,-9.447357448020508
black,15,Statement,Muse,0,1,37823.36705946922,17.310344827586206,0.000192213293961516,150.39064213415568,-4.17549307600116
black,18,Statement,Muse,0,0,23721.572602033615,21.5,0.00418613707165109,8.275945537065054,-2.004841149773071
black,19,Statement,Muse,0,0,14800.312005281448,68.5,0.0152970075926753,150.27796935948894,-2.0138504155124655
black,23,Statement,Muse,0,1,7935.155114650726,18.5,0.005054644808743169,213.36746426351766,-2.0205096333126162
cookiecutter,1,Statement,Muse,1,0,15.119228601455688,764.5,0.5006548788474132,0.005263157894736842,-2.0052631578947366
cookiecutter,2,Statement,Muse,0,1,138.67243552207947,5.666666666666667,0.0037802979764287306,34.18700787401575,-2.3779527559055116
cookiecutter,3,Statement,Muse,0,0,41.21637177467346,732.5,0.501368925393566,0.4132231404958677,-2.0688705234159777
cookiecutter,4,Statement,Muse,0,1,10.85617208480835,83.0,0.09201773835920177,5,-7
fastapi,1,Statement,Muse,0,1,967.2091643810272,6.333333333333333,0.0014193933960854623,0.7044025157232705,-0.9224318658280923
fastapi,2,Statement,Muse,0,0,1173.8808906078339,2238.5,0.5025819488100584,488.9858728557013,-10.890652233740024
fastapi,3,Statement,Muse,1,1,1301.428593158722,5.0,0.0011296882060551287,27.03884892086331,-2.011305241521069
fastapi,4,Statement,Muse,0,0,457.368346452713,2245.0,0.5087242238839792,237.36224161690404,-7.987735415709692
fastapi,5,Statement,Muse,0,0,324.2960829734802,2229.5,0.5056702200045362,387.2448979591836,-9.040816326530612
fastapi,6,Statement,Muse,0,1,361.4668378829956,1.0,0.00022716946842344388,0.0,8
fastapi,7,Statement,Muse,1,0,323.9393322467804,1451.3333333333333,0.33791230112533954,493.10344827586204,-10.96551724137931
fastapi,9,Statement,Muse,0,1,427.9466383457184,686.8333333333334,0.18098375054896795,542.1668659492494,-11.857579380895443
fastapi,10,Statement,Muse,0,0,889.5487492084503,1283.3333333333333,0.33923693717508147,292.3106947697111,-7.314739904903838
fastapi,11,Statement,Muse,1,0,587.9990510940552,1286.6666666666667,0.34210759549765135,344.3397358943578,-8.260722470806504
fastapi,12,Statement,Muse,0,0,452.6882300376892,726.8,0.20387096774193547,465.151724137931,-3.0551724137931036
fastapi,14,Statement,Muse,0,0,409.0861096382141,708.75,0.2679584120982987,371.031746031746,-8.746031746031747
fastapi,16,Statement,Muse,1,1,14.806779384613037,1.5,0.0005912495072920772,0.0189873417721519,2.9936708860759493
httpie,2,Statement,Muse,0,1,664.7562539577484,60.0,0.02188183807439825,339.7813411078717,-8.09380895215229
httpie,3,Statement,Muse,1,0,612.1916303634644,2.0,0.0007371913011426465,0.013157894736842105,7
